english,japanese,detail
follow,の後について行く,の後について行くを表す基本語。文脈で意味が広がる。
include,を含む,を含むを表す基本語。文脈で意味が広がる。
act,行い,行いを表す基本語。文脈で意味が広がる。
report,報告,報告を表す基本語。文脈で意味が広がる。
law,法,法を表す基本語。文脈で意味が広がる。
less,もっと少ない,もっと少ないを表す基本語。文脈で意味が広がる。
even,平らな,平らなを表す基本語。文脈で意味が広がる。
during,の間ずっと,の間ずっとを表す基本語。文脈で意味が広がる。
company,来客,来客を表す基本語。文脈で意味が広がる。
increase,増える,増えるを表す基本語。文脈で意味が広がる。
far,遠くに,遠くにを表す基本語。文脈で意味が広がる。
area,面積,面積を表す基本語。文脈で意味が広がる。
government,政府,政府を表す基本語。文脈で意味が広がる。
court,中庭,中庭を表す基本語。文脈で意味が広がる。
public,公の,公のを表す基本語。文脈で意味が広がる。
upon,の上に,の上にを表す基本語。文脈で意味が広がる。
however,どんなにでも,どんなにでもを表す基本語。文脈で意味が広がる。
value,価値,価値を表す基本語。文脈で意味が広がる。
power,能力,能力を表す基本語。文脈で意味が広がる。
while,時間,時間を表す基本語。文脈で意味が広がる。
member,一員,一員を表す基本語。文脈で意味が広がる。
country,国,国を表す基本語。文脈で意味が広がる。
effect,結果,結果を表す基本語。文脈で意味が広がる。
without,なしに,なしにを表す基本語。文脈で意味が広がる。
rate,割合,割合を表す基本語。文脈で意味が広がる。
control,統制,統制を表す基本語。文脈で意味が広がる。
national,国民の,国民のを表す基本語。文脈で意味が広がる。
within,以内に,以内にを表す基本語。文脈で意味が広がる。
cost,がかかる,がかかるを表す基本語。文脈で意味が広がる。
university,大学,大学を表す基本語。文脈で意味が広がる。
against,に対して,に対してを表す基本語。文脈で意味が広がる。
interest,興味,興味を表す基本語。文脈で意味が広がる。
low,低い,低いを表す基本語。文脈で意味が広がる。
fact,事実,事実を表す基本語。文脈で意味が広がる。
since,以後,以後を表す基本語。文脈で意味が広がる。
condition,状態,状態を表す基本語。文脈で意味が広がる。
issue,問題,問題や論点。発行するという動詞にもなる。
level,平らな,平らなを表す基本語。文脈で意味が広がる。
research,研究,研究を表す基本語。文脈で意味が広がる。
committee,委員会,委員会を表す基本語。文脈で意味が広がる。
figure,数字,数字を表す基本語。文脈で意味が広がる。
method,方法,方法を表す基本語。文脈で意味が広がる。
land,陸,陸を表す基本語。文脈で意味が広がる。
base,卑しい,卑しいを表す基本語。文脈で意味が広がる。
material,材料,材料を表す基本語。文脈で意味が広がる。
last,最後の,最後のを表す基本語。文脈で意味が広がる。
support,支える,支えるを表す基本語。文脈で意味が広がる。
force,力,力を表す基本語。文脈で意味が広がる。
consider,をよく考える,をよく考えるを表す基本語。文脈で意味が広がる。
seem,見える,見えるを表す基本語。文脈で意味が広がる。
cause,原因,原因を表す基本語。文脈で意味が広がる。
receive,を受け取る,を受け取るを表す基本語。文脈で意味が広がる。
continue,を続ける,を続けるを表す基本語。文脈で意味が広がる。
record,記録,記録を表す基本語。文脈で意味が広がる。
few,少しはある,少しはあるを表す基本語。文脈で意味が広がる。
product,産物,産物を表す基本語。文脈で意味が広がる。
education,教育,教育を表す基本語。文脈で意味が広がる。
purpose,目的,目的を表す基本語。文脈で意味が広がる。
appear,姿を現す,姿を現すを表す基本語。文脈で意味が広がる。
develop,を生じさせる,を生じさせるを表す基本語。文脈で意味が広がる。
lead,を導く,を導くを表す基本語。文脈で意味が広がる。
view,見ること,見ることを表す基本語。文脈で意味が広がる。
local,一地方の,一地方のを表す基本語。文脈で意味が広がる。
possible,可能な,可能なを表す基本語。文脈で意味が広がる。
plant,植物,植物を表す基本語。文脈で意味が広がる。
produce,を産出する,を産出するを表す基本語。文脈で意味が広がる。
position,位置,位置を表す基本語。文脈で意味が広がる。
certain,確信している,確信しているを表す基本語。文脈で意味が広がる。
among,の間に,の間にを表す基本語。文脈で意味が広がる。
account,計算,計算を表す基本語。文脈で意味が広がる。
several,いくつかの,いくつかのを表す基本語。文脈で意味が広がる。
concern,に関係する,に関係するを表す基本語。文脈で意味が広がる。
return,帰る,帰るを表す基本語。文脈で意味が広がる。
experience,経験,経験を表す基本語。文脈で意味が広がる。
human,人間の,人間のを表す基本語。文脈で意味が広がる。
model,模型,模型を表す基本語。文脈で意味が広がる。
chapter,章,章を表す基本語。文脈で意味が広がる。
international,国際的な,国際的なを表す基本語。文脈で意味が広がる。
society,社会,社会を表す基本語。文脈で意味が広がる。
