english,japanese
address,対処する
assemble,組み立てる
assert,主張する
bind,縛る
compensate,補償する
confess,告白する
confront,直面する
convert,変換する
coordinate,調整する
correspond,一致する
cultivate,耕す
decrease,減少する
dedicate,ささげる
defend,守る
devise,考案する
diagnose,診断する
discriminate,差別する
dismiss,退ける
dispose,処分する
dissolve,溶かす
draft,下書きする
endure,耐える
enrich,豊かにする
equip,備え付ける
fund,資金を提供する
govern,統治する
imitate,まねる
inspect,検査する
instruct,指示する
intervene,介入する
legislate,法律を制定する
maximize,最大化する
merge,合併する
notify,知らせる
overlook,見落とす
pose,引き起こす
proceed,進む
proclaim,宣言する
prolong,長引かせる
recall,思い出す
relieve,和らげる
relocate,移転する
replicate,複製する
rescue,救助する
resemble,似ている
restore,回復させる
restrain,抑える
resume,再開する
roam,歩き回る
seize,つかむ
signify,意味する
simplify,単純化する
stimulate,刺激する
summarize,要約する
surpass,上回る
suspend,一時停止する
symbolize,象徴する
tackle,取り組む
trace,たどる
undergo,経験する
undermine,弱める
undertake,引き受ける
utilize,利用する
vary,変化する
witness,目撃する
yield,生み出す
browse,ざっと見る
clarify,明確にする
clash,衝突する
nurture,育てる
ponder,熟考する
abundance,豊富さ
acquisition,習得
adaptation,適応
administrator,管理者
advocate,支持者
aggression,攻撃性
allergy,アレルギー
applicant,応募者
archive,記録保管所
bias,偏見
carbon,炭素
cell,細胞
chain,連鎖
circulation,循環
collaboration,協力
colony,植民地
commerce,商業
companion,仲間
compensation,補償
competitor,競争相手
composition,構成
concession,譲歩
constraint,制約
convention,慣習
conversion,変換
counselor,相談員
criterion,基準
depression,落ち込み
dimension,側面
duration,期間
emission,排出
encounter,出会い
enzyme,酵素
faculty,能力
format,形式
gene therapy,遺伝子治療
greenhouse gas,温室効果ガス
hypothesis,仮説
institute,研究所
integration,統合
intervention,介入
irony,皮肉
landscape,風景
latitude,緯度
liberty,自由
membrane,膜
microorganism,微生物
municipality,自治体
myth,神話
obesity,肥満
patent,特許
perception,認識
plague,疫病
pollution,汚染
protocol,手順
psychology,心理学
radiation,放射線
refugee,難民
regulation,規制
residence,住居
restriction,制限
revenue,収入
scholarship,奨学金
sculpture,彫刻
sequence,順序
shortage,不足
stereotype,固定観念
territory,領土
testimony,証言
treaty,条約
abundant,豊富な
adjustable,調整できる
admirable,立派な
affordable,手頃な価格の
ambiguous,あいまいな
ancient,古代の
anticipated,予想された
architectural,建築の
biological,生物学の
charitable,慈善の
cognitive,認知の
collaborative,協力的な
colonial,植民地の
comparable,比較できる
compulsory,義務的な
conservative,保守的な
credible,信頼できる
decisive,決定的な
defensive,防御的な
democratic,民主的な
diplomatic,外交の
ecological,生態学の
economical,経済的な
educational,教育の
emotional,感情的な
experimental,実験的な
geographical,地理的な
harmful,有害な
hesitant,ためらっている
influential,影響力のある
innovative,革新的な
instinctive,本能的な
linguistic,言語の
manageable,扱いやすい
mathematical,数学の
mechanical,機械の
nutritional,栄養の
observational,観察に基づく
philosophical,哲学の
physiological,生理学の
protective,保護する
racial,人種の
rational,合理的な
recreational,娯楽の
renewable,再生可能な
respective,それぞれの
symbolic,象徴的な
technical,技術的な
theoretical,理論的な
virtual,仮想の
accordingly,それに応じて
biologically,生物学的に
conventionally,従来通りに
deliberately,わざと
economically,経済的に
inevitably,必然的に
psychologically,心理的に
rationally,合理的に
technically,技術的には
temporarily,一時的に
account for,説明する
adapt to,〜に適応する
be capable of,〜する能力がある
catch up with,〜に追いつく
come across,偶然出会う
deal with,〜に対処する
distinguish A from B,AとBを区別する
make up for,〜を埋め合わせる
take advantage of,〜を利用する
take into account,〜を考慮に入れる
