id,english,japanese,detail,sample,sample-jpn
c1-part1-0001,mechanism,仕組み、機械装置,「物事が動く仕組み」を表す語。機械だけでなく制度・原因にも使う。「機械装置」の意味もある。 ,"The clock's mechanism moves the hands.",時計の機構が針を動かす。
c1-part1-0002,acre,エーカー,土地の広さの単位エーカー。約4047㎡の面積を指す。,"The farm covers one acre of land.",その農場は1エーカーの土地をカバーしている。
c1-part1-0003,carrier,運搬者、運送会社,「運搬者」を表す語という具体的対象。人・物・場所などを直接指す語。「運送会社」の意味もある。 ,"The carrier delivered the package.",配達員が荷物を届けた。
c1-part1-0004,jurisdiction,管轄権、司法権,法的な権限が及ぶ範囲・区域。管轄権・司法権を表す法律用語。,"The court has jurisdiction over this case.",裁判所はこの事件に対する管轄権を持っている。
c1-part1-0005,clinical,臨床の,患者を診る臨床の様子。冷静で客観的なの意味にも使う。,"The drug is now in clinical trials.",その薬は現在臨床試験中だ。
c1-part1-0006,render,～を～にする、表現する,「ある状態にする／表現する」を表す語。makeやgiveの硬い語。 ,"The artist will render the scene in pencil.",芸術家は鉛筆でその場面を描く予定だ。
c1-part1-0007,hence,それゆえに,「それゆえに・今から」を表す副詞。結論や時間を示す。,"The road was icy; hence, we drove slowly.",道路が凍っていたため、ゆっくり運転した。
c1-part1-0008,specimen,見本,調べるための見本・標本。実例・検体を指す。,"The scientist examined the specimen.",科学者が標本を調べた。
c1-part1-0009,cite,～を引用する,出典から引用するイメージ。挙げる・召喚する意味にも使う。,"Please cite the source in your report.",レポートで出典を引用してください。
c1-part1-0010,structural,構造の,組み立てに関する構造の様子。構造上のイメージ。,"The building has structural damage.",建物に構造的な損傷がある。
c1-part1-0011,allege,～を主張する,証拠なしに主張するイメージ。申し立てる意味で使う。,"Witnesses allege that the driver lied.",目撃者たちはドライバーが嘘をついたと主張している。
c1-part1-0012,contractor,契約人,請け負う契約人・請負業者。建設業者を指すこともある。,"The contractor repaired the roof.",請負業者が屋根を修理した。
c1-part1-0013,linear,線の,直線状の線の様子。一直線の・線形のイメージ。,"The graph shows a linear increase.",グラフは線形の増加を示している。
c1-part1-0014,specification,仕様、明細,「仕様」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「明細」の意味もある。 ,"The machine must meet this specification.",機械はこの仕様を満たさなければならない。
c1-part1-0015,magnetic,磁石の,引き寄せる磁石の様子。人を引きつける魅力的な意味にも。,"A magnetic force pulled the needle.",磁力が針を引き付けた。
c1-part1-0016,thereby,それによって,「それによって」を表す副詞。手段や結果を示す。,"He saved money and thereby avoided debt.",彼は貯金して借金を回避した。
c1-part1-0017,vertical,垂直の,上下にまっすぐな垂直の様子。縦のイメージ。,"Draw a vertical line on the page.",ページに縦線を引きなさい。
c1-part1-0018,coverage,報道、対象範囲,「覆う範囲」を表す語。報道範囲・保険対象・通信範囲にも使う。「対象範囲」の意味もある。 ,"The newspaper’s coverage of the election was detailed.",選挙に関する新聞の報道は詳細だった。
c1-part1-0019,con,反対論、短所,反対の立場の反対論・短所。だます・詐欺の意味にも使う。,"One con of the plan is its high cost.",その計画の欠点の一つはコストが高いことだ。
c1-part1-0020,corps,部隊、団体,組織された部隊・軍団。専門集団・団体を指す。,"The medical corps arrived quickly.",医療部隊が素早く到着した。
c1-part1-0021,isolate,～を孤立させる,他から切り離し孤立させるイメージ。隔離・分離する意味で。,"The nurse had to isolate the patient.",看護師は患者を隔離しなければならなかった。
c1-part1-0022,premise,前提,論の土台となる前提。構内・敷地を指すこともある。,"The argument rests on a false premise.",その議論は誤った前提に基づいている。
c1-part1-0023,compliance,遵守、従うこと,「決まりに従うこと」を表す語。法令・規格・社内ルールで多い。「遵守」の意味もある。 ,"Safety compliance is required in the factory.",工場では安全コンプライアンスが必要だ。
c1-part1-0024,substantially,かなり、実質的に,「かなり」を表す語という仕方。動作・判断の程度や話し手の態度を補う。「実質的」の意味もある。 ,"The cost was substantially reduced.",コストは大幅に削減された。
c1-part1-0025,conviction,確信,「強く信じること」を表す語。有罪判決の意味にも注意。 ,"His conviction was based on strong evidence.",彼の有罪判決は強力な証拠に基づいていた。
c1-part1-0026,fraction,一部、分数,「全体の小さな一部」を表す語。数学では分数も表す。 ,"Only a fraction of the students passed.",学生のほんの一部しか合格しなかった。
c1-part1-0027,duration,持続,続く長さの持続・継続。存続期間を指す。,"The duration of the exam is two hours.",試験の時間は2時間だ。
c1-part1-0028,comply,従う,規則や要求に従うイメージ。応じる・順守する意味で使う。,"All visitors must comply with the rules.",すべての訪問者はルールに従わなければならない。
c1-part1-0029,circulation,血液の循環,血液などの循環。発行部数や、流通を指す。,"Good circulation keeps blood moving.",良好な血液循環が血液を流れ続けさせる。
c1-part1-0030,sacrifice,犠牲、～を犠牲にする,大切なものをあきらめて提供すること。犠牲・いけにえ。動詞でも使う。,"Parents often sacrifice time for their children.",親はしばしば子どものために時間を犠牲にする。
c1-part1-0031,advisory,勧告の,助言を与える勧告の様子。諮問の・顧問のイメージ。,"The committee has an advisory role.",委員会は諮問的な役割を持っている。
c1-part1-0032,tract,広大な土地、管,ひと続きの広大な土地。体内の管や、小冊子を指す。,"The farmer owns a large tract of land.",農家は広大な土地を所有している。
c1-part1-0033,constraint,制約,自由を縛る制約。束縛・制限を指す。,"A budget constraint limited the size of the project.",予算の制約がプロジェクトの規模を制限した。
c1-part1-0034,voluntary,自発的な,自ら進んでする自発的な様子。任意の・随意のイメージ。,"He does voluntary work at a shelter.",彼はシェルターでボランティア活動をしている。
c1-part1-0035,dominant,支配的な,抜きん出て支配的な様子。優勢な・目立つイメージ。,"The dominant team controlled the match.",強いチームが試合をコントロールした。
c1-part1-0036,discourse,談話、論説,「まとまった言葉の流れ」を表す語。議論・談話・論説に使う。 ,"The professor analyzed political discourse in class.",教授は授業で政治的言説を分析した。
c1-part1-0037,compel,～に強いる,いやおうなく強いるイメージ。強制する・引き出す意味で使う。,"The evidence may compel the company to change its policy.",証拠が会社に方針を変えるよう迫るかもしれない。
c1-part1-0038,suspension,停止、一時中断,一時的な停止・中断。資格停止や自動車のサスペンションの意味もある。,"The bridge's suspension cables were repaired.",橋の吊りケーブルが修理された。
c1-part1-0039,diversity,多様性,いろいろある多様性。多種多様・相違を指す。,"The city values cultural diversity.",その都市は文化的多様性を重視している。
c1-part1-0040,organizational,組織上の,組織に関する組織上の様子。編成のイメージ。,"Organizational changes affected every team.",組織の変更がすべてのチームに影響を与えた。
c1-part1-0041,integral,不可欠な、一体の,全体の一部として不可欠なイメージ。数学では積分。一体となった意味も。,"Trust is integral to teamwork.",信頼はチームワークに不可欠だ。
c1-part1-0042,occupational,職業の,仕事に関する職業の様子。業務上のイメージ。,"Occupational stress can affect both body and mind.",職業上のストレスは体と心の両方に影響することがある。
c1-part1-0043,crude,未加工の、粗雑な,「未精製・粗い」を表す語。原油、粗雑な態度の両方に使う。「未加工の」の意味もある。 ,"His crude remark offended the guests.",彼の無礼な発言がゲストを不快にさせた。
c1-part1-0044,transit,輸送、通過,人や物の輸送・通過。乗り継ぎや、天体の通過を指す。,"The goods are still in transit.",その商品はまだ輸送中だ。
c1-part1-0045,consultation,相談,意見を求める相談・協議。診察を指すこともある。,"The doctor gave a consultation by phone.",医者は電話で診察を行った。
c1-part1-0046,peasant,小作農、農民,「小作農」を表す語という具体的対象。人・物・場所などを直接指す語。「農民」の意味もある。 ,"A peasant farmer worked a small field.",小作農が小さな畑を耕した。
c1-part1-0047,juvenile,少年の、未熟な,年若い少年の様子。未熟な・幼稚なや、少年を指す。,"His juvenile behavior annoyed the teacher.",彼の子どもっぽい行動が先生を苛立てた。
c1-part1-0048,elevation,高度、上昇,「高度」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「上昇」の意味もある。 ,"The elevation of the hill is 800 meters.",その丘の標高は800メートルだ。
c1-part1-0049,inclusion,中に含めること,中に含めること・包含。含有物を指すこともある。,"Inclusion matters in every classroom.",インクルージョンはすべての教室で重要だ。
c1-part1-0050,notwithstanding,～にもかかわらず,「～にもかかわらず」を表す語。逆接を示す。,"Notwithstanding the rain, we continued.",雨にもかかわらず、私たちは続けた。
c1-part1-0051,pioneer,開拓者,未知を切り開く開拓者。道を開くという動詞にも使う。,"A pioneer crossed the mountains first.",開拓者が最初に山を越えた。
c1-part1-0052,restoration,復元、回復,「復元」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「回復」の意味もある。 ,"The restoration of the old church took years.",古い教会の修復には何年もかかった。
c1-part1-0053,formulate,～を明確に表す、策定する,考えや計画を明確な言葉や形で表す。処方を作る・策定するの意味もある。,"They plan to formulate a new policy.",彼らは新しい方針を策定する計画だ。
c1-part1-0054,elaborate,入念な、詳しく述べる,細部まで作り込まれた・精巧なイメージ。動詞では詳しく説明する意味。,"She gave an elaborate explanation of the plan.",彼女はその計画について詳しく説明した。
c1-part1-0055,ethical,倫理の,善悪をわきまえる倫理の様子。道徳的なイメージ。,"The decision raised ethical questions.",その決定は倫理的な問題を提起した。
c1-part1-0056,elevate,～を上げる,高い所へ上げるイメージ。地位や気分を高める意味にも使う。,"The platform can elevate heavy equipment to the second floor.",そのプラットフォームは重い機器を2階に持ち上げることができる。
c1-part1-0057,convict,～に有罪を宣告する,罪を認め有罪を宣告するイメージ。名詞では受刑者を指す。,"The jury may convict the suspect.",陪審員は容疑者を有罪とするかもしれない。
c1-part1-0058,verdict,評決,陪審が下す評決。判断・意見を指すこともある。,"The jury reached a verdict.",陪審員は評決に達した。
c1-part1-0059,conform,一致する、従う,規則・基準・慣習に合わせて従うイメージ。一致する・適合するの意味。,"Students must conform to the rules.",生徒はルールに従わなければならない。
c1-part1-0060,marginal,周辺の、わずかな,中心から外れた周辺の様子。ごくわずかな・限界のの意味にも。,"The project had only marginal success.",そのプロジェクトはわずかな成功しか収めなかった。
c1-part1-0061,depict,～を描き表す,ありさまを描き表すイメージ。描写する・表現する意味で使う。,"The painting can depict a quiet village.",その絵は静かな村を描くことができる。
c1-part1-0062,cavity,空洞、虫歯,「空洞」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「虫歯」の意味もある。 ,"The dentist found a cavity in my tooth.",歯科医が歯に虫歯を見つけた。
c1-part1-0063,precision,正確,寸分たがわぬ正確・精密。的確さを指す。,"The machine cuts metal with great precision.",機械は高い精度で金属を切断する。
c1-part1-0064,prophet,預言者,神意を告げる預言者。先駆者・唱道者を指すこともある。,"The prophet warned the people of danger.",預言者は人々に危険を警告した。
c1-part1-0065,inherent,本来の,もともと備わる本来の様子。固有の・生来のイメージ。,"The plan has inherent risks.",その計画には固有のリスクがある。
c1-part1-0066,oblige,～に義務を負わせる,義務を負わせるイメージ。恩恵を施す・やむを得ずさせる意味にも。,"The rule will oblige drivers to slow down.",そのルールはドライバーに速度を落とすよう義務付ける。
c1-part1-0067,citation,引用,出典を示す引用。表彰状・召喚状を指すこともある。,"Use a citation when you quote a source.",出典を引用するときは引用表記を使いなさい。
c1-part1-0068,estimation,推定、評価,「推定」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「評価」の意味もある。 ,"His estimation of the cost was too low.",彼のコスト見積もりは低すぎた。
c1-part1-0069,scenario,シナリオ,筋書きのシナリオ・台本。予想される事態を指す。,"The emergency scenario was realistic.",緊急シナリオはリアルだった。
c1-part1-0070,sentiment,感情,心に抱く感情。所感・感傷を指すこともある。,"The speech expressed a warm sentiment.",スピーチは温かい感情を表していた。
c1-part1-0071,succession,連続,次々と続く連続。相続・継承を指す。,"The company planned the succession carefully.",会社は継承を慎重に計画した。
c1-part1-0072,subordinate,下位の,位の下の下位の様子。名詞では部下を指す。,"A subordinate employee reported the issue.",部下の従業員が問題を報告した。
c1-part1-0073,vegetation,植物,その地に生える植物。草木の総称を指す。,"Thick vegetation covered the hillside.",濃い植生が丘の斜面を覆っていた。
c1-part1-0074,testament,証拠、遺言、聖書,何かの証拠・証明。遺言・遺書、旧約・新約聖書を指すことも。,"The old building is a testament to their skill.",古い建物は彼らの技術の証だ。
c1-part1-0075,synthetic,合成の、総合的な,人工的に作る合成の様子。総合的な・模造のの意味にも使う。,"Synthetic fibers are made by chemical processes.",合成繊維は化学的プロセスで作られる。
c1-part1-0076,retention,保持,そのまま保つ保持。記憶力・保有を指す。,"Employee retention improved this year.",従業員の定着率が今年改善した。
c1-part1-0077,rotate,回転する,軸を中心に回転するイメージ。交替する・輪作する意味にも使う。,"Rotate the handle clockwise.",ハンドルを時計回りに回しなさい。
c1-part1-0078,expire,満了する,期限が満了するイメージ。切れる・息を引き取る意味にも使う。,"My passport will expire next month.",パスポートは来月期限が切れる。
c1-part1-0079,fatigue,疲労、金属疲労,心身の疲労。金属疲労や、雑役を指すこともある。,"Fatigue made it hard to focus.",疲労で集中するのが難しかった。
c1-part1-0080,exert,～を発揮する,力や影響を発揮するイメージ。行使する・骨を折る意味にも使う。,"You must exert more effort to finish.",もっと努力しないと終わらない。
c1-part1-0081,circulate,循環する,ぐるぐる循環するイメージ。出回る・言い広める意味にも使う。,"Please circulate the memo to everyone.",メモを全員に回覧してください。
c1-part1-0082,prospective,見込みの、将来の,これから見込まれる将来の様子。有望なイメージ。,"The prospective buyer inspected the house.",見込み客が家を検査した。
c1-part1-0083,collaboration,協力、共同作業,複数の人や組織が一緒に取り組む共同作業・協力。コラボレーション。,"Collaboration improved the project results.",協力がプロジェクトの結果を改善した。
c1-part1-0084,profound,深遠な,底知れず深遠な様子。深い・重大なイメージ。,"The book had a profound effect on me.",その本は私に深い影響を与えた。
c1-part1-0085,elastic,弾力のある,よく伸びる弾力のある様子。融通のきくの意味にも使う。,"The elastic band stretched and returned to its shape.",輪ゴムが伸びて元の形に戻った。
c1-part1-0086,inclusive,全部を含んだ,すべてを含んだ様子。分け隔てのない・込みでのイメージ。,"The school uses inclusive language.",学校はインクルーシブな言葉を使っている。
c1-part1-0087,buffer,緩衝材、緩衝するもの,衝撃を和らげる緩衝材・緩衝地帯。コンピュータの一時記憶にも使う。,"The trees act as a buffer against noise.",木々は騒音に対するバッファーとして機能する。
c1-part1-0088,induction,導入、誘導、就任,「中へ導き入れる」を表す語。就任・誘導・帰納法にも広がる。「導入」の意味もある。 ,"Induction training begins on Monday.",導入研修は月曜日に始まる。
c1-part1-0089,notable,注目に値する,目を引く注目に値する様子。名詞では名士を指す。,"The scientist made a notable discovery.",科学者は注目すべき発見をした。
c1-part1-0090,continuity,連続,途切れない連続。一貫性・つながりを指す。,"The continuity of the story was broken.",物語の連続性が途切れた。
c1-part1-0091,obscure,はっきりしない,ぼんやりしてはっきりしない様子。無名の・覆い隠す動詞にも。,"The meaning of the poem is obscure.",その詩の意味は難解だ。
c1-part1-0092,assertion,断言,自信を持って断言すること。主張・言明を指す。,"His assertion needed more evidence.",彼の主張にはより多くの証拠が必要だった。
c1-part1-0093,fossil,化石,大昔の生物の化石。時代遅れの人・物の比喩にも使う。,"The fossil was found inside a rock.",化石は岩の中で発見された。
c1-part1-0094,likelihood,ありそうなこと,起こりそうなこと・見込み。公算・可能性を指す。,"There is little likelihood of snow today.",今日雪が降る可能性は低い。
c1-part1-0095,fusion,溶けること,一つに溶け合う融合。核融合や、料理の融合を指す。,"The fusion of jazz and rock sounded fresh.",ジャズとロックの融合は新鮮に聞こえた。
c1-part1-0096,carpenter,大工,木を組む大工。建築の職人を指す。,"The carpenter repaired the wooden door.",大工が木製のドアを修理した。
c1-part1-0097,preach,説教する,教えを説き説教するイメージ。訓戒する・唱道する意味にも使う。,"The priest will preach on Sunday.",司祭は日曜日に説教する予定だ。
c1-part1-0098,principally,主として,「主として・おもに」を表す副詞。中心となる点を示す。,"The course is principally for beginners.",このコースは主に初心者向けだ。
c1-part1-0099,salvation,救済,苦難からの救済・救い。救いとなるものを指す。,"The rescue boat brought salvation to the stranded sailors.",救助船が立ち往生した船員たちに救いをもたらした。
c1-part1-0100,inheritance,相続、遺産,「相続」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「遺産」の意味もある。 ,"She received a large inheritance.",彼女は多額の遺産を受け取った。
c1-part1-0101,hostile,敵の,敵意を持つ敵の様子。敵対的な・冷淡なイメージ。,"The crowd became hostile.",群衆は敵対的になった。
c1-part1-0102,concur,同意見である,意見が一致し同意見であるイメージ。同時に起こる意味にも使う。,"I concur with your opinion.",あなたの意見に同意します。
c1-part1-0103,ordinarily,たいてい,「たいてい・ふつうは」を表す副詞。通常の様子を示す。,"Ordinarily, the office closes at six.",通常、オフィスは6時に閉まる。
c1-part1-0104,degradation,低下、劣化,「低下」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「劣化」の意味もある。 ,"Pollution caused environmental degradation.",汚染が環境の悪化を引き起こした。
c1-part1-0105,exploitation,搾取、活用,「搾取」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「活用」の意味もある。 ,"The company was accused of exploitation.",その会社は搾取で告発された。
c1-part1-0106,pertinent,関連する、適切な,話題や状況に直接関係している・適切なイメージ。関連するという形容詞。,"His question was pertinent to the topic.",彼の質問はトピックに関連していた。
c1-part1-0107,hostility,敵意,敵として向ける敵意。反感・戦闘行為を指す。,"Hostility between the groups increased.",グループ間の敵意が高まった。
c1-part1-0108,predecessor,前任者,前にその役にいた前任者。前身・旧型を指すこともある。,"My predecessor trained me for the job.",私の前任者が仕事を教えてくれた。
c1-part1-0109,aesthetic,美的な、美学の,美しさに関わる美的な様子。美学の・審美的なイメージ。,"The design has aesthetic value.",そのデザインには美的価値がある。
c1-part1-0110,spontaneous,自然に起こる,ひとりでに自然に起こる様子。自発的な・のびのびしたイメージ。,"His spontaneous speech surprised us.",彼の即興スピーチが私たちを驚かせた。
c1-part1-0111,customary,慣例の、習慣的な,しきたりに沿った慣例の様子。習慣的な・通例のイメージ。,"It is customary to bow in that situation.",その状況でお辞儀をするのが習慣だ。
