english,japanese,detail
the,その,そのを表す基本語。文脈で意味が広がる。
of,の,のを表す基本語。文脈で意味が広がる。
be,である,であるを表す基本語。文脈で意味が広がる。
and,と,とを表す基本語。文脈で意味が広がる。
to,へ,へを表す基本語。文脈で意味が広がる。
in,の中に,の中にを表す基本語。文脈で意味が広がる。
that,あれ,あれを表す基本語。文脈で意味が広がる。
for,の間,の間を表す基本語。文脈で意味が広がる。
have,を持っている,を持っているを表す基本語。文脈で意味が広がる。
it,それは,それはを表す基本語。文脈で意味が広がる。
as,同じくらい,同じくらいを表す基本語。文脈で意味が広がる。
with,と,とを表す基本語。文脈で意味が広がる。
on,の上に,の上にを表す基本語。文脈で意味が広がる。
by,のそばに,のそばにを表す基本語。文脈で意味が広がる。
not,でない,でないを表す基本語。文脈で意味が広がる。
or,または,またはを表す基本語。文脈で意味が広がる。
this,これ,これを表す基本語。文脈で意味が広がる。
i,私は,私はを表す基本語。文脈で意味が広がる。
at,で,でを表す基本語。文脈で意味が広がる。
from,から,からを表す基本語。文脈で意味が広がる。
he,彼は,彼はを表す基本語。文脈で意味が広がる。
will,意志,意志を表す基本語。文脈で意味が広がる。
which,どちら,どちらを表す基本語。文脈で意味が広がる。
an,不定冠詞,不定冠詞を表す基本語。文脈で意味が広がる。
hi,やあ,やあを表す基本語。文脈で意味が広がる。
much,多くの,多くのを表す基本語。文脈で意味が広がる。
do,をする,をするを表す基本語。文脈で意味が広がる。
can,できる,できるを表す基本語。文脈で意味が広がる。
but,しかし,しかしを表す基本語。文脈で意味が広がる。
you,あなたは,あなたはを表す基本語。文脈で意味が広がる。
we,私たちは,私たちはを表す基本語。文脈で意味が広がる。
they,彼らが,彼らがを表す基本語。文脈で意味が広がる。
one,個の,個のを表す基本語。文脈で意味が広がる。
all,全体の,全体のを表す基本語。文脈で意味が広がる。
their,彼らの,彼らのを表す基本語。文脈で意味が広がる。
other,別の,別のを表す基本語。文脈で意味が広がる。
may,かもしれない,かもしれないを表す基本語。文脈で意味が広がる。
make,を作る,を作るを表す基本語。文脈で意味が広がる。
use,を使う,を使うを表す基本語。文脈で意味が広がる。
there,そこで,そこでを表す基本語。文脈で意味が広がる。
if,もしならば,もしならばを表す基本語。文脈で意味が広がる。
