english,japanese,detail
prone,傾向がある,傾向があるを表す基本語。文脈で意味が広がる。
paramount,最高の,最高のを表す基本語。文脈で意味が広がる。
conduit,導管,導管を表す基本語。文脈で意味が広がる。
denounce,を非難する,を非難するを表す基本語。文脈で意味が広がる。
proximal,近位の,近位のを表す基本語。文脈で意味が広がる。
meteorological,気象学の,気象学のを表す基本語。文脈で意味が広がる。
hoist,を揚げる,を揚げるを表す基本語。文脈で意味が広がる。
brood,ひな,ひなを表す基本語。文脈で意味が広がる。
adhesion,粘着,粘着を表す基本語。文脈で意味が広がる。
allude,ほのめかす,ほのめかすを表す基本語。文脈で意味が広がる。
condensation,凝縮,凝縮を表す基本語。文脈で意味が広がる。
topography,地形学,地形学を表す基本語。文脈で意味が広がる。
corpse,死体,死体を表す基本語。文脈で意味が広がる。
intermediary,中間の,中間のを表す基本語。文脈で意味が広がる。
scroll,巻物,巻物を表す基本語。文脈で意味が広がる。
hamper,をじゃまする,をじゃまするを表す基本語。文脈で意味が広がる。
conjecture,推測すること,推測することを表す基本語。文脈で意味が広がる。
recourse,頼ること,頼ることを表す基本語。文脈で意味が広がる。
informant,通報者,通報者を表す基本語。文脈で意味が広がる。
artifact,人工物,人工物を表す基本語。文脈で意味が広がる。
grievance,不平,不平を表す基本語。文脈で意味が広がる。
concurrence,一致,一致を表す基本語。文脈で意味が広がる。
ordain,を聖職に任命する,を聖職に任命するを表す基本語。文脈で意味が広がる。
assimilation,同化,同化を表す基本語。文脈で意味が広がる。
fluctuate,動揺する,動揺するを表す基本語。文脈で意味が広がる。
allusion,ほのめかし,ほのめかしを表す基本語。文脈で意味が広がる。
distillation,蒸留,蒸留を表す基本語。文脈で意味が広がる。
rhetorical,修辞学の,修辞学のを表す基本語。文脈で意味が広がる。
apprehend,を逮捕する,を逮捕するを表す基本語。文脈で意味が広がる。
assimilate,を吸収する,を吸収するを表す基本語。文脈で意味が広がる。
mercantile,商業の,商業のを表す基本語。文脈で意味が広がる。
conciliation,なだめること,なだめることを表す基本語。文脈で意味が広がる。
articulation,調音,調音を表す基本語。文脈で意味が広がる。
conglomerate,固まりになった,固まりになったを表す基本語。文脈で意味が広がる。
melancholy,憂うつ,憂うつを表す基本語。文脈で意味が広がる。
oblique,傾いた,傾いたを表す基本語。文脈で意味が広がる。
facsimile,正確な複写,正確な複写を表す基本語。文脈で意味が広がる。
mesh,目,目を表す基本語。文脈で意味が広がる。
apostle,使徒,使徒を表す基本語。文脈で意味が広がる。
amorphous,形のない,形のないを表す基本語。文脈で意味が広がる。
stringent,厳しい,厳しいを表す基本語。文脈で意味が広がる。
substantiate,を実証する,を実証するを表す基本語。文脈で意味が広がる。
anthology,アンソロジー,アンソロジーを表す基本語。文脈で意味が広がる。
etch,をエッチングで描く,をエッチングで描くを表す基本語。文脈で意味が広がる。
zoology,動物学,動物学を表す基本語。文脈で意味が広がる。
instantaneous,即時の,即時のを表す基本語。文脈で意味が広がる。
plume,大きな羽毛に似た形の物,大きな羽毛に似た形の物を表す基本語。文脈で意味が広がる。
punitive,処罰のための,処罰のためのを表す基本語。文脈で意味が広がる。
chronology,年代学,年代学を表す基本語。文脈で意味が広がる。
anthropological,人類学の,人類学のを表す基本語。文脈で意味が広がる。
requisition,要求,要求を表す基本語。文脈で意味が広がる。
presuppose,を予期する,を予期するを表す基本語。文脈で意味が広がる。
blight,胴枯れ病,胴枯れ病を表す基本語。文脈で意味が広がる。
reproach,をしかる,をしかるを表す基本語。文脈で意味が広がる。
preoccupation,没頭,没頭を表す基本語。文脈で意味が広がる。
retrospective,回顧的な,回顧的なを表す基本語。文脈で意味が広がる。
pervasive,広がる,広がるを表す基本語。文脈で意味が広がる。
authenticity,確実性,確実性を表す基本語。文脈で意味が広がる。
curator,管理者,管理者を表す基本語。文脈で意味が広がる。
interrogation,尋問,尋問を表す基本語。文脈で意味が広がる。
remittance,送金,送金を表す基本語。文脈で意味が広がる。
remit,を送る,を送るを表す基本語。文脈で意味が広がる。
opaque,不透明な,不透明なを表す基本語。文脈で意味が広がる。
extant,現存している,現存しているを表す基本語。文脈で意味が広がる。
aptitude,素質,素質を表す基本語。文脈で意味が広がる。
axiom,自明の理,自明の理を表す基本語。文脈で意味が広がる。
malice,悪意,悪意を表す基本語。文脈で意味が広がる。
lament,嘆く,嘆くを表す基本語。文脈で意味が広がる。
solitude,弧独,弧独を表す基本語。文脈で意味が広がる。
malicious,悪意のある,悪意のあるを表す基本語。文脈で意味が広がる。
myriad,無数,無数を表す基本語。文脈で意味が広がる。
posit,仮定する,仮定するを表す基本語。文脈で意味が広がる。
gravitational,引力の,引力のを表す基本語。文脈で意味が広がる。
individualism,個人主義,個人主義を表す基本語。文脈で意味が広がる。
perch,止まり木,止まり木を表す基本語。文脈で意味が広がる。
insular,島の,島のを表す基本語。文脈で意味が広がる。
overlay,を覆いかぶせる,を覆いかぶせるを表す基本語。文脈で意味が広がる。
parable,たとえ話,たとえ話を表す基本語。文脈で意味が広がる。
banish,を追放する,を追放するを表す基本語。文脈で意味が広がる。
succumb,屈服する,屈服するを表す基本語。文脈で意味が広がる。
indulgence,ふけること,ふけることを表す基本語。文脈で意味が広がる。
engender,を生じさせる,を生じさせるを表す基本語。文脈で意味が広がる。
deterrent,妨げる,妨げるを表す基本語。文脈で意味が広がる。
repose,休息,休息を表す基本語。文脈で意味が広がる。
calamity,災害,災害を表す基本語。文脈で意味が広がる。
bout,一試合,一試合を表す基本語。文脈で意味が広がる。
inducement,促すこと,促すことを表す基本語。文脈で意味が広がる。
embodiment,具体化されたもの,具体化されたものを表す基本語。文脈で意味が広がる。
moor,荒れ地,荒れ地を表す基本語。文脈で意味が広がる。
redundancy,余分な言葉を使うこと,余分な言葉を使うことを表す基本語。文脈で意味が広がる。
etching,食刻法,食刻法を表す基本語。文脈で意味が広がる。
palate,口蓋,口蓋を表す基本語。文脈で意味が広がる。
selectivity,選択性,選択性を表す基本語。文脈で意味が広がる。
fallacy,間違った考え,間違った考えを表す基本語。文脈で意味が広がる。
aberration,正道からはずれること,正道からはずれることを表す基本語。文脈で意味が広がる。
abundantly,豊富に,豊富にを表す基本語。文脈で意味が広がる。
epoxy,エポキシ,エポキシを表す基本語。文脈で意味が広がる。
recitation,暗唱,暗唱を表す基本語。文脈で意味が広がる。
hitch,をつなぐ,をつなぐを表す基本語。文脈で意味が広がる。
connotation,言外の意味,言外の意味を表す基本語。文脈で意味が広がる。
protrude,突き出る,突き出るを表す基本語。文脈で意味が広がる。
