english,japanese,detail
hibernate,冬眠する,冬眠するを表す基本語。文脈で意味が広がる。
ego,自我,自我を表す基本語。文脈で意味が広がる。
scornfully,軽べつして,軽べつしてを表す基本語。文脈で意味が広がる。
parasite,寄生動物,寄生動物を表す基本語。文脈で意味が広がる。
scathing,痛烈な,痛烈なを表す基本語。文脈で意味が広がる。
voracious,むさぼり食う,むさぼり食うを表す基本語。文脈で意味が広がる。
tycoon,実業界の大立て者,実業界の大立て者を表す基本語。文脈で意味が広がる。
pinnacle,小尖塔,小尖塔を表す基本語。文脈で意味が広がる。
impersonate,のまねをする,のまねをするを表す基本語。文脈で意味が広がる。
quirk,変な癖,変な癖を表す基本語。文脈で意味が広がる。
darkroom,暗室,暗室を表す基本語。文脈で意味が広がる。
jersey,ジャージー,ジャージーを表す基本語。文脈で意味が広がる。
shambles,流血の場面,流血の場面を表す基本語。文脈で意味が広がる。
telltale,秘密をもらす人,秘密をもらす人を表す基本語。文脈で意味が広がる。
blockbuster,大型爆弾,大型爆弾を表す基本語。文脈で意味が広がる。
bouquet,花束,花束を表す基本語。文脈で意味が広がる。
classy,かっこいい,かっこいいを表す基本語。文脈で意味が広がる。
engrossing,人を夢中にさせる,人を夢中にさせるを表す基本語。文脈で意味が広がる。
irate,怒った,怒ったを表す基本語。文脈で意味が広がる。
lethargic,昏睡の,昏睡のを表す基本語。文脈で意味が広がる。
wickedly,不正に,不正にを表す基本語。文脈で意味が広がる。
untangle,のもつれを解く,のもつれを解くを表す基本語。文脈で意味が広がる。
bubbly,泡の多い,泡の多いを表す基本語。文脈で意味が広がる。
suburbia,郊外,郊外を表す基本語。文脈で意味が広がる。
intuit,を直観する,を直観するを表す基本語。文脈で意味が広がる。
clammy,冷たくしめっぽい,冷たくしめっぽいを表す基本語。文脈で意味が広がる。
haggle,押し問答する,押し問答するを表す基本語。文脈で意味が広がる。
ploy,手だて,手だてを表す基本語。文脈で意味が広がる。
honk,ガンの鳴き声,ガンの鳴き声を表す基本語。文脈で意味が広がる。
stylistically,文体上,文体上を表す基本語。文脈で意味が広がる。
credibly,信用できて,信用できてを表す基本語。文脈で意味が広がる。
tedium,退屈,退屈を表す基本語。文脈で意味が広がる。
strapping,背が高くてがっしりした,背が高くてがっしりしたを表す基本語。文脈で意味が広がる。
pendulous,ぶら下がっている,ぶら下がっているを表す基本語。文脈で意味が広がる。
