english,japanese
abolish,廃止する
accelerate,加速する
advocate,支持する
allocate,割り当てる
betray,裏切る
broaden,広げる
certify,証明する
circulate,循環する
collaborate,協力する
compile,編集する
comprehend,理解する
compromise,妥協する
conceive,思いつく
condemn,非難する
conserve,保存する
contradict,矛盾する
deduce,推論する
deceive,だます
deprive,奪う
depict,描写する
discourage,思いとどまらせる
disclose,明らかにする
embark,乗り出す
enroll,入学する
evoke,呼び起こす
exploit,利用する
forge,築く
guarantee,保証する
hinder,妨げる
implement,実行する
integrate,統合する
intensify,強める
interrupt,中断する
lengthen,長くする
manufacture,製造する
monitor,監視する
overlap,重なる
precede,先行する
prevail,広まる
prioritize,優先する
reinforce,強化する
restructure,再構築する
screen,選別する
stabilize,安定させる
subdivide,細分する
supplement,補う
transport,輸送する
underestimate,過小評価する
withstand,耐える
contemplate,熟考する
correlate,相互に関連する
counter,反論する
derive,由来する
digest,消化する
discard,捨てる
enclose,同封する
fluctuate,変動する
immerse,浸す
mislead,誤解させる
outweigh,上回る
presume,推定する
relate,関連づける
renovate,改修する
repel,追い払う
retrieve,取り戻す
speculate,推測する
surround,囲む
threaten,脅す
visualize,思い描く
weaken,弱める
abolition,廃止
acceleration,加速
advocacy,支持
allocation,割り当て
betrayal,裏切り
certification,証明
circulation,循環
collaboration,協力
compilation,編集
comprehension,理解
mutual agreement,相互合意
conception,発想
condemnation,非難
conservation,保存
contradiction,矛盾
deduction,推論
deception,欺き
deprivation,剥奪
depiction,描写
disclosure,開示
enrollment,入学
eruption,噴火
exploitation,利用
implementation,実施
integration,統合
interruption,中断
manufacturing,製造業
monitoring,監視
priority,優先事項
reinforcement,強化
restructuring,再構築
stability,安定
transportation,輸送
underestimation,過小評価
withdrawal,撤退
contemplation,熟考
correlation,相関関係
digestion,消化
fluctuation,変動
immersion,没入
retrieval,回収
speculation,推測
surroundings,環境
threat,脅威
visualization,可視化
weakness,弱さ
legislation,法律制定
constitution,憲法
jurisdiction,管轄権
diplomacy,外交
negotiation,交渉
sanction,制裁
tariff,関税
subsidy,補助金
welfare,福祉
infrastructure,社会基盤
democracy,民主主義
bureaucracy,官僚制度
parliament,議会
cabinet,内閣
referendum,国民投票
testimony,証言
witness,目撃者
evidence,証拠
lawsuit,訴訟
verdict,評決
prison,刑務所
crime,犯罪
penalty,罰
justice,正義
accessible,利用しやすい
accountable,説明責任がある
adequate,十分な
adverse,不利な
ambiguous,あいまいな
analytical,分析的な
artificial,人工の
authentic,本物の
biological,生物学の
chronic,慢性の
civic,市民の
collaborative,協力的な
comprehensive,包括的な
consecutive,連続した
contradictory,矛盾した
controversial,議論を呼ぶ
costly,費用のかかる
credible,信頼できる
decisive,決定的な
defensive,防御的な
diplomatic,外交の
ecological,生態学の
eligible,資格のある
excessive,過度の
feasible,実行可能な
genetic,遺伝の
hostile,敵意のある
immune,免疫のある
indigenous,先住の
inevitable,避けられない
legislative,立法の
literal,文字通りの
magnificent,壮大な
moderate,適度な
mutual,相互の
offensive,攻撃的な
optimistic,楽観的な
portable,持ち運びできる
profitable,利益の出る
relevant,関連のある
scarce,乏しい
solitary,孤独な
statistical,統計の
theoretical,理論的な
toxic,有毒な
transparent,透明な
ultimate,最終的な
valid,妥当な
vulnerable,傷つきやすい
worthwhile,価値のある
accordingly,それに応じて
admittedly,確かに
allegedly,申し立てによると
alternatively,あるいは
apparently,どうやら
approximately,およそ
chiefly,主に
consequently,その結果
deliberately,わざと
economically,経済的に
essentially,本質的に
evidently,明らかに
ideally,理想的には
literally,文字通り
notably,特に
potentially,潜在的に
relatively,比較的
simultaneously,同時に
ultimately,最終的に
undoubtedly,間違いなく
