english,japanese,detail
mountaintop,山頂,山頂を表す基本語。文脈で意味が広がる。
earache,耳痛,耳痛を表す基本語。文脈で意味が広がる。
gravy,グレービー,グレービーを表す基本語。文脈で意味が広がる。
vein,静脈,静脈を表す基本語。文脈で意味が広がる。
saucepan,シチューなべ,シチューなべを表す基本語。文脈で意味が広がる。
sundial,日時計,日時計を表す基本語。文脈で意味が広がる。
paradise,天国,天国を表す基本語。文脈で意味が広がる。
seawater,海水,海水を表す基本語。文脈で意味が広がる。
bin,ふたつきの大箱,ふたつきの大箱を表す基本語。文脈で意味が広がる。
tracksuit,トラックスーツ,トラックスーツを表す基本語。文脈で意味が広がる。
tuna,マグロ,マグロを表す基本語。文脈で意味が広がる。
wristwatch,腕時計,腕時計を表す基本語。文脈で意味が広がる。
englishman,イギリス人,イギリス人を表す基本語。文脈で意味が広がる。
seaweed,海草,海草を表す基本語。文脈で意味が広がる。
hearted,「の心を持った」「心がの」の意を表す,「の心を持った」「心がの」の意を表すを表す基本語。文脈で意味が広がる。
cabin,小屋,小屋を表す基本語。文脈で意味が広がる。
ginger,ショウガ,ショウガを表す基本語。文脈で意味が広がる。
visa,査証,査証を表す基本語。文脈で意味が広がる。
kettle,やかん,やかんを表す基本語。文脈で意味が広がる。
dolphin,イルカ,イルカを表す基本語。文脈で意味が広がる。
maple,カエデ,カエデを表す基本語。文脈で意味が広がる。
jungle,密林,密林を表す基本語。文脈で意味が広がる。
washbowl,洗面器,洗面器を表す基本語。文脈で意味が広がる。
sports,スポーツ,スポーツ。競技や運動全般を表す。
engaged,忙しい,忙しいを表す基本語。文脈で意味が広がる。
indoors,室内に,室内にを表す基本語。文脈で意味が広がる。
provided,もしならば,もしならばを表す基本語。文脈で意味が広がる。
forbidden,禁じられた,禁じられたを表す基本語。文脈で意味が広がる。
regarding,に関して,に関してを表す基本語。文脈で意味が広がる。
goods,財産,財産を表す基本語。文脈で意味が広がる。
amazed,びっくりぎょうてんした,びっくりぎょうてんしたを表す基本語。文脈で意味が広がる。
