english,japanese,detail
keep,をずっと持っている,をずっと持っているを表す基本語。文脈で意味が広がる。
health,健康,健康を表す基本語。文脈で意味が広がる。
above,の上方へ,の上方へを表す基本語。文脈で意味が広がる。
never,かつてない,かつてないを表す基本語。文脈で意味が広がる。
open,を開く,を開くを表す基本語。文脈で意味が広がる。
turn,を回す,を回すを表す基本語。文脈で意味が広がる。
help,を手伝う,を手伝うを表す基本語。文脈で意味が広がる。
class,授業,授業やクラス。種類・階級の意味もある。
side,面,面を表す基本語。文脈で意味が広がる。
feel,に触れる,に触れるを表す基本語。文脈で意味が広がる。
until,まで,までを表す基本語。文脈で意味が広がる。
again,再び,再びを表す基本語。文脈で意味が広がる。
design,略図,略図を表す基本語。文脈で意味が広がる。
four,4の記号,4の記号を表す基本語。文脈で意味が広がる。
body,身体,身体を表す基本語。文脈で意味が広がる。
age,年齢,年齢を表す基本語。文脈で意味が広がる。
student,学生,学生を表す基本語。文脈で意味が広がる。
light,光,光。軽い、明るいという意味もある。
month,月,月を表す基本語。文脈で意味が広がる。
put,を置く,を置くを表す基本語。文脈で意味が広がる。
date,日付,日付を表す基本語。文脈で意味が広がる。
paper,紙,紙を表す基本語。文脈で意味が広がる。
carry,を運ぶ,を運ぶを表す基本語。文脈で意味が広がる。
history,歴史,歴史を表す基本語。文脈で意味が広がる。
move,動く,動くを表す基本語。文脈で意味が広がる。
often,しばしば,しばしばを表す基本語。文脈で意味が広がる。
bank,土手,土手を表す基本語。文脈で意味が広がる。
special,特別な,特別なを表す基本語。文脈で意味が広がる。
reason,理由,理由を表す基本語。文脈で意味が広がる。
close,を閉じる,を閉じるを表す基本語。文脈で意味が広がる。
face,顔,顔を表す基本語。文脈で意味が広がる。
describe,を描写する,を描写するを表す基本語。文脈で意味が広がる。
hour,時間,時間を表す基本語。文脈で意味が広がる。
add,を合計する,を合計するを表す基本語。文脈で意味が広がる。
free,自由な,自由なを表す基本語。文脈で意味が広がる。
run,走る,走るを表す基本語。文脈で意味が広がる。
live,生きている,生きているを表す基本語。文脈で意味が広がる。
try,に努力する,に努力するを表す基本語。文脈で意味が広がる。
practice,練習,練習を表す基本語。文脈で意味が広がる。
full,いっぱいの,いっぱいのを表す基本語。文脈で意味が広がる。
let,にさせる,にさせるを表す基本語。文脈で意味が広がる。
young,若い,若いを表す基本語。文脈で意味が広がる。
five,5の記号,5の記号を表す基本語。文脈で意味が広がる。
white,白,白を表す基本語。文脈で意味が広がる。
meet,に会う,に会うを表す基本語。文脈で意味が広がる。
always,いつも,いつもを表す基本語。文脈で意味が広がる。
due,支払われるべき,支払われるべきを表す基本語。文脈で意味が広がる。
building,建物,建物を表す基本語。文脈で意味が広がる。
either,どちらかの,どちらかのを表す基本語。文脈で意味が広がる。
around,の周りに,の周りにを表す基本語。文脈で意味が広がる。
start,出発する,出発するを表す基本語。文脈で意味が広がる。
believe,を信じる,を信じるを表す基本語。文脈で意味が広がる。
yet,まだ,まだを表す基本語。文脈で意味が広がる。
read,を読む,を読むを表す基本語。文脈で意味が広がる。
why,なぜ,なぜを表す基本語。文脈で意味が広がる。
cover,の表面をおおう,の表面をおおうを表す基本語。文脈で意味が広がる。
care,心配,心配を表す基本語。文脈で意味が広がる。
eye,目,目を表す基本語。文脈で意味が広がる。
room,部屋,部屋を表す基本語。文脈で意味が広がる。
review,を調べ直す,を調べ直すを表す基本語。文脈で意味が広がる。
stand,立つ,立つを表す基本語。文脈で意味が広がる。
once,度,度を表す基本語。文脈で意味が広がる。
sale,販売,販売を表す基本語。文脈で意味が広がる。
away,離れて,離れてを表す基本語。文脈で意味が広がる。
officer,公務員,公務員を表す基本語。文脈で意味が広がる。
money,金,金を表す基本語。文脈で意味が広がる。
kind,親切な,親切な。種類という名詞にもなる。
science,科学,科学を表す基本語。文脈で意味が広がる。
page,ページ,ページを表す基本語。文脈で意味が広がる。
street,街路,街路を表す基本語。文脈で意味が広がる。
play,遊ぶ,遊ぶ、演奏する、競技をする。
short,を短絡させる,を短絡させるを表す基本語。文脈で意味が広がる。
foreign,外国の,外国のを表す基本語。文脈で意味が広がる。
letter,手紙,手紙を表す基本語。文脈で意味が広がる。
something,何か,何かを表す基本語。文脈で意味が広がる。
hear,が聞こえる,が聞こえるを表す基本語。文脈で意味が広がる。
art,芸術,芸術を表す基本語。文脈で意味が広がる。
article,記事,記事を表す基本語。文脈で意味が広がる。
later,もっと遅い,もっと遅いを表す基本語。文脈で意味が広がる。
food,食物,食物を表す基本語。文脈で意味が広がる。
love,愛,愛を表す基本語。文脈で意味が広がる。
week,週,週を表す基本語。文脈で意味が広がる。
half,半分,半分を表す基本語。文脈で意味が広がる。
grow,成長する,成長するを表す基本語。文脈で意味が広がる。
college,大学,大学を表す基本語。文脈で意味が広がる。
list,表,表を表す基本語。文脈で意味が広がる。
file,ファイル,書類やデータのまとまり。動詞では保管する。
mind,心,心を表す基本語。文脈で意味が広がる。
language,言語,言語を表す基本語。文脈で意味が広がる。
difference,違い,違いを表す基本語。文脈で意味が広がる。
ground,地面,地面を表す基本語。文脈で意味が広がる。
size,大きさ,大きさを表す基本語。文脈で意味が広がる。
real,現実の,現実のを表す基本語。文脈で意味が広がる。
along,をたどって,をたどってを表す基本語。文脈で意味が広がる。
together,いっしょに,いっしょにを表す基本語。文脈で意味が広がる。
late,遅れた,遅れたを表す基本語。文脈で意味が広がる。
answer,答え,答えを表す基本語。文脈で意味が広がる。
idea,考え,考えを表す基本語。文脈で意味が広がる。
church,教会,教会を表す基本語。文脈で意味が広がる。
share,分け前,分け前を表す基本語。文脈で意味が広がる。
almost,ほとんど,ほとんどを表す基本語。文脈で意味が広がる。
river,川,川を表す基本語。文脈で意味が広がる。
black,黒い,黒いを表す基本語。文脈で意味が広がる。
bear,クマ,クマを表す基本語。文脈で意味が広がる。
already,もう,もうを表す基本語。文脈で意味が広がる。
near,近くに,近くにを表す基本語。文脈で意味が広がる。
speak,話す,話すを表す基本語。文脈で意味が広がる。
future,未来,未来を表す基本語。文脈で意味が広がる。
self,自己,自己を表す基本語。文脈で意味が広がる。
meeting,集会,集会を表す基本語。文脈で意味が広がる。
step,一歩,一歩を表す基本語。文脈で意味が広がる。
nothing,何もない,何もないを表す基本語。文脈で意味が広がる。
worker,仕事をする人,仕事をする人を表す基本語。文脈で意味が広がる。
past,過ぎ去った,過ぎ去ったを表す基本語。文脈で意味が広がる。
father,父,父を表す基本語。文脈で意味が広がる。
address,住所,住所を表す基本語。文脈で意味が広がる。
true,ほんとうの,ほんとうのを表す基本語。文脈で意味が広がる。
friend,友人,友人を表す基本語。文脈で意味が広がる。
mother,母,母を表す基本語。文脈で意味が広がる。
fire,火,火を表す基本語。文脈で意味が広がる。
build,を組み立てる,を組み立てるを表す基本語。文脈で意味が広がる。
story,話,話を表す基本語。文脈で意味が広がる。
teacher,先生,先生を表す基本語。文脈で意味が広がる。
job,職,職を表す基本語。文脈で意味が広がる。
library,図書館,図書館を表す基本語。文脈で意味が広がる。
site,場所,場所を表す基本語。文脈で意味が広がる。
night,夜,夜を表す基本語。文脈で意味が広がる。
talk,話す,話すを表す基本語。文脈で意味が広がる。
whose,だれの,だれのを表す基本語。文脈で意味が広がる。
town,町,町を表す基本語。文脈で意味が広がる。
discuss,を論ずる,を論ずるを表す基本語。文脈で意味が広がる。
six,6の記号,6の記号を表す基本語。文脈で意味が広がる。
event,でき事,でき事を表す基本語。文脈で意味が広がる。
king,王,王を表す基本語。文脈で意味が広がる。
learn,を習う,を習うを表す基本語。文脈で意味が広がる。
usually,普通は,普通はを表す基本語。文脈で意味が広がる。
hope,を望む,を望むを表す基本語。文脈で意味が広がる。
strong,力の強い,力の強いを表す基本語。文脈で意味が広がる。
personal,一個人の,一個人のを表す基本語。文脈で意味が広がる。
draw,を引く,を引くを表す基本語。文脈で意味が広がる。
code,法典,法典を表す基本語。文脈で意味が広がる。
below,の下方へ,の下方へを表す基本語。文脈で意味が広がる。
stage,舞台・on stage 舞台上で・・off st,舞台・on stage 舞台上で・・off stを表す基本語。文脈で意味が広がる。
station,場所,場所を表す基本語。文脈で意味が広がる。
sign,表れ,表れを表す基本語。文脈で意味が広がる。
car,自動車電車,自動車電車を表す基本語。文脈で意味が広がる。
heart,心臓,心臓を表す基本語。文脈で意味が広がる。
sell,を売る,を売るを表す基本語。文脈で意味が広がる。
agree,意見が一致する,意見が一致するを表す基本語。文脈で意味が広がる。
technology,科学技術,科学技術を表す基本語。文脈で意味が広がる。
cut,を切る,を切るを表す基本語。文脈で意味が広がる。
character,性格,性格を表す基本語。文脈で意味が広がる。
post,柱,柱を表す基本語。文脈で意味が広がる。
wall,壁,壁を表す基本語。文脈で意味が広がる。
animal,動物,動物を表す基本語。文脈で意味が広がる。
survey,を見渡す,を見渡すを表す基本語。文脈で意味が広がる。
really,実際に,実際にを表す基本語。文脈で意味が広がる。
judge,裁判官,裁判官を表す基本語。文脈で意味が広がる。
minute,分1,分1を表す基本語。文脈で意味が広がる。
drive,を追い立てる,を追い立てるを表す基本語。文脈で意味が広がる。
hard,堅い,堅いを表す基本語。文脈で意味が広がる。
today,きょう,きょうを表す基本語。文脈で意味が広がる。
tree,木,木を表す基本語。文脈で意味が広がる。
soon,間もなく,間もなくを表す基本語。文脈で意味が広がる。
hospital,病院,病院を表す基本語。文脈で意味が広がる。
break,を壊す,を壊すを表す基本語。文脈で意味が広がる。
top,いちばん上の部分,いちばん上の部分を表す基本語。文脈で意味が広がる。
stop,を止める,を止めるを表す基本語。文脈で意味が広がる。
sit,座る,座るを表す基本語。文脈で意味が広がる。
moment,瞬間,瞬間を表す基本語。文脈で意味が広がる。
big,大きい,大きいを表す基本語。文脈で意味が広がる。
arm,腕,腕を表す基本語。文脈で意味が広がる。
island,島,島を表す基本語。文脈で意味が広がる。
door,扉,扉を表す基本語。文脈で意味が広がる。
fine,元気な,元気なを表す基本語。文脈で意味が広がる。
happen,起こる,起こるを表す基本語。文脈で意味が広がる。
item,項目,項目を表す基本語。文脈で意味が広がる。
culture,教養,教養を表す基本語。文脈で意味が広がる。
outside,外側,外側を表す基本語。文脈で意味が広がる。
