english,japanese,detail
teaspoon,茶さじ,茶さじを表す基本語。文脈で意味が広がる。
predicament,苦境,苦境を表す基本語。文脈で意味が広がる。
neurosis,神経症,神経症を表す基本語。文脈で意味が広がる。
tremendously,途方もなく,途方もなくを表す基本語。文脈で意味が広がる。
outwardly,外側に,外側にを表す基本語。文脈で意味が広がる。
falter,ためらう,ためらうを表す基本語。文脈で意味が広がる。
dwarf,こびと,こびとを表す基本語。文脈で意味が広がる。
overestimate,を過大評価する,を過大評価するを表す基本語。文脈で意味が広がる。
itch,かゆい感じ,かゆい感じを表す基本語。文脈で意味が広がる。
lucrative,利益が上がる,利益が上がるを表す基本語。文脈で意味が広がる。
backyard,裏庭,裏庭を表す基本語。文脈で意味が広がる。
standby,たよりになる人,たよりになる人を表す基本語。文脈で意味が広がる。
droop,垂れ下がる,垂れ下がるを表す基本語。文脈で意味が広がる。
clog,じゃま物,じゃま物を表す基本語。文脈で意味が広がる。
sage,賢人,賢人を表す基本語。文脈で意味が広がる。
buzz,ブンブンいう音,ブンブンいう音を表す基本語。文脈で意味が広がる。
nourishment,滋養分,滋養分を表す基本語。文脈で意味が広がる。
compassionate,あわれみ深い,あわれみ深いを表す基本語。文脈で意味が広がる。
dropout,脱落者,脱落者を表す基本語。文脈で意味が広がる。
stool,腰掛け,腰掛けを表す基本語。文脈で意味が広がる。
attainable,達せられる,達せられるを表す基本語。文脈で意味が広がる。
permanence,永久不変性,永久不変性を表す基本語。文脈で意味が広がる。
serene,穏やかな,穏やかなを表す基本語。文脈で意味が広がる。
sprint,短距離競走,短距離競走を表す基本語。文脈で意味が広がる。
visibly,目に見えて,目に見えてを表す基本語。文脈で意味が広がる。
outrageous,法外な,法外なを表す基本語。文脈で意味が広がる。
pallet,わらぶとん・粗末な寝床,わらぶとん・粗末な寝床を表す基本語。文脈で意味が広がる。
unsure,不安定な,不安定なを表す基本語。文脈で意味が広がる。
pessimistic,悲観的な,悲観的なを表す基本語。文脈で意味が広がる。
powerfully,力強く,力強くを表す基本語。文脈で意味が広がる。
overshadow,に影を投げかける,に影を投げかけるを表す基本語。文脈で意味が広がる。
millionaire,百万長者,百万長者を表す基本語。文脈で意味が広がる。
rebellious,反抗する,反抗するを表す基本語。文脈で意味が広がる。
bum,なまけ者,なまけ者を表す基本語。文脈で意味が広がる。
rubble,石くず,石くずを表す基本語。文脈で意味が広がる。
rash,向こう見ずな,向こう見ずなを表す基本語。文脈で意味が広がる。
landslide,地すべり,地すべりを表す基本語。文脈で意味が広がる。
trample,を踏みつける,を踏みつけるを表す基本語。文脈で意味が広がる。
patriot,愛国者,愛国者を表す基本語。文脈で意味が広がる。
cascade,小滝,小滝を表す基本語。文脈で意味が広がる。
unforeseen,予知しない,予知しないを表す基本語。文脈で意味が広がる。
birthplace,出生地,出生地を表す基本語。文脈で意味が広がる。
peacefully,平和に,平和にを表す基本語。文脈で意味が広がる。
