english,japanese
abide,従う
apprehend,理解する
ascertain,確かめる
assimilate,吸収する
avert,避ける
capitalize,利用する
coerce,強制する
collide,衝突する
commence,始める
conform,従う
consolidate,強化する
contend,主張する
converge,一点に集まる
degrade,低下させる
deliberate,熟考する
deplete,使い果たす
disguise,変装させる
displace,取って代わる
disrupt,混乱させる
domesticate,飼いならす
drift,漂う
eject,追い出す
elaborate,詳しく述べる
elevate,高める
enact,制定する
endorse,支持する
engross,夢中にさせる
entail,伴う
entrust,任せる
erode,侵食する
evade,避ける
exert,及ぼす
extinguish,消す
fabricate,でっち上げる
flatter,お世辞を言う
gamble,賭ける
harass,悩ませる
harness,活用する
induce,引き起こす
inhibit,抑制する
levy,課す
linger,長引く
magnify,拡大する
mediate,仲裁する
mobilize,動員する
neutralize,中和する
oblige,義務づける
obscure,分かりにくくする
perish,滅びる
pledge,誓う
reconcile,和解させる
refine,洗練する
regain,取り戻す
reside,住む
resort,頼る
retreat,退く
revive,復活させる
scrutinize,詳しく調べる
suppress,抑える
surrender,降伏する
terminate,終わらせる
thrive,繁栄する
underlie,根底にある
withhold,差し控える
dispatch,派遣する
exhaust,使い果たす
haunt,つきまとう
impair,損なう
predominate,優勢である
transcend,超越する
abstraction,抽象
accusation,非難
adaptability,適応力
affinity,親近感
ambiguity,あいまいさ
aptitude,適性
aristocracy,貴族制度
authenticity,信頼性
availability,利用可能性
catastrophe,大災害
chronicle,年代記
coherence,一貫性
coincidence,偶然の一致
compliance,遵守
consistency,一貫性
contamination,汚染
conviction,確信
counterpart,対応するもの
credibility,信頼性
deficiency,欠乏
deliberation,熟考
demographics,人口統計
deterrent,抑止力
disposition,性質
disruption,混乱
dividend,配当
doctrine,教義
dominance,支配
equilibrium,均衡
ethnicity,民族性
expenditure,支出
feasibility,実現可能性
flexibility,柔軟性
fragment,断片
hypocrisy,偽善
inclination,傾向
indifference,無関心
inquiry,調査
instability,不安定さ
integrity,誠実さ
interdependence,相互依存
interference,干渉
legacy,遺産
legitimacy,正当性
liability,責任
manifestation,現れ
mediation,仲裁
modification,修正
monarch,君主
niche,すき間
obstacle,障害
paradox,逆説
portfolio,作品集
precaution,用心
predecessor,前任者
prevalence,普及
proficiency,熟達
prototype,試作品
realm,領域
recipient,受取人
relevance,関連性
resilience,回復力
sanitation,衛生
sovereignty,主権
threshold,しきい値
trait,特徴
transformation,変化
transition,移行
validity,妥当性
vocation,職業
abnormal,異常な
adaptive,適応できる
affluent,裕福な
alert,油断のない
arbitrary,任意の
cumulative,累積的な
deficient,不足している
detrimental,有害な
empirical,経験に基づく
eventual,最終的な
formidable,手ごわい
harmonious,調和した
homogeneous,同質の
impartial,公平な
inherent,本来備わった
interdisciplinary,学際的な
intricate,複雑な
irrational,不合理な
legitimate,正当な
mandatory,義務的な
marginal,わずかな
novel,新しい
plausible,もっともらしい
profound,深い
provisional,仮の
redundant,余分な
static,静的な
susceptible,影響を受けやすい
tentative,仮の
underlying,根本的な
viable,実行可能な
volatile,不安定な
congenital,生まれつきの
subordinate,従属的な
indispensable,不可欠な
versatile,多用途の
conspicuous,目立つ
bleak,暗い
crude,粗雑な
dormant,休眠中の
elastic,弾力のある
lucrative,もうかる
obsolete,時代遅れの
opaque,不透明な
peripheral,周辺の
reciprocal,相互の
residual,残りの
rigorous,厳密な
selective,選択的な
subsequent,その後の
as a rule,概して
by virtue of,〜のおかげで
in proportion to,〜に比例して
in pursuit of,〜を追求して
in the face of,〜に直面して
in the presence of,〜の存在下で
in the process of,〜の過程で
irrespective of,〜に関係なく
not to mention,〜は言うまでもなく
provided that,〜という条件で
to begin with,まず第一に
to the contrary,それとは反対に
with reference to,〜に関して
with the exception of,〜を除いて
ahead of schedule,予定より早く
behind schedule,予定より遅れて
for the most part,大部分は
in retrospect,振り返ってみると
in practice,実際には
in principle,原則として
