english,japanese
all,すべての
any,いくつかの
some,いくつかの
many,たくさんの
much,たくさんの
every,すべての
each,それぞれの
other,他の
another,もう1つの
both,両方の
only,ただ1つの
just,ちょうど
also,〜もまた
too,〜もまた
very,とても
really,本当に
well,上手に
often,よく
always,いつも
usually,ふつう
sometimes,時々
never,一度も〜ない
again,再び
soon,すぐに
now,今
then,その時
next,次の
last,最後の
together,一緒に
alone,ひとりで
around,〜のまわりに
into,〜の中へ
over,〜を越えて
behind,〜の後ろに
beside,〜のそばに
above,〜の上に
below,〜の下に
outside,外に
inside,中に
during,〜の間に
until,〜まで
than,〜よりも
as,〜として
maybe,たぶん
sure,確かな
correct,正しい
wrong,間違った
true,本当の
same,同じ
different,違った
free,自由な
full,いっぱいの
ready,準備ができた
glad,うれしい
excited,わくわくした
surprised,驚いた
worried,心配した
bored,退屈した
sick,病気の
healthy,健康な
rich,裕福な
poor,貧しい
dark,暗い
bright,明るい
heavy,重い
light,軽い
hard,難しい
soft,やわらかい
sweet,甘い
sour,すっぱい
salty,塩辛い
delicious,おいしい
expensive,高価な
cheap,安い
tall,背が高い
thin,細い
fat,太った
smart,賢い
clever,賢い
funny,おもしろい
busy,忙しい
lazy,怠けた
honest,正直な
serious,まじめな
early,早い
late,遅い
own,自分自身の
natural,自然な
foreign,外国の
local,地元の
public,公共の
private,私的な
common,よくある
special,特別な
safe,安全な
dangerous,危険な
weak,弱い
strong,強い
useful,役に立つ
helpful,助けになる
become,〜になる
begin,始める
break,壊す
call,電話する
catch,捕まえる
change,変える
choose,選ぶ
climb,登る
cry,泣く
cut,切る
dance,踊る
draw,描く
drive,運転する
drop,落とす
feel,感じる
follow,ついて行く
grow,成長する
hope,望む
invite,招待する
join,参加する
jump,跳ぶ
keep,保つ
leave,去る
move,動く
pay,支払う
pick,選ぶ
rain,雨が降る
reach,着く
ride,乗る
sell,売る
send,送る
sing,歌う
skate,スケートをする
ski,スキーをする
smile,ほほえむ
snow,雪が降る
stay,滞在する
throw,投げる
travel,旅行する
wash,洗う
wear,身につける
win,勝つ
lose,負ける
worry,心配する
call back,電話をかけ直す
take care of,世話をする
look for,探す
listen to,〜を聞く
get up,起きる
go out,外出する
person,人
thing,物
place,場所
language,言語
culture,文化
custom,習慣
dream,夢
goal,目標
future,未来
hobby,趣味
letter,手紙
email,メール
message,メッセージ
news,ニュース
newspaper,新聞
magazine,雑誌
website,ウェブサイト
internet,インターネット
video,動画
photo,写真
sound,音
voice,声
noise,騒音
problem,問題
plan,計画
idea,考え
reason,理由
example,例
rule,規則
promise,約束
chance,機会
life,生活
fact,事実
story,物語
line,行
page,ページ
word,単語
sentence,文
meaning,意味
way,方法
side,側
front,前
back,後ろ
top,上部
bottom,下部
middle,真ん中
end,終わり
beginning,始まり
part,部分
