id,english,japanese,detail,sample,sample-jpn
b1-part5-0001,inconvenient,不便な,都合よく進まない状態。時間・場所・状況に使う。 ,"The delayed train made the schedule inconvenient.",電車の遅延でスケジュールが不便になった。
b1-part5-0002,vegetarian,菜食主義者,肉を避ける食生活の人。形容詞として菜食の意味もある。 ,"The restaurant offers a vegetarian lunch.",そのレストランはベジタリアンランチを提供している。
b1-part5-0003,shadowy,陰になった,「陰になった」を表す語。人・物の性質・状態を表す形容詞。 ,"A shadowy figure stood in the doorway.",扉口に影のような人物が立っていた。
b1-part5-0004,oily,油の,「油の」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The surface felt oily.",表面は油っぽく感じた。
b1-part5-0005,scary,恐ろしい,「恐ろしい」を表す語。人・物の性質・状態を表す形容詞。 ,"The scary movie made him cover his eyes.",怖い映画で彼は目を覆った。
b1-part5-0006,subconscious,潜在意識の、無意識の,「潜在意識の」を表す語。人・物の性質・状態を表す形容詞。 ,"A subconscious fear affected his behavior.",潜在的な恐怖が彼の行動に影響を与えた。
b1-part5-0007,stricken,襲われた、苦しんでいる,災害や病気に打たれた状態。苦しんでいる様子を表す。 ,"Doctors treated the stricken villagers after the flood.",医師たちは洪水後に被災した村人たちを治療した。
b1-part5-0008,mediterranean,地中海の,「地中海の」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The Mediterranean Sea is warm in summer.",地中海は夏に温かい。
b1-part5-0009,ape,類人猿,具体的な物・場所を指す語。「類人猿」を場面の名詞として使う。 ,"The ape moved through the grass.",類人猿が草の中を移動した。
b1-part5-0010,riddle,なぞなぞ、謎,「なぞなぞ」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"Can you solve this riddle?",このなぞなぞを解けますか？
b1-part5-0011,scold,～ を叱る,「叱る」を表す語。動きや変化を表し、比喩にも広がる。 ,"The teacher may scold late students.",先生は遅刻した生徒を叱るかもしれない。
b1-part5-0012,grill,焼き網、～を焼く,「焼き網」を表す語。動きや変化を表し、比喩にも広がる。 ,"We cooked meat on the grill.",私たちはグリルで肉を焼いた。
b1-part5-0013,breathless,息切れした,「息切れした」を表す語。人・物の性質・状態を表す形容詞。 ,"She was breathless after running up the stairs.",階段を駆け上がった後、彼女は息が切れていた。
b1-part5-0014,flu,インフルエンザ,「インフルエンザ」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"He stayed home because he had the flu.",彼はインフルエンザにかかったため家にいた。
b1-part5-0015,daze,ぼう然とした状態,「ぼう然とした状態」を表す語。人の性質・感情・状態を表す抽象語。 ,"He walked in a daze after the shock.",ショックの後、彼はぼんやりした状態で歩いた。
b1-part5-0016,mash,～ を押しつぶす,「押しつぶす」を表す語。動きや変化を表し、比喩にも広がる。 ,"Mash the potatoes with butter.",ジャガイモをバターと一緒につぶしなさい。
b1-part5-0017,shameful,恥ずべき,「恥ずべき」を表す語。人・物の性質・状態を表す形容詞。 ,"Lying to your friends is shameful.",友人に嘘をつくのは恥ずかしいことだ。
b1-part5-0018,carelessly,不注意に,「不注意に」を表す語。動作・状態の程度や方向を補う副詞的な語。 ,"He carelessly dropped the glass on the floor.",彼は不注意にもグラスを床に落とした。
