id,english,japanese,detail,sample,sample-jpn
a2-part3-0044,hiking,ハイキング,動作を名詞・形容詞化した語。「ハイキング」場面や状態を表す。 ,"We went hiking on Sunday.",日曜日にハイキングに行った。
a2-add1-0022,convenience,便利、好都合,手間がかからず便利なこと。都合のよさや便利な設備を指す。,"For your convenience, the store is open late.",ご都合に合わせ、店は遅くまで開いています。
a2-part2-0008,spill,～をこぼす,中身をこぼすイメージ。あふれ出す・秘密を漏らす意味にも。,"Do not spill water on the laptop.",ノートパソコンに水をこぼさないでください。
a2-part6-0028,probability,確率,動作・性質を名詞化した語。「確率」という概念や結果を表す。 ,"The probability of rain is high today.",今日は雨が降る確率が高い。
a2-part2-0058,dislike,～を嫌う,好まず嫌うイメージ。名詞では嫌悪・反感を指す。,"I dislike loud restaurants.",私はうるさいレストランが嫌いだ。
a2-part6-0174,intermediate,中間の,二つの間の中間の・中級の様子。仲立ちを指すこともある。,"This course is for intermediate learners.",このコースは中級者向けだ。
a2-part3-0051,breeze,微風・そよ風,心地よいそよ風・微風。たやすい事の意味にも使う。,"A cool breeze came from the sea.",海から涼しいそよ風が吹いてきた。
a2-part1-0180,ambition,野心、大望,動作・性質を名詞化した語。「野心」という概念や結果を表す。 ,"His ambition was to become a doctor.",彼の野心は医者になることだった。
a2-part2-0062,lively,生気にあふれた,生き生きと活気ある様子。快活な・にぎやかなイメージ。,"A lively crowd filled the town square.",にぎやかな群衆が町の広場を埋め尽くした。
a2-part7-0103,consume,～を消費する,使い果たし消費するイメージ。食べ尽くす・夢中にさせる意味も。,"Cars consume fuel quickly in traffic.",車は渋滞の中で燃料を急速に消費する。
a2-part7-0020,demonstration,実演、デモ,動作・性質を名詞化した語。「実演」という概念や結果を表す。 ,"The students held a demonstration for peace.",生徒たちは平和のためのデモを行った。
a2-part2-0135,splash,～をはねかける,水などをはねかけるイメージ。ばしゃっと飛び散る意味にも使う。,"The children splash water in the pool.",子供たちはプールで水をはね飛ばしている。
a2-part7-0125,technological,科学技術の,科学技術に関する様子。技術革新のイメージ。,"Technological progress changed how we work.",技術の進歩は私たちの仕事の仕方を変えた。
a2-part4-0184,conclude,結論づける、終える,結論を下すイメージ。締めくくる・取り決める意味にも使う。,"We can conclude that the test was fair.",テストは公平だったと結論付けることができる。
a2-add1-0031,expectation,期待、予想,こうなるだろうという期待・予想。見込みを指す。,"The results were beyond our expectation.",結果は私たちの期待を上回った。
a2-part7-0099,moisture,湿りけ,空気や物にある湿りけ・水分。しめり気を指す。,"The soil needs moisture.",土壌には水分が必要だ。
a2-part1-0039,prediction,予測、予言,動作・性質を名詞化した語。「予測」という概念や結果を表す。 ,"His prediction about the weather was correct.",天気についての彼の予測は正しかった。
a2-part6-0043,pupil,生徒,学校で学ぶ生徒。目の瞳孔を指すこともある。,"The pupil raised her hand in class.",生徒が授業中に手を挙げた。
a2-part1-0141,swallow,ツバメ、～を飲み込む,ツバメの名詞と「飲み込む」動作の両方。丸ごと受け入れる比喩も。 ,"Swallow the pill with water.",水と一緒に錠剤を飲み込んでください。
a2-part6-0155,translate,～を翻訳する,別の言語に翻訳するイメージ。言い換える・移す意味にも使う。,"The crew will translate the letter after the inspection.",検査後、乗組員が手紙を翻訳する。
