english,japanese,detail,sample
administration,行政、管理,動作・性質を名詞化した語。「行政」という概念や結果を表す。 ,"The debate revealed administration after the vote."
principle,原理,「原理」を指す基本語。物・考え・場面を具体的に表す。 ,"The article described the principle with an example."
define,～を定義する,対象に働きかける動詞。「定義する」動作から抽象的用法にも広がる。 ,"They decided to define it before noon."
transfer,～を移す,対象に働きかける動詞。「移す」動作から抽象的用法にも広がる。 ,"The training video shows how to transfer it safely."
flow,流れる,「流れる」という動きや変化を表す語。人・物の状態変化にも使う。 ,"The manual listed the flow under tools."
annual,年の,「年の」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The report noted an annual pattern."
journal,日誌,「日誌」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The room had a journal feeling."
object,物,目の前の物が主な意味。目的語や反対する動詞にもなる。 ,"The guide mentioned the object near the entrance."
conduct,行為,人の行いが主な意味。実施する・導くという動詞にもなる。 ,"A diagram showed the conduct clearly."
affect,～に影響する,対象に働きかける動詞。「影響する」動作から抽象的用法にも広がる。 ,"Please affect it after checking the instructions."
generally,普通は,「普通は」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"Generally, the route needs more time."
financial,財政上の,「財政上の」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The coach praised a financial effort."
effective,効果的な,「効果的な」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The coach praised an effective effort."
content,趣旨,「趣旨」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The teacher chose a content example."
insurance,保険,動作・性質を名詞化した語。「保険」という概念や結果を表す。 ,"The committee discussed insurance for an hour."
observe,～を観察する,対象に働きかける動詞。「観察する」動作から抽象的用法にも広がる。 ,"Workers learned to observe it during practice."
industrial,産業の,「産業の」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The room had an industrial feeling."
facility,施設、設備,「施設」という場所・範囲が主な意味。活動や所属の場面で使う。 ,"The survey tracked facility over several years."
appeal,訴える,心や相手に訴える感覚。魅力・上訴の意味にも広がる。 ,"The note explained the appeal in plain words."
permit,～を許可する,対象に働きかける動詞。「許可する」動作から抽象的用法にも広がる。 ,"Please permit it after checking the instructions."
nor,も,「も」を指す基本語。物・考え・場面を具体的に表す。 ,"I stayed home nor it rained."
assume,～を当然のことと思う,対象に働きかける動詞。「当然のと思う」動作から抽象的用法にも広がる。 ,"The guide showed us how to assume it."
risk,危険,「危険」を指す基本語。物・考え・場面を具体的に表す。 ,"Risk increases on icy roads."
chief,長,「長」という人・役割が主な意味。職業・立場・関係を表す。 ,"A client asked about the chief after lunch."
