english,japanese,detail,sample
prone,～しがちな；うつ伏せの,「ある方向に倒れやすい」を表す語。傾向・うつ伏せの二義。「しがちな」の意味もある。 ,"The guide suggested a prone method."
paramount,最高の,「最高の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The coach praised a paramount effort."
conduit,導管,「導管」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The note explained the conduit in plain words."
denounce,～を非難する,「非難する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The training video shows how to denounce it safely."
proximal,近位の,「近位の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The committee made a proximal decision."
meteorological,気象学の,「気象学の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The teacher gave a meteorological example."
hoist,～を揚げる,「揚げる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The guide showed us how to hoist it."
brood,ひな一腹；くよくよ考える,「卵を抱く」を表す語。ひな一腹から、考え込む意味へ広がる。「くよくよ考える」の意味もある。 ,"The presenter pointed to the brood on the slide."
adhesion,粘着,「粘着」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The lecture explored adhesion through real cases."
allude,ほのめかす,「ほのめかす」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The article described the allude with an example."
condensation,凝縮,「凝縮」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The debate revealed condensation after the vote."
topography,地形学,「地形学」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"A photo showed the topography beside the road."
corpse,死体,「死体」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The police found a corpse."
intermediary,仲介者；中間の,「仲介者」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「中間の」の意味もある。 ,"The teacher chose an intermediary example."
scroll,巻物；スクロールする,「巻物」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。「スクロールする」の意味もある。 ,"The note explained the scroll in plain words."
hamper,～を妨げる,「動きを妨げる」を表す語。進行・活動・自由を邪魔する語。 ,"Workers learned to hamper it during practice."
conjecture,推測すること,「推測すること」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"A diagram showed the conjecture clearly."
recourse,頼る手段,「困った時の頼み先」を表す語。法的・実務的な手段に使う。 ,"The recourse arrived early for the workshop."
informant,情報提供者,「情報提供者」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The informant arrived early for the meeting."
artifact,人工物,「人工物」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The artifact arrived early for the workshop."
grievance,不満；苦情,「不満」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「苦情」の意味もある。 ,"The debate revealed grievance after the vote."
concurrence,一致,「一致」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The study measured concurrence across three groups."
ordain,～を聖職に任命する,「聖職に任命する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"They decided to ordain it before noon."
assimilation,同化,「同化」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The policy raised questions about assimilation."
fluctuate,変動する,「上下に揺れ動く」を表す語。価格・気温・感情などに使う。 ,"The team will fluctuate the proposal before Friday."
allusion,ほのめかし,「ほのめかし」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The article linked allusion to climate change."
distillation,蒸留,「蒸留」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The speaker defined distillation with a simple example."
rhetorical,修辞学の,「修辞学の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"A rhetorical question started the debate."
apprehend,～を逮捕する；理解する,「逮捕する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。「理解する」の意味もある。 ,"The training video shows how to apprehend it safely."
assimilate,～を吸収する,「吸収する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Please assimilate it after checking the instructions."
mercantile,商業の,「商業の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"A mercantile color filled the evening sky."
conciliation,なだめること,「なだめること」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"Conciliation helped end the dispute."
articulation,調音,「調音」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"A short story illustrated articulation clearly."
conglomerate,固まりになった,「固まりになった」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The teacher chose a conglomerate example."
melancholy,憂うつ,「憂うつ」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The child listened melancholy during the story."
oblique,傾いた,「傾いた」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The teacher chose an oblique example."
facsimile,正確な複写,「正確な複写」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The manual listed the facsimile under tools."
mesh,網目；かみ合う,「網目」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「かみ合う」の意味もある。 ,"The screen is made of mesh."
apostle,使徒,「使徒」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The note explained the apostle in plain words."
amorphous,形のない,「形のない」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The report noted an amorphous pattern."
stringent,厳しい,「厳しい」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The report noted a stringent pattern."
substantiate,～を実証する,「実証する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The guide showed us how to substantiate it."
anthology,アンソロジー,「アンソロジー」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The visitor noticed the anthology near the doorway."
etch,～をエッチングで描く,「エッチングで描く」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The training video shows how to etch it safely."
zoology,動物学,「動物学」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The zoology moved quietly."
instantaneous,即時の,「即時の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The response was instantaneous."
plume,羽毛；噴煙,「羽毛」を表す語という具体的対象。人・物・場所などを直接指す語。「噴煙」の意味もある。 ,"The teacher asked about the plume after class."
punitive,処罰のための,「処罰のための」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The sign gave a punitive warning."
chronology,年代学,「年代学」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The calendar marked the chronology in blue."
anthropological,人類学の,「人類学の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The anthropological study was detailed."
requisition,要求；徴発,「要求」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「徴発」の意味もある。 ,"The debate revealed requisition after the vote."
presuppose,～を前提とする,「前提とする」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The guide showed us how to presuppose it."
blight,害；荒廃させる,「害」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。「荒廃させる」の意味もある。 ,"A diagram showed the blight clearly."
reproach,～をしかる,「しかる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The training video shows how to reproach it safely."
preoccupation,没頭,「没頭」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The committee discussed preoccupation for an hour."
retrospective,回顧的な,「回顧的な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The report noted a retrospective pattern."
pervasive,広く行き渡る,「広く行き渡る」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The room had a pervasive feeling."
authenticity,確実性,「確実性」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The authenticity opened early for visitors."
curator,学芸員；管理者,「学芸員」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「管理者」の意味もある。 ,"The curator arrived early for the workshop."
interrogation,尋問,「尋問」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"Her essay connected interrogation with daily life."
remittance,送金,「送金」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The debate revealed remittance after the vote."
remit,～を送る,「送る」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The guide showed us how to remit it."
opaque,不透明な,「光を通さない」を表す語。説明が不透明・分かりにくい意味も。 ,"The coach praised an opaque effort."
extant,現存している,「現存している」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The guide mentioned the extant near the entrance."
aptitude,素質,「素質」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"A diagram showed the aptitude clearly."
axiom,自明の理,「自明の理」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The team checked the axiom before leaving."
malice,悪意,「悪意」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The visitor noticed the malice near the doorway."
lament,嘆く,「嘆く」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The survey tracked lament over several years."
solitude,孤独,「孤独」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The checklist included the solitude at the end."
malicious,悪意のある,「悪意のある」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The report noted a malicious pattern."
myriad,無数,「数え切れない多さ」を表す語。a myriad of の形で多い。 ,"The teacher asked about the myriad after class."
posit,仮定する,「仮定する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"A photo showed the posit beside the road."
gravitational,引力の,「引力の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The guide suggested a gravitational method."
individualism,個人主義,「個人主義」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The individualism arrived early for the workshop."
perch,止まり木,「止まり木」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"Hikers noticed the perch near the trail."
insular,島の,「島の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The community seemed insular."
overlay,～を覆いかぶせる,「覆いかぶせる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The guide showed us how to overlay it."
parable,たとえ話,「たとえ話」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The sign gave a parable warning."
banish,～を追放する,「追放する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The training video shows how to banish it safely."
succumb,屈服する,「屈服する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The presenter pointed to the succumb on the slide."
indulgence,ふけること,「ふけること」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The debate revealed indulgence after the vote."
engender,～を生じさせる,「生じさせる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The guide showed us how to engender it."
deterrent,抑止力；抑止の,「相手に思いとどまらせる力」を表す語。犯罪・戦略で多い。意味は「抑止力」・「抑止の」などに分かれる。 ,"The committee made a deterrent decision."
repose,休息,「休息」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"A photo showed the repose beside the road."
calamity,災害,「災害」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The committee discussed calamity for an hour."
bout,一時的な発作；試合,「一時的な発作」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「試合」の意味もある。 ,"The report connected the bout to the case."
inducement,促すこと,「促すこと」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The speaker defined inducement with a simple example."
embodiment,具体化されたもの,「具体化されたもの」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The survey tracked embodiment over several years."
moor,荒野；係留する,「荒野」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。「係留する」の意味もある。 ,"A diagram showed the moor clearly."
redundancy,冗長性；余剰人員,「冗長性」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「余剰人員」の意味もある。 ,"The redundancy arrived early for the workshop."
etching,食刻法,「食刻法」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The etching hung on the wall."
palate,口蓋,「口蓋」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The presenter pointed to the palate on the slide."
selectivity,選択性,「選択性」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"A short story illustrated selectivity clearly."
fallacy,間違った考え,「間違った考え」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The policy raised questions about fallacy."
aberration,正道からはずれること,「正道からはずれること」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The committee discussed aberration for an hour."
abundantly,豊富に,「豊富に」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The boat drifted abundantly across the lake."
epoxy,エポキシ,「エポキシ」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The manual listed the epoxy under tools."
recitation,暗唱,「暗唱」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The survey tracked recitation over several years."
hitch,支障；つなぐ,「支障」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「つなぐ」の意味もある。 ,"The note explained the hitch in plain words."
connotation,言外の意味,「言外の意味」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"Her essay connected connotation with daily life."
protrude,突き出る,「突き出る」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"A diagram showed the protrude clearly."
depressive,抑うつの,「抑うつの」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The editor marked a depressive phrase."
eminence,高名；高地,「高名」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「高地」の意味もある。 ,"A short story illustrated eminence clearly."
rift,切れ目,「切れ目」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The argument caused a rift."
materialism,唯物論,「唯物論」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The committee discussed materialism for an hour."
contrive,～を考案する,「考案する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"A contrive color filled the evening sky."
monastic,修道院の,「修道院の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The coach praised a monastic effort."
commensurate,相応の；釣り合った,「相応の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「釣り合った」の意味もある。 ,"The sign gave a commensurate warning."
meteorology,気象学,「気象学」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The manual listed the meteorology under tools."
belligerent,好戦的な,「好戦的な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The report noted a belligerent pattern."
superfluous,必要以上の,「必要以上の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The teacher chose a superfluous example."
parochial,偏狭な；小教区の,「偏狭な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「小教区の」の意味もある。 ,"The editor marked a parochial phrase."
habitation,住居；居住,「住居」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「居住」の意味もある。 ,"A short story illustrated habitation clearly."
quiver,震える,「震える」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The team checked the quiver before leaving."
collide,ぶつかる,「ぶつかる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The visitor noticed the collide near the doorway."
consignment,委託,「委託」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The article linked consignment to climate change."
ostensibly,表向きは,「表向きは」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The singer paused ostensibly before the chorus."
paradoxical,逆説の,「逆説の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The guide suggested a paradoxical method."
brink,瀬戸際；縁,「瀬戸際」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「縁」の意味もある。 ,"The teacher asked about the brink after class."
