english,japanese,detail,sample
clerical,事務の・聖職者の,「事務の・聖職者の」を表す語。人・物・状況の性質を描く形容詞。 ,"The report noted a clerical pattern."
olive,オリーブ,「オリーブ」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The editor marked an olive phrase."
leak,漏れ・漏れる,「漏れ・漏れる」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The visitor noticed the leak near the doorway."
decomposition,分解,「分解」を表す語。行為・結果・状態を表す名詞。 ,"The policy raised questions about decomposition."
coincide,同時に起こる・一致する,「同時に起こる・一致する」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The checklist included the coincide at the end."
balanced,バランスが取れた,「バランスが取れた」を表す語。人・物・状況の性質を描く形容詞。 ,"A balanced color filled the evening sky."
concede,～を認める・譲歩する,「認める・譲歩する」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The guide showed us how to concede it."
humble,謙虚な・質素な,「謙虚な・質素な」を表す語。人・物・状況の性質を描く形容詞。 ,"The sign gave a humble warning."
widen,～を広くする,「広くする」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The training video shows how to widen it safely."
goat,ヤギ,「ヤギ」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The report connected the goat to the case."
relay,中継・リレー,「中継・リレー」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The note explained the relay in plain words."
prose,散文,「散文」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The guide mentioned the prose near the entrance."
influential,影響力のある,「影響力のある」を表す語。否定・不足・反対状態を表す。 ,"The committee made an influential decision."
surveillance,監視,「監視」を表す語。行為・結果・状態を表す名詞。 ,"The policy raised questions about surveillance."
whip,鞭・～を鞭打つ,「鞭・を鞭打つ」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The visitor noticed the whip near the doorway."
verse,詩・韻文,「詩・韻文」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The presenter pointed to the verse on the slide."
alongside,～のそばに・並んで,「そばに・並んで」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"She spoke alongside to the visitor."
retailer,小売り商人,「小売り商人」を表す語。その役割・職業・立場の人を表す。 ,"The invoice listed the retailer clearly."
contempt,軽蔑,「軽蔑」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The teacher asked about the contempt after class."
royalty,王族・印税,「王族・印税」を表す語。性質・状態・考え方を表す抽象語。 ,"The editor marked a royalty phrase."
pavement,舗装道路・歩道,「舗装道路・歩道」を表す語。行為・結果・状態を表す名詞。 ,"Experts can pavement the reservation carefully."
reinforcement,補強・増援,「補強・増援」を表す語。行為・結果・状態を表す名詞。 ,"The study measured reinforcement across three groups."
hood,フード・フード,「フード・フード」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"A short story illustrated hood clearly."
simultaneous,同時の,「同時の」を表す語。人・物・状況の性質を描く形容詞。 ,"The teacher chose a simultaneous example."
decorate,～を飾る,「飾る」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"Please decorate it after checking the instructions."
canon,正典・規範,「正典・規範」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The team checked the canon before leaving."
carve,～を彫る・切り分ける,「彫る・切り分ける」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The guide showed us how to carve it."
decoration,装飾,「装飾」を表す語。行為・結果・状態を表す名詞。 ,"The survey tracked decoration over several years."
hygiene,衛生,「衛生」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The checklist included the hygiene at the end."
banker,銀行家,「銀行家」を表す語。その役割・職業・立場の人を表す。 ,"The invoice listed the banker clearly."
slaughter,虐殺・屠殺,「虐殺・屠殺」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The teacher asked about the slaughter after class."
imperative,必須の・命令的な,「必須の・命令的な」を表す語。否定・不足・反対状態を表す。 ,"The editor marked an imperative phrase."
shrug,肩をすくめる,「肩をすくめる」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"She gave a shrug."
idle,何もしていない・怠惰な,「何もしていない・怠惰な」を表す語。人・物・状況の性質を描く形容詞。 ,"The teacher chose an idle example."
additionally,その上,「その上」を表す語。動作・判断の仕方や程度を添える。 ,"The child listened additionally during the story."
invisible,目に見えない,「目に見えない」を表す語。否定・不足・反対状態を表す。 ,"The result was invisible."
bloody,血まみれの,「血まみれの」を表す語。人・物・状況の性質を描く形容詞。 ,"The coach praised a bloody effort."
dilemma,板ばさみ,「板ばさみ」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The team checked the dilemma before leaving."
tolerate,～に寛大な態度をとる,「寛大な態度をとる」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"We tolerate small delays."
handicap,障害・不利な条件,「障害・不利な条件」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The presenter pointed to the handicap on the slide."
trailer,トレーラー,「トレーラー」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The checklist included the trailer at the end."
destiny,運命,「運命」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The article described the destiny with an example."
varied,さまざまな,「さまざまな」を表す語。人・物・状況の性質を描く形容詞。 ,"The committee made a varied decision."
booth,仮小屋,「仮小屋」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"A photo showed the booth beside the road."
drought,干ばつ,「干ばつ」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The manual listed the drought under tools."
genre,ジャンル・形式,「ジャンル・形式」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The report connected the genre to the case."
privately,個人的に・内密に,「個人的に・内密に」を表す語。動作・判断の仕方や程度を添える。 ,"The singer paused privately before the chorus."
prosecute,～を起訴する,「起訴する」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"They decided to prosecute it before noon."
exclaim,叫ぶ,「叫ぶ」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"A diagram showed the exclaim clearly."
deliberate,よく考えた,「よく考えた」を表す語。人・物・状況の性質を描く形容詞。 ,"The editor marked a deliberate phrase."
lap,ひざ・一周,「ひざ・一周」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The visitor noticed the lap near the doorway."
unchanged,変化のない,「変化のない」を表す語。否定・不足・反対状態を表す。 ,"The schedule remained unchanged after the storm."
