english,japanese,detail,sample
feat,手柄,「手柄」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The kitchen smelled of the feat all morning."
elemental,基本的な・自然力の,「基本的な・自然力の」を表す語。人・物・状況の性質を描く形容詞。 ,"The story has elemental appeal."
burglary,住居侵入・窃盗,「住居侵入・窃盗」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The guide suggested a burglary method."
tame,飼いならされた,「飼いならされた」を表す語。人・物・状況の性質を描く形容詞。 ,"The teacher chose a tame example."
trophy,トロフィー・戦利品,「勝利のしるし」から、賞杯や戦利品を表す。 ,"The checklist included the trophy at the end."
redundant,余計な,「余計な」を表す語。人・物・状況の性質を描く形容詞。 ,"A redundant color filled the evening sky."
bewilder,～を当惑させる,「当惑させる」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The guide showed us how to bewilder it."
overturn,～をひっくり返す,「ひっくり返す」を表す語。基準を越える・上回る感覚が中心。 ,"They decided to overturn it before noon."
salon,美容院・談話室,「美容院・談話室」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The manual listed the salon under tools."
dependable,信頼できる,「信頼できる」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The report noted a dependable pattern."
clap,拍手・～をたたく,「拍手・をたたく」を表す語。動作・判断の仕方や程度を添える。 ,"The clap arrived early for the workshop."
ling,タラ科の食用魚,「タラ科の食用魚」を表す語。行為・結果・状態を表す名詞。 ,"The ling moved quietly."
unsuitable,不適当な,「不適当な」を表す語。否定・不足・反対状態を表す。 ,"The committee made an unsuitable decision."
legendary,伝説の,「伝説の」を表す語。人・物・状況の性質を描く形容詞。 ,"The teacher chose a legendary example."
daytime,昼間,「昼間」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The visitor noticed the daytime near the doorway."
cocktail,カクテル,「カクテル」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The presenter pointed to the cocktail on the slide."
traitor,裏切り者,「裏切り者」を表す語。その役割・職業・立場の人を表す。 ,"The manager reviewed the traitor before the meeting."
humiliation,辱めること,「辱めること」を表す語。行為・結果・状態を表す名詞。 ,"The survey tracked humiliation over several years."
crease,折り目,「折り目」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"There was a crease in the paper."
chunk,厚切り,「厚切り」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"A photo showed the chunk beside the road."
retard,～の進歩を遅らせる,「進歩を遅らせる」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"Cold temperatures can retard growth."
playwright,劇作家,「劇作家」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The contract defines the playwright in plain language."
gloomy,暗い,「暗い」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The coach praised a gloomy effort."
cuff,そで口,「そで口」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The guide mentioned the cuff near the entrance."
commute,通勤する・減刑する,定期的に行き来する感覚。通勤・減刑にも使う。 ,"A diagram showed the commute clearly."
proudly,誇らしげに,「誇らしげに」を表す語。動作・判断の仕方や程度を添える。 ,"The boat drifted proudly across the lake."
pickle,漬物・ピクルス,「漬物・ピクルス」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The visitor noticed the pickle near the doorway."
helper,助ける人・補助者,「助ける人・補助者」を表す語。その役割・職業・立場の人を表す。 ,"A client asked about the helper after lunch."
fictional,架空の,「架空の」を表す語。人・物・状況の性質を描く形容詞。 ,"The team chose a fictional route."
paw,動物の足,「動物の足」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The paw moved quietly."
improbable,ありそうもない,「ありそうもない」を表す語。否定・不足・反対状態を表す。 ,"The report noted an improbable pattern."
cardboard,厚紙,「厚紙」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"Tourists photographed the cardboard near the station."
nourish,～を養う・育てる,「養う・育てる」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The guide suggested a nourish method."
erupt,噴出する,「噴出する」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The report connected the erupt to the case."
relic,遺物,「遺物」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The editor marked a relic phrase."
unnatural,不自然な,「不自然な」を表す語。否定・不足・反対状態を表す。 ,"His smile looked unnatural."
