english,japanese,detail,sample
mechanism,仕組み；機械装置,「物事が動く仕組み」を表す語。機械だけでなく制度・原因にも使う。「機械装置」の意味もある。 ,"The contract defines the mechanism in plain language."
acre,エーカー,「エーカー」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The team checked the acre before leaving."
carrier,運搬者；運送会社,「運搬者」を表す語という具体的対象。人・物・場所などを直接指す語。「運送会社」の意味もある。 ,"The carrier arrived early for the workshop."
jurisdiction,管轄権；司法権,「管轄権」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「司法権」の意味もある。 ,"The policy raised questions about jurisdiction."
clinical,臨床の,「臨床の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The editor marked a clinical phrase."
render,～を～にする；表現する,「ある状態にする／表現する」を表す語。makeやgiveの硬い語。 ,"Workers learned to render it during practice."
hence,それゆえに,「それゆえに」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The speaker defined hence with a simple example."
specimen,見本,「見本」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"A photo showed the specimen beside the road."
cite,～を引用する,「引用する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The training video shows how to cite it safely."
structural,構造の,「構造の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The report noted a structural pattern."
allege,～を主張する,「主張する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Workers learned to allege it during practice."
contractor,契約人,「契約人」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The contractor arrived early for the workshop."
linear,線の,「線の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The committee made a linear decision."
specification,仕様；明細,「仕様」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「明細」の意味もある。 ,"The policy raised questions about specification."
magnetic,磁石の,「磁石の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The committee made a magnetic decision."
thereby,それによって,「それによって」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The presenter pointed to the thereby on the slide."
vertical,垂直の,「垂直の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The room had a vertical feeling."
coverage,報道；対象範囲,「覆う範囲」を表す語。報道範囲・保険対象・通信範囲にも使う。「対象範囲」の意味もある。 ,"The article described the coverage with an example."
con,反対論；短所,「反対論」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「短所」の意味もある。 ,"The teacher asked about the con after class."
corps,部隊；団体,「部隊」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「団体」の意味もある。 ,"The medical corps arrived quickly."
isolate,～を孤立させる,「孤立させる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Workers learned to isolate it during practice."
premise,前提,「前提」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The report connected the premise to the case."
compliance,遵守；従うこと,「決まりに従うこと」を表す語。法令・規格・社内ルールで多い。「遵守」の意味もある。 ,"A short story illustrated compliance clearly."
substantially,かなり；実質的に,「かなり」を表す語という仕方。動作・判断の程度や話し手の態度を補う。「実質的」の意味もある。 ,"The machine ran substantially after the repair."
conviction,確信,「強く信じること」を表す語。有罪判決の意味にも注意。 ,"The committee discussed conviction for an hour."
fraction,一部；分数,「全体の小さな一部」を表す語。数学では分数も表す。 ,"The article linked fraction to climate change."
duration,持続,「持続」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The speaker defined duration with a simple example."
comply,従う,「従う」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The door closed comply behind us."
circulation,血液の循環,「血液の循環」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The lecture explored circulation through real cases."
sacrifice,犠牲；～を犠牲にする,「犠牲」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。「犠牲にする」の意味もある。 ,"The article described the sacrifice with an example."
advisory,勧告の,「勧告の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The report noted an advisory pattern."
tract,広大な土地；管,「広大な土地」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「管」の意味もある。 ,"A photo showed the tract beside the road."
constraint,制約,「制約」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"A shadow covered the constraint by the river."
voluntary,自発的な,「自発的な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The teacher chose a voluntary example."
