english,japanese,detail,sample
unhealthy,健康でない,「健康でない」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The habit was unhealthy."
punctuation,句読法,動作・性質を名詞化した語。「句読法」という概念や結果を表す。 ,"The study measured punctuation across three groups."
greedy,どん欲な,「どん欲な」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The coach praised a greedy effort."
envy,ねたみ,「ねたみ」を指す基本語。物・考え・場面を具体的に表す。 ,"The guide mentioned the envy near the entrance."
scissors,はさみ,「はさみ」を指す基本語。物・考え・場面を具体的に表す。 ,"A diagram showed the scissors clearly."
wallet,紙入れ,「紙入れ」を指す基本語。物・考え・場面を具体的に表す。 ,"The team checked the wallet before leaving."
granddaughter,孫娘,「孫娘」という人・役割が主な意味。職業・立場・関係を表す。 ,"The invoice listed the granddaughter clearly."
dinosaur,恐竜,「恐竜」を指す基本語。物・考え・場面を具体的に表す。 ,"The librarian set the dinosaur near the entrance."
jam,ジャム,果物のジャムが主な意味。詰まる・渋滞する意味にも使う。 ,"The checklist included the jam at the end."
pasta,パスタ,食べ物・飲み物としての「パスタ」が主な意味。料理や食事場面で使う。 ,"The menu listed the pasta under lunch specials."
tidy,きちんとした,「きちんとした」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The report noted a tidy pattern."
melon,メロン,食べ物・飲み物としての「メロン」が主な意味。料理や食事場面で使う。 ,"The waiter carried the melon to table five."
embarrassing,恥ずかしい思いをさせる,「恥ずかしい思いをさせる」という動きや変化を表す語。人・物の状態変化にも使う。 ,"The guide suggested an embarrassing method."
luckily,運よく,「運よく」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"The machine ran luckily after the repair."
dishonest,不正直な,「不正直な」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The editor marked a dishonest phrase."
hey,おや,「おや」を指す基本語。物・考え・場面を具体的に表す。 ,"The guide mentioned the hey near the entrance."
thunderstorm,大雷雨,「大雷雨」を指す基本語。物・考え・場面を具体的に表す。 ,"A diagram showed the thunderstorm clearly."
overweight,太りすぎの、重量超過の,「太りすぎの」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The sign gave an overweight warning."
ski,スキー,「スキー」を指す基本語。物・考え・場面を具体的に表す。 ,"The visitor noticed the ski near the doorway."
jelly,ゼリー,「ゼリー」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"She spread jelly on the toast."
pal,友達,「友達」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The teacher chose a pal example."
playful,遊び好きな,「遊び好きな」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The editor marked a playful phrase."
climbing,登山、登ること,動作を名詞・形容詞化した語。「登山」場面や状態を表す。 ,"A climbing wind moved through the trees."
thirsty,のどの渇いた,「どの渇いた」を指す基本語。物・考え・場面を具体的に表す。 ,"A photo showed the thirsty beside the road."
crisp,かりかりした,「かりかりした」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The committee made a crisp decision."
armchair,ひじ掛けいす,「ひじ掛けいす」という動きや変化を表す語。人・物の状態変化にも使う。 ,"The report connected the armchair to the case."
batch,ひとまとまり、1回分,「ひとまとまり」を指す基本語。物・考え・場面を具体的に表す。 ,"The calendar marked the batch in blue."
frightening,恐ろしい、ぎょっとさせる,「恐ろしい」という動きや変化を表す語。人・物の状態変化にも使う。 ,"The guide suggested a frightening method."
racket,ラケット；騒音,「ラケット」を指す基本語。物・考え・場面を具体的に表す。「騒音」の意味もある。 ,"A diagram showed the racket clearly."
endangered,危険にさらされた,「危険にさらされた」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"Her smile looked endangered after the news."
blackboard,黒板,「黒板」を指す基本語。物・考え・場面を具体的に表す。 ,"The visitor noticed the blackboard near the doorway."
guidebook,案内書,「案内書」を指す基本語。物・考え・場面を具体的に表す。 ,"The presenter pointed to the guidebook on the slide."
feather,羽,「羽」を指す基本語。物・考え・場面を具体的に表す。 ,"The librarian set the feather near the entrance."
barbecue,バーベキュー,食べ物・飲み物としての「バーベキュー」が主な意味。料理や食事場面で使う。 ,"The chef added the barbecue to the bowl."
windy,風の吹く,「風の吹く」という動きや変化を表す語。人・物の状態変化にも使う。 ,"A field note described the windy after the storm."
missing,紛失した,「紛失した」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The teacher chose a missing example."
dizzy,めまいがする,「めまいがする」という動きや変化を表す語。人・物の状態変化にも使う。 ,"The manual listed the dizzy under tools."
seaside,海岸,「海岸」という場所・範囲が主な意味。活動や所属の場面で使う。 ,"A shadow covered the seaside by the river."
bookshop,書店,「書店」という場所・範囲が主な意味。活動や所属の場面で使う。 ,"The bookshop opened early for visitors."
cooker,料理用電気器具,「料理用電気器具」を指す基本語。物・考え・場面を具体的に表す。 ,"The guide mentioned the cooker near the entrance."
earring,イヤリング,動作を名詞・形容詞化した語。「イヤリング」場面や状態を表す。 ,"The report noted an earring pattern."
cassette,カセット,「カセット」を指す基本語。物・考え・場面を具体的に表す。 ,"The team checked the cassette before leaving."
receptionist,受付係,「受付係」という人・役割が主な意味。職業・立場・関係を表す。 ,"The invoice listed the receptionist clearly."
