english,japanese,detail,sample
similarity,類似性,「類似性」を表す語。性質・立場・関係を名詞で表す。 ,"The debate revealed similarity after the vote."
burst,破裂する、突然起こる,内側の圧力が一気に外へ出るイメージ。突然発生にも使う。 ,"The team checked the burst before leaving."
grab,～をぐっとつかむ,すばやく強くつかむ動き。機会や注意をつかむ意味もある。 ,"They decided to grab it before noon."
railroad,鉄道,具体的な物・場所を指す語。「鉄道」を場面の名詞として使う。 ,"The guide marked the railroad on the map."
server,サーバー、給仕人,「提供する役割」から、ITのサーバー、人の給仕にも使う。 ,"The server arrived early for the workshop."
shortage,不足,「不足」を表す語。状態やまとまりを名詞で表す。 ,"The article described the shortage with an example."
usage,使い方、使用量,「使い方」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The teacher asked about the usage after class."
ceremony,式典、儀式,「式典」を表す語。人・物の性質・状態を表す形容詞。 ,"The sign gave a ceremony warning."
protest,抗議、抗議する,反対を公に示す語。名詞・動詞どちらでも使う。 ,"Please protest the assignment."
sword,刀,「刀」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The report connected the sword to the case."
cultivate,～を耕す、育てる,土地を耕すのが原義。能力や関係を育てる意味にも広がる。 ,"Workers learned to cultivate it during practice."
examiner,試験官,「試験官」を表す語。その役割を持つ人・物を表す名詞。 ,"The guide mentioned the examiner near the entrance."
interrupt,～を中断する、邪魔する,流れの途中に割り込むイメージ。会話や作業を中断させる。 ,"They decided to interrupt it before noon."
bomb,爆弾,具体的な物・場所を指す語。「爆弾」を場面の名詞として使う。 ,"The team checked the bomb before leaving."
primitive,原始的な、未発達の,「原始的な」を表す語。人・物の性質・状態を表す形容詞。 ,"The committee made a primitive decision."
essence,本質、精髄,余分なものを除いた主な意味部分。物事の本質を指す。 ,"The article linked essence to climate change."
southeast,南東,「南東」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The checklist included the southeast at the end."
bare,裸の、むき出しの,「裸の」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The sign gave a bare warning."
upward,上のほうへ,「上のほうへ」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"Smoke drifted upward from the chimney."
heal,治る、～を治す,「治る」を表す語。動きや変化を表し、比喩にも広がる。 ,"The editor marked a heal phrase."
twin,ふたごの,「ふたごの」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The guide suggested a twin method."
freely,自由に,「自由に」を表す語。動作・状態の程度や方向を補う副詞的な語。 ,"The guard moved freely along the hallway."
calm,穏やかな,「穏やかな」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The coach praised a calm effort."
forecast,予報、予測する,「予報」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The guide mentioned the forecast near the entrance."
honest,正直な,「正直な」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"She gave an honest answer."
dedicate,～をささげる、専念させる,時間・努力・作品などを一つの目的へささげる語。 ,"Workers learned to dedicate it during practice."
isolation,孤立,「孤立」を表す語。行為・過程・結果を名詞で表す。 ,"The speaker defined isolation with a simple example."
destination,目的地,「目的地」を表す語。行為・過程・結果を名詞で表す。 ,"The survey tracked destination over several years."
myth,神話,「神話」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The checklist included the myth at the end."
farming,農業,「農業」を表す語。人・物の性質・状態を表す形容詞。 ,"The report noted a farming pattern."
swear,誓う、ののしる,強く言い切る語。誓う意味と、ののしる意味がある。 ,"The teacher asked about the swear after class."
intensive,集中的な,「集中的な」を表す語。人・物の性質・状態を表す形容詞。 ,"The editor marked an intensive phrase."
wherever,どこであっても,「どこであっても」を表す語。動作・状態の程度や方向を補う副詞的な語。 ,"Rain fell wherever through the night."
arrow,矢,具体的な物・場所を指す語。「矢」を場面の名詞として使う。 ,"The report connected the arrow to the case."
diverse,別種の,「別種の」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The committee made a diverse decision."
silk,生糸,「生糸」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The guide mentioned the silk near the entrance."
shallow,浅い,「浅い」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The coach praised a shallow effort."
sigh,ため息をつく,「ため息をつく」を表す語。動きや変化を表し、比喩にも広がる。 ,"The team checked the sigh before leaving."
melt,溶ける、～を溶かす,「溶ける」を表す語。動きや変化を表し、比喩にも広がる。 ,"The guests may melt after dinner."
occasional,時たまの,「時たまの」を表す語。人・物の性質・状態を表す形容詞。 ,"The report noted an occasional pattern."
courage,勇気,「勇気」を表す語。状態やまとまりを名詞で表す。 ,"The checklist included the courage at the end."
carriage,馬車、車両,「馬車」を表す語。状態やまとまりを名詞で表す。 ,"The carriage moved quietly."
sympathy,同情、共感,「同情」を表す語。人・物の性質・状態を表す形容詞。 ,"The committee made a sympathy decision."
studio,仕事場,「仕事場」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The manager reviewed the studio before the meeting."
unlikely,ありそうもない,「ありそうもない」を表す語。人・物の性質・状態を表す形容詞。 ,"The result was unlikely."
dare,あえて～する,危険や反対を承知であえて行うイメージ。助動詞的にも使う。 ,"The report connected the dare to the case."
nearby,すぐ近くの,「すぐ近くの」を表す語。動作・状態の程度や方向を補う副詞的な語。 ,"The singer paused nearby before the chorus."
swell,ふくらむ、増える,「ふくらむ」を表す語。動きや変化を表し、比喩にも広がる。 ,"The guide mentioned the swell near the entrance."
volunteer,志願者、志願する,「志願者」を表す語。その役割を持つ人・物を表す名詞。 ,"The volunteer arrived early for the workshop."
prohibition,禁止すること,「禁止すること」を表す語。行為・過程・結果を名詞で表す。 ,"Her essay connected prohibition with daily life."
motivation,動機を与えること,「動機を与えること」を表す語。行為・過程・結果を名詞で表す。 ,"The debate revealed motivation after the vote."
politician,政治家,「政治家」を表す語。その役割を持つ人・物を表す名詞。 ,"The politician arrived early for the workshop."
persuade,～を説得する,「説得する」を表す語。動きや変化を表し、比喩にも広がる。 ,"They decided to persuade it before noon."
depart,出発する,「出発する」を表す語。動きや変化を表し、比喩にも広がる。 ,"Please depart the sketch."
refusal,拒否,「拒否」を表す語。人・物の性質・状態を表す形容詞。 ,"The committee made a refusal decision."
deprive,～から奪う,相手から必要なものを奪う語。権利・自由にも使う。 ,"The teacher chose a deprive example."
agenda,議題、予定表,「議題」を表す語。制度・法律・組織に関わる場面で使う。 ,"The judge mentioned the agenda during the hearing."
geology,地質学,「地質学」を表す語。人・物の性質・状態を表す形容詞。 ,"The class found a geology pattern in the story."
southwest,南西,「南西」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The note explained the southwest in plain words."
exit,出口、退出する,「出口」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The guide mentioned the exit near the entrance."
designer,設計者,「設計者」を表す語。その役割を持つ人・物を表す名詞。 ,"The designer arrived early for the workshop."
humanity,人間性,「人間性」を表す語。性質・立場・関係を名詞で表す。 ,"The humanity arrived early for the workshop."
librarian,司書,「司書」を表す語。その役割を持つ人・物を表す名詞。 ,"The visitor noticed the librarian near the doorway."
irregular,不規則な,「不規則な」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The teacher chose an irregular example."
tropical,熱帯の,「熱帯の」を表す語。人・物の性質・状態を表す形容詞。 ,"The editor marked a tropical phrase."
cave,ほら穴,「ほら穴」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The article described the cave with an example."
invasion,侵入、侵略,「侵入」を表す語。行為・過程・結果を名詞で表す。 ,"The speaker defined invasion with a simple example."
gene,遺伝子,「遺伝子」を表す語。科学・学問分野の文脈で使われる。 ,"The librarian set the gene near the entrance."
simplify,～を簡単にする,「簡単にする」を表す語。対象を別の状態へ変える動きを表す。 ,"The training video shows how to simplify it safely."
firmly,しっかりと,「しっかりと」を表す語。動作・状態の程度や方向を補う副詞的な語。 ,"The team worked firmly through the night."
tide,潮,具体的な物・場所を指す語。「潮」を場面の名詞として使う。 ,"The note explained the tide in plain words."
trigger,引き金、誘発する,「引き金」から、事件・反応などを引き起こす意味で使う。 ,"The guide mentioned the trigger near the entrance."
merchant,商人,「商人」を表す語。人・物の性質・状態を表す形容詞。 ,"The committee made a merchant decision."
abundant,豊富な,「豊富な」を表す語。人・物の性質・状態を表す形容詞。 ,"The teacher chose an abundant example."
mild,柔和な,「柔和な」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The committee made a mild decision."
slavery,奴隷制度,「奴隷制度」を表す語。状態やまとまりを名詞で表す。 ,"The contract defines the slavery in plain language."
