english,japanese,detail,sample
hibernate,冬眠する,「冬眠する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"A diagram showed the hibernate clearly."
ego,自我,「自我」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The team checked the ego before leaving."
scornfully,軽べつして,「軽べつして」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The guard moved scornfully along the hallway."
parasite,寄生生物；依存する人,「寄生生物」を表す語という具体的対象。人・物・場所などを直接指す語。「依存する人」の意味もある。 ,"The parasite arrived early for the workshop."
scathing,痛烈な,「痛烈な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The doctor noticed a scathing symptom."
voracious,貪欲な；大食いの,「貪欲な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「大食いの」の意味もある。 ,"The chef served a voracious sauce."
tycoon,大物実業家,「大物実業家」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The tycoon arrived early for the workshop."
pinnacle,頂点；小尖塔,「頂点」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「小尖塔」の意味もある。 ,"A photo showed the pinnacle beside the road."
impersonate,～のまねをする,「まねをする」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The manual listed the impersonate under tools."
quirk,変な癖,「変な癖」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The report connected the quirk to the case."
darkroom,暗室,「暗室」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The darkroom opened early for visitors."
jersey,ジャージー,「ジャージー」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The guide mentioned the jersey near the entrance."
shambles,めちゃくちゃな状態,「めちゃくちゃに崩れた状態」を表す語。場所・計画に使う。 ,"A diagram showed the shambles clearly."
telltale,隠しきれない；告げ口する,「隠しきれない」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。「告げ口する」の意味もある。 ,"The team checked the telltale before leaving."
blockbuster,大ヒット作品,「大きな衝撃を与えるもの」を表す語。今は大ヒット作品が主。 ,"The team will blockbuster the reservation before Friday."
bouquet,花束,「花束」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The presenter pointed to the bouquet on the slide."
classy,かっこいい,「かっこいい」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The teacher gave a classy example."
engrossing,人を夢中にさせる,「人を夢中にさせる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The guide suggested an engrossing method."
irate,怒った,「怒った」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The team chose an irate route."
lethargic,無気力な,「無気力な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The editor marked a lethargic phrase."
wickedly,不正に,「不正に」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The singer paused wickedly before the chorus."
untangle,～のもつれを解く,「もつれを解く」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The report connected the untangle to the case."
bubbly,泡の多い,「泡の多い」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The guard moved bubbly along the hallway."
suburbia,郊外,「郊外」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The guide mentioned the suburbia near the entrance."
intuit,～を直観する,「直観する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Please intuit it after checking the instructions."
clammy,冷たく湿った,「冷たく湿った」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The teacher chose a clammy example."
haggle,押し問答する,「押し問答する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The visitor noticed the haggle near the doorway."
ploy,手だて,「手だて」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The ploy arrived early for the workshop."
honk,クラクションを鳴らす；ガンの鳴き声,「クラクションを鳴らす」を表す語という具体的対象。人・物・場所などを直接指す語。「ガンの鳴き声」の意味もある。 ,"The artist drew the honk in charcoal."
stylistically,文体上,「文体上」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The team worked stylistically through the night."
credibly,信用できて,「信用できて」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The door closed credibly behind us."
tedium,退屈,「退屈」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"A photo showed the tedium beside the road."
strapping,背が高くてがっしりした,「背が高くてがっしりした」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The guide suggested a strapping method."
pendulous,ぶら下がっている,「ぶら下がっている」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The teacher chose a pendulous example."
fiend,悪魔,「悪魔」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The note explained the fiend in plain words."
suds,石けんの泡,「石けんの泡」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The guide mentioned the suds near the entrance."
conservatory,音楽学校；温室,「音楽学校」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「温室」の意味もある。 ,"The coach praised a conservatory effort."
macabre,気味の悪い,「気味の悪い」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The sign gave a macabre warning."
salve,軟こう,「軟こう」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The visitor noticed the salve near the doorway."
brainwash,～を洗脳する,「洗脳する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The crew will brainwash the trail marker after the inspection."
rarity,珍しさ,「珍しさ」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The debate revealed rarity after the vote."
aqua,水色,「水色」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The ranger marked the aqua on the map."
glum,むっつりした,「むっつりした」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The committee made a glum decision."
neglectful,怠慢な,「怠慢な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The teacher chose a neglectful example."
synthetically,総合して,「総合して」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The child listened synthetically during the story."
claustrophobic,密室恐怖症の,「密室恐怖症の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The artist used a claustrophobic color."
unplug,～のプラグを抜く,「プラグを抜く」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The note explained the unplug in plain words."
unenviable,あまりうらやましくない,「あまりうらやましくない」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The guide suggested an unenviable method."
fiendish,悪魔のような,「悪魔のような」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The team chose a fiendish route."
riveting,とてもおもしろい,「てもおもしろい」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The editor marked a riveting phrase."
eccentrically,風変わりに,「風変わりに」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The singer paused eccentrically before the chorus."
poetess,女流詩人,「女流詩人」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The poetess arrived early for the workshop."
remorseless,無慈悲な,「無慈悲な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"Her smile looked remorseless after the news."
snooze,軽くひと眠りする,「軽くひと眠りする」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The article described the snooze with an example."
pendulum,振り子,「振り子」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The teacher asked about the pendulum after class."
headstrong,わがままな,「わがままな」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The teacher chose a headstrong example."
dither,ためらい；動揺,「ためらい」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「動揺」の意味もある。 ,"The manual listed the dither under tools."
wizened,しなびた,「しなびた」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The committee made a wizened decision."
fiddler,バイオリンひき,「バイオリンひき」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The note explained the fiddler in plain words."
gushing,ほとばしり出る,「ほとばしり出る」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The guide mentioned the gushing near the entrance."
fabulously,信じられないほど,「信じられないほど」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The door closed fabulously behind us."
impersonator,物まねをする人,「物まねをする人」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The impersonator arrived early for the workshop."
insubordinate,従順でない,「従順でない」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The guide suggested an insubordinate method."
impish,小悪魔のような,「小悪魔のような」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The teacher chose an impish example."
panorama,広々と見渡せる光景,「広々と見渡せる光景」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The checklist included the panorama at the end."
claustrophobia,密室恐怖症,「密室恐怖症」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The letter was full of claustrophobia."
torturous,拷問のような,「拷問のような」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The coach praised a torturous effort."
baldly,ありのまま,「ありのまま」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The door closed baldly behind us."
salivate,だ液を分泌する,「だ液を分泌する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The calendar marked the salivate in blue."
ecstatically,有頂天になって,「有頂天になって」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The team worked ecstatically through the night."
hedgehog,ハリネズミ,「ハリネズミ」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The note explained the hedgehog in plain words."
impersonally,個人的でなく,「個人的でなく」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The team worked impersonally through the night."
zany,風変わりでおどけた,「風変わりでおどけた」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"A zany wind moved through the trees."
exhibitionist,自己顕示欲の強い人,「自己顕示欲の強い人」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The exhibitionist arrived early for the workshop."
unmanned,乗組員がいない,「乗組員がいない」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The committee made an unmanned decision."
unison,一致；斉唱,「一致」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「斉唱」の意味もある。 ,"The presenter pointed to the unison on the slide."
gamely,勇敢に,「勇敢に」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The singer paused gamely before the chorus."
washtub,洗濯だらい,「洗濯だらい」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The guide suggested a washtub method."
gutsy,勇敢な,「勇敢な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The team chose a gutsy route."
settee,長いす,「長いす」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"A photo showed the settee beside the road."
prolifically,多産して,「多産して」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The singer paused prolifically before the chorus."
pedicure,足の手入れ,「足の手入れ」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The pedicure arrived early for the workshop."
stuffiness,息苦しさ；堅苦しさ,「息苦しさ」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「堅苦しさ」の意味もある。 ,"A short story illustrated stuffiness clearly."
buffoon,道化師,「道化師」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The buffoon arrived early for the workshop."
anticlimactic,盛り上がりに欠ける,「盛り上がりに欠ける」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The committee made an anticlimactic decision."
bureaucratically,官僚的に,「官僚的に」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The boat drifted bureaucratically across the lake."
chaotically,混とんとして,「混とんとして」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The singer paused chaotically before the chorus."
buzzer,ブザー,「ブザー」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The presenter pointed to the buzzer on the slide."
somersault,とんぼ返り,「んぼ返り」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The checklist included the somersault at the end."
raunchy,汚らしい,「汚らしい」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The report noted a raunchy pattern."
inexcusably,言い訳のたたないほど,「言い訳のたたないほど」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The door closed inexcusably behind us."
exotically,異国ふうに,「異国ふうに」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The machine ran exotically after the repair."
gusto,大きな喜び,「大きな喜び」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The letter was full of gusto."
slob,うす汚くだらしない人,「うす汚くだらしない人」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The slob arrived early for the workshop."
eclectically,取捨選択して,「取捨選択して」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The child listened eclectically during the story."
goose,ガチョウ,「ガチョウ」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The guide mentioned the goose near the entrance."
trampoline,トランポリン,「トランポリン」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"A diagram showed the trampoline clearly."
motley,まだらの,「まだらの」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The sign gave a motley warning."
exodus,大量脱出；出国,「大量脱出」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「出国」の意味もある。 ,"The visitor noticed the exodus near the doorway."
sketchbook,スケッチブック,「スケッチブック」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The presenter pointed to the sketchbook on the slide."
verve,活気；情熱,「活気」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「情熱」の意味もある。 ,"The kitchen smelled of verve."
bribery,贈賄,「贈賄」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The article described the bribery with an example."
stuffily,堅苦しく,「堅苦しく」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The guard moved stuffily along the hallway."
trying,骨の折れる；試練となる,「骨の折れる」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「試練となる」の意味もある。 ,"A photo showed the trying beside the road."
removed,離れた；隔たった,「離れた」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「隔たった」の意味もある。 ,"The committee made a removed decision."
stamina,スタミナ,「スタミナ」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The report connected the stamina to the case."
plumbing,鉛管工事,「鉛管工事」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The note explained the plumbing in plain words."
shortlist,最終選抜候補者名簿,「最終選抜候補者名簿」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The shortlist arrived early for the workshop."
withdrawn,人里離れた,「人里離れた」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"A withdrawn scene opened the film."
staggering,驚くほどの；よろめく,「驚くほどの」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「よろめく」の意味もある。 ,"The editor marked a staggering phrase."
parameter,パラメータ；条件,「範囲を決める条件」を表す語。数学・ITではパラメータ。 ,"Experts can parameter the assignment carefully."
counsel,助言；弁護士,「助言」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「弁護士」の意味もある。 ,"The presenter pointed to the counsel on the slide."
induce,～を引き起こす；促す,「引き起こす」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。「促す」の意味もある。 ,"They decided to induce it before noon."
commodity,日用品,「日用品」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The policy raised questions about commodity."
ore,鉱石,「鉱石」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The teacher asked about the ore after class."
correlation,相互関係,「相互関係」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The article linked correlation to climate change."
merit,～に値する,「値する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The guide showed us how to merit it."
integration,統合,「統合」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The survey tracked integration over several years."
hypothesis,仮説,「仮説」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The note explained the hypothesis in plain words."
proposition,提案,「提案」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"Her essay connected proposition with daily life."
equilibrium,釣り合い,「釣り合い」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The report noted an equilibrium pattern."
standing,立場；評判,「立場」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「評判」の意味もある。 ,"The team checked the standing before leaving."
synthesis,総合,「総合」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The librarian set the synthesis near the entrance."
wholly,まったく,「まったく」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The machine ran wholly after the repair."
cognitive,認識の,「認識の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The editor marked a cognitive phrase."
provincial,地方の,「地方の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"A provincial color filled the evening sky."
vocational,職業の,「職業の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The team presented a vocational plan."
denote,～を示す,「示す」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"They decided to denote it before noon."
beneficiary,利益を受ける人,「利益を受ける人」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The beneficiary arrived early for the meeting."
diminish,～を小さくする,「小さくする」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Please diminish it after checking the instructions."
spatial,空間の,「空間の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The teacher chose a spatial example."
residue,残り,「残り」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The guide mentioned the residue near the entrance."
subsidy,補助金,「補助金」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"A diagram showed the subsidy clearly."
practitioner,開業医,「開業医」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The nurse recorded the practitioner on the chart."
residual,残りの,「残りの」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The committee made a residual decision."
correlate,～に相互関係を持たせる,「相互関係を持たせる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Workers learned to correlate it during practice."
accrue,生じる,「生じる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The checklist included the accrue at the end."
combustion,燃焼,「燃焼」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The survey tracked combustion over several years."
vicinity,近所,「近所」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The lecture explored vicinity through real cases."
embody,～を具体化する,「具体化する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Please embody it after checking the instructions."
