english,japanese,detail,sample
keep,～をずっと持っている,手元や状態を保つイメージ。約束を守る意味もある。 ,"Keep the receipt in your bag."
health,健康,体や心がよい状態にあること。健康状態全般を表す。 ,"Health improves with regular sleep."
above,～の上方に,基準より高い位置にあるイメージ。数値が上回る意味もある。 ,"Clouds gathered above the mountain."
never,決して～ない,一度も起こらない強い否定。経験の否定にも使う。 ,"He never skips breakfast."
open,～を開く,閉じたものを開けるイメージ。店の営業開始にも使う。 ,"Open the window after painting."
turn,～を回す,向きや状態を変えるイメージ。順番の意味もある。 ,"Turn the handle clockwise."
help,～を手伝う,困っている人を助けるイメージ。役立つ意味もある。 ,"Help the child cross the street."
class,授業,同じ種類のまとまり。授業・学級・階級を表す。 ,"The class visited the science museum."
side,側面,物の横や一方の側。立場・味方の意味もある。 ,"The side gate opens onto the alley."
feel,～を感じる,体や心で感じ取るイメージ。触って分かる意味もある。 ,"Feel the fabric before you buy it."
until,～まで,ある時点まで続くイメージ。終わりの期限を示す。 ,"Wait until the light turns green."
again,再び,同じことがもう一度起こるイメージ。繰り返しを表す。 ,"Please read the sentence again."
design,デザイン,目的に合わせて形を考えること。設計・図案も表す。 ,"Workers need to design a poster safely."
four,4,数字の4。四つの数や順番を表す基本語。 ,"Four guests arrived before noon."
body,身体,人や動物の体全体。物の本体という意味もある。 ,"The body needs water after exercise."
age,年齢,生まれてからの年数。時代・老いる意味もある。 ,"Age changed the flavor of the cheese."
student,学生,学校で学ぶ人。大学生だけでなく生徒にも使える。 ,"The student measured the plant each day."
light,光,明るさを生むもの。軽い・薄いという意味もある。 ,"Light spilled under the door."
month,月,一年を分ける単位。期間としての一か月を表す。 ,"The month brought warmer evenings."
put,～を置く,物をある場所に移して置く。状態にする意味もある。 ,"Put the glasses on the shelf."
date,日付,暦上の特定の日。約束やデートの意味もある。 ,"The date is printed on the ticket."
paper,紙,紙そのもの。書類・論文・新聞の意味にも広がる。 ,"The paper tore at the corner."
carry,～を運ぶ,持って移動させるイメージ。責任を負う意味もある。 ,"Carry the boxes one at a time."
history,歴史,過去に起きた出来事の流れ。経歴の意味もある。 ,"History explains the old border."
move,動く,位置や気持ちが動くイメージ。引っ越す意味もある。 ,"Move the chair away from the heater."
often,しばしば,同じことが多い頻度で起こることを表す副詞。 ,"Deer often cross this road."
bank,銀行,お金を扱う場所。川の土手という意味もある。 ,"The bank opens at nine."
special,特別な,普通とは違い、特に大切・限定されたイメージ。 ,"A special stamp marked the envelope."
reason,理由,なぜそうなるかの根拠。理性という意味もある。 ,"Give one reason for your choice."
close,～を閉じる,開いているものを閉める。近いという形容詞もある。 ,"Close the lid before shaking the bottle."
