english,japanese,detail,sample
yellow,黄色の,主な意味は色の「黄色の」。物の色や雰囲気を表す形容詞。 ,"The wall is yellow."
surprise,～を驚かす；驚き,予想外で驚かせること。名詞「驚き」にもなる。「驚かす」の意味もある。 ,"The surprise made everyone laugh."
flat,平らな；アパート,表面にでこぼこがない状態。英英ではアパートの意味もある。「平らな」の意味もある。 ,"They rented a small flat near the station."
trip,旅行,短めの移動・旅行。つまずく動詞にもなる。 ,"Please trip the reservation."
suggestion,提案,相手に示す考え。提案・ちょっとした示唆に使う。 ,"The committee discussed suggestion for an hour."
baby,赤ん坊,「赤ん坊」を表す語。物事・考え・状態を表す基本名詞。 ,"The baby slept through the noise."
topic,話題,話や文章で扱う主な意味。話題・論題を表す。 ,"The topic changed after lunch."
warm,暖かい,「暖かい」という性質を表す語。人・物・状況の様子を表す。 ,"Warm bread filled the kitchen smell."
fifty,50、五十,数を表す語。50、五十という数量や順番の表現に使う。 ,"Fifty guests arrived before noon."
match,試合,「合うこと」から、試合・一致・マッチにも使う。 ,"The match ended in a draw."
sight,視力；光景,見えるもの・見る力。光景・視力・名所にも使う。 ,"The sunset was a beautiful sight."
ear,耳,体の一部「耳」を表す語。位置や動きの説明で使う。 ,"Whisper the secret in my ear."
yard,ヤード,家の外の庭や作業場。長さの単位ヤードにも使う。 ,"Children played in the yard."
truck,運搬車,荷物を運ぶ車。貨物用の大型車を表す。 ,"Tourists photographed the truck near the station."
nurse,看護人,人・役割を表す「看護人」。家族・職業・立場を示す語。 ,"The invoice listed the nurse clearly."
hide,～を隠す；隠れる,見えないようにする動き。隠す・隠れるの両方で使う。 ,"Hide the key under the mat."
thick,厚い,「厚い」という性質を表す語。人・物・状況の様子を表す。 ,"Thick fog covered the bridge."
row,列,横一列に並んだもの。列・こぐ動詞にもなる。 ,"Sit in the front row."
cook,料理人,食べ物を熱して作る人・動作。料理人にも使う。 ,"Cook the rice for twenty minutes."
