english,japanese,detail,sample
teaspoon,茶さじ,「茶さじ」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The manual listed the teaspoon under tools."
predicament,苦境,「苦境」を表す語。行為・結果・状態を表す名詞。 ,"The study measured predicament across three groups."
neurosis,神経症,「神経症」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The note explained the neurosis in plain words."
tremendously,途方もなく,「途方もなく」を表す語。動作・判断の仕方や程度を添える。 ,"The machine ran tremendously after the repair."
outwardly,外側に・外見上は,「外側に・外見上は」を表す語。動作・判断の仕方や程度を添える。 ,"The child listened outwardly during the story."
falter,ためらう,「ためらう」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The team checked the falter before leaving."
dwarf,こびと,「こびと」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The visitor noticed the dwarf near the doorway."
overestimate,～を過大評価する,「過大評価する」を表す語。基準を越える・上回る感覚が中心。 ,"They decided to overestimate it before noon."
itch,かゆい感じ,「かゆい感じ」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The checklist included the itch at the end."
lucrative,利益が上がる,「利益が上がる」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The report noted a lucrative pattern."
backyard,裏庭,「裏庭」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The teacher asked about the backyard after class."
standby,待機・頼れるもの,「待機・頼れるもの」を表す語。人・物・状況の性質を描く形容詞。 ,"The editor marked a standby phrase."
droop,垂れ下がる,「垂れ下がる」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The manual listed the droop under tools."
clog,～を詰まらせる・詰まり,「詰まらせる・詰まり」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The training video shows how to clog it safely."
sage,賢者・セージ,「賢者・セージ」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The sage arrived early for the workshop."
buzz,ブンブンいう音,「ブンブンいう音」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The critic discussed the buzz after the concert."
nourishment,栄養・滋養,「栄養・滋養」を表す語。行為・結果・状態を表す名詞。 ,"The speaker defined nourishment with a simple example."
compassionate,哀れみ深い,「哀れみ深い」を表す語。人・物・状況の性質を描く形容詞。 ,"The sign gave a compassionate warning."
dropout,脱落者,「脱落者」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The dropout arrived early for the workshop."
stool,腰掛け,「腰掛け」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The presenter pointed to the stool on the slide."
attainable,達成可能な,「達成可能な」を表す語。可能性・適性を表し人・物に使う。 ,"The teacher chose an attainable example."
permanence,永久不変性,「永久不変性」を表す語。行為・結果・状態を表す名詞。 ,"The study measured permanence across three groups."
serene,穏やかな,「穏やかな」を表す語。人・物・状況の性質を描く形容詞。 ,"The committee made a serene decision."
sprint,短距離競走,「短距離競走」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"A photo showed the sprint beside the road."
visibly,目に見えて,「目に見えて」を表す語。動作・判断の仕方や程度を添える。 ,"The child listened visibly during the story."
outrageous,法外な・ひどい,「法外な・ひどい」を表す語。外へ出る・上回る感覚に広がる。 ,"The report noted an outrageous pattern."
pallet,わらぶとん・粗末な寝床,「わらぶとん・粗末な寝床」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The note explained the pallet in plain words."
unsure,自信がない・不確かな,「自信がない・不確かな」を表す語。否定・不足・反対状態を表す。 ,"The sign gave an unsure warning."
pessimistic,悲観的な,「悲観的な」を表す語。人・物・状況の性質を描く形容詞。 ,"The team chose a pessimistic route."
powerfully,力強く,「力強く」を表す語。動作・判断の仕方や程度を添える。 ,"The team worked powerfully through the night."
overshadow,～に影を投げかける,「影を投げかける」を表す語。基準を越える・上回る感覚が中心。 ,"The scandal may overshadow the event."
millionaire,百万長者,「百万長者」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The millionaire arrived early for the workshop."
rebellious,反抗的な,「反抗的な」を表す語。人・物・状況の性質を描く形容詞。 ,"The coach praised a rebellious effort."
bum,怠け者・浮浪者,「怠け者・浮浪者」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The bum arrived early for the workshop."
rubble,石くず,「石くず」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The teacher asked about the rubble after class."
rash,軽率な・発疹,「軽率な・発疹」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"A photo showed the rash beside the road."
landslide,地すべり,「地すべり」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The manual listed the landslide under tools."
trample,～を踏みつける,「踏みつける」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"They decided to trample it before noon."
patriot,愛国者,「愛国者」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The patriot arrived early for the workshop."
cascade,小滝・連鎖的に落ちる,「小滝・連鎖的に落ちる」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The guide mentioned the cascade near the entrance."
unforeseen,予期しない,「予期しない」を表す語。否定・不足・反対状態を表す。 ,"The report noted an unforeseen pattern."
birthplace,出生地,「出生地」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The team checked the birthplace before leaving."
peacefully,平和に,「平和に」を表す語。動作・判断の仕方や程度を添える。 ,"The guard moved peacefully along the hallway."
thickly,厚く,「厚く」を表す語。動作・判断の仕方や程度を添える。 ,"The machine ran thickly after the repair."
educated,教育を受けた・教養のある,「教育を受けた・教養のある」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The team will educated the assignment before Friday."
frigate,フリゲート艦,「フリゲート艦」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The article described the frigate with an example."
sag,垂れ下がる・たるむ,「垂れ下がる・たるむ」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The teacher asked about the sag after class."
microbe,微生物,「微生物」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"A photo showed the microbe beside the road."
gulp,～をごくりと飲む,「ごくりと飲む」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"Please gulp the sauce before the next step."
strangle,～を絞め殺す・窒息させる,「絞め殺す・窒息させる」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"Please strangle it after checking the instructions."
belongings,所有物,「所有物」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The note explained the belongings in plain words."
brilliantly,きらきらと,「きらきらと」を表す語。動作・判断の仕方や程度を添える。 ,"The team worked brilliantly through the night."
waterproof,防水の,「防水の」を表す語。人・物・状況の性質を描く形容詞。 ,"A waterproof wind moved through the trees."
bravery,勇敢,「勇敢」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The team checked the bravery before leaving."
