english,japanese,detail,sample
middle,真ん中の、中間の,「真ん中・中間」を表す語。場所だけでなく順序や程度にも使う。 ,"The middle seat was empty."
computer,コンピューター,計算・処理する機械。PCだけでなく情報機器全般を指す。 ,"The computer froze during the update."
lot,たくさん；くじ,「まとまった量」を表す語。a lotで「たくさん」、くじの意味もある。 ,"A lot of people joined the tour."
twenty,20、二十,数を表す語。20、二十という数量や順番の表現に使う。 ,"Twenty guests arrived before noon."
exercise,運動,体や能力を動かすこと。運動だけでなく練習問題にも使う。 ,"This exercise strengthens the ankles."
picture,絵,目に見える像。写真・絵・状況のイメージにも広がる。 ,"The picture showed a snowy harbor."
introduce,～を紹介する,人・物を初めて場に出す感じ。紹介・導入に使う。 ,"Introduce yourself at the front desk."
collection,集めること,集めたもののまとまり。作品集・募金・収集品にも使う。 ,"The survey tracked collection over several years."
miss,嬢,「取り逃がす」を表す語。乗り遅れる・欠席する・寂しく思うにも使う。 ,"I miss my family."
focus,焦点,一点に意識や光を集める感じ。焦点・集中の意味。 ,"Keep your focus."
behind,～の後ろに,基準の後ろ側。場所だけでなく遅れ・背後の理由にも使う。 ,"The sun disappeared behind the hill."
key,鍵,「開けるもの」から、鍵だけでなく重要な手がかりにも使う。 ,"The key turned smoothly in the lock."
spring,跳ぶ,跳ねるイメージ。春・ばね・泉など「湧く」意味もある。 ,"Cherry trees bloom in spring."
check,阻止,確かめて止める感じ。確認・小切手・チェック柄にも広がる。 ,"Check the address on the envelope."
remember,～を思い出す、覚えている,「～を思い出す、覚えている」という動き・変化を表す語。人・物への働きかけを表す。 ,"Remember the code at the gate."
park,公園,車や人が止まる場所。公園のほか駐車する動詞もある。 ,"Children played in the park after school."
fill,～を満たす、いっぱいにする,「～を満たす、いっぱいにする」という動き・変化を表す語。人・物への働きかけを表す。 ,"Fill the bottle with cold water."
leader,指導者,人・役割を表す「指導者」。家族・職業・立場を示す語。 ,"A client asked about the leader after lunch."
mine,私のもの,自分に属するもの。代名詞「私のもの」と鉱山の意味がある。 ,"Mine arrived early."
easy,容易な,「容易な」という性質を表す語。人・物・状況の様子を表す。 ,"The easy question came first."
bar,棒,細長い棒や区切り。バー・横木・禁止する意味にも使う。 ,"A steel bar blocked the window."
alone,ひとりで,「ひとりで」を表す語。物事・考え・状態を表す基本名詞。 ,"She walked alone through the quiet park."
dollar,ドル,身近な物を表す「ドル」。形・用途・持ち物の説明で使う。 ,"The ticket costs one dollar."
spend,～を使う；過ごす,「～を使う；過ごす」という動き・変化を表す語。人・物への働きかけを表す。 ,"They spend weekends at the lake."
music,音楽,「音楽」を表す語。物事・考え・状態を表す基本名詞。 ,"Music drifted from the cafe."
vote,票,「票」という動き・変化を表す語。人・物への働きかけを表す。 ,"Cast your vote before the polls close."
owner,持ち主,人・役割を表す「持ち主」。家族・職業・立場を示す語。 ,"The owner locked the shop at night."
bed,ベッド,身近な物を表す「ベッド」。形・用途・持ち物の説明で使う。 ,"The bed creaked in the old room."
train,電車,身近な物を表す「電車」。形・用途・持ち物の説明で使う。 ,"The train left the station on time."
brown,褐色の,主な意味は色の「褐色の」。物の色や雰囲気を表す形容詞。 ,"The wall is brown."
green,緑の,主な意味は色の「緑の」。物の色や雰囲気を表す形容詞。 ,"The wall is green."
piece,部分,全体から切り出した一部。作品・一切れにも使う。 ,"The calendar marked the piece in blue."
