english,japanese,detail,sample
probable,起こりそうな、あり得る,「起こりそうな」を表す語。人・物の性質・状態を表す形容詞。 ,"A probable color filled the evening sky."
involvement,関連,何かに関わっている状態。参加・関与・巻き込みに使う。 ,"The study measured involvement across three groups."
headquarters,本部、本社,「本部」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The librarian set the headquarters near the entrance."
consult,相談する、参照する,「相談する」を表す語。よく見て判断・理解する動きを表す。 ,"The guide mentioned the consult near the entrance."
qualification,資格、条件,「資格」を表す語。行為・過程・結果を名詞で表す。 ,"The committee discussed qualification for an hour."
injection,注射、注入,「注射」を表す語。行為・過程・結果を名詞で表す。 ,"The article linked injection to climate change."
clothing,衣類,「衣類」を表す語。人・物の性質・状態を表す形容詞。 ,"The room had a clothing feeling."
reasonably,適度に、合理的に,「適度に」を表す語。動作・状態の程度や方向を補う副詞的な語。 ,"The door closed reasonably behind us."
subdivision,細分、分譲地,「細分」を表す語。行為・過程・結果を名詞で表す。 ,"The lecture explored subdivision through real cases."
known,知られている、既知の,「知られている」を表す語。動きや変化を表し、比喩にも広がる。 ,"The report noted a known pattern."
replacement,交換、代替品,「交換」を表す語。行為・過程・結果を名詞で表す。 ,"The debate revealed replacement after the vote."
ally,同盟国、味方,「同盟国」を表す語。動作・状態の程度や方向を補う副詞的な語。 ,"The machine ran ally after the repair."
incentive,動機、報奨,「動機」を表す語。人・物の性質・状態を表す形容詞。 ,"The guide suggested an incentive method."
laser,レーザー,「レーザー」を表す語。その役割を持つ人・物を表す名詞。 ,"The report connected the laser to the case."
ease,容易さ、楽にする,重さや困難が軽くなるイメージ。名詞・動詞で使う。 ,"The note explained the ease in plain words."
investor,投資家,「投資家」を表す語。その役割を持つ人・物を表す名詞。 ,"The investor arrived early for the workshop."
shipping,発送、海運,「発送」を表す語。人・物の性質・状態を表す形容詞。 ,"A shipping wind moved through the trees."
reinforce,～を強化する,「強化する」を表す語。対象を別の状態へ変える動きを表す。 ,"They decided to reinforce it before noon."
erect,直立した、建てる,まっすぐ立つイメージ。建物を建てる意味にも使う。 ,"The visitor noticed the erect near the doorway."
innovation,革新,「革新」を表す語。行為・過程・結果を名詞で表す。 ,"Her essay connected innovation with daily life."
precisely,正確に、まさに,「正確に」を表す語。動作・状態の程度や方向を補う副詞的な語。 ,"She spoke precisely to the visitor."
cabinet,内閣、戸棚,物を収める箱が原義。政治では内閣を指す。 ,"The article described the cabinet with an example."
relieve,～を和らげる、解放する,「和らげる」を表す語。動きや変化を表し、比喩にも広がる。 ,"They decided to relieve it before noon."
excessive,過度の,「過度の」を表す語。人・物の性質・状態を表す形容詞。 ,"The teacher chose an excessive example."
regardless,かかわらず,「かかわらず」を表す語。動作・状態の程度や方向を補う副詞的な語。 ,"The child listened regardless during the story."
thoroughly,徹底的に,「徹底的に」を表す語。動作・状態の程度や方向を補う副詞的な語。 ,"The boat drifted thoroughly across the lake."
disposition,性質、配置、処分,「性質」を表す語。行為・過程・結果を名詞で表す。 ,"The speaker defined disposition with a simple example."
stimulate,～を刺激する,「刺激する」を表す語。動きや変化を表し、比喩にも広がる。 ,"They decided to stimulate it before noon."
migration,移動、移住,「移動」を表す語。行為・過程・結果を名詞で表す。 ,"The lecture explored migration through real cases."
sweep,掃く、一掃する,「掃く」を表す語。動きや変化を表し、比喩にも広がる。 ,"Sweep the floor before guests arrive."
revolutionary,革命的な、革命家,「革命的な」を表す語。人・物の性質・状態を表す形容詞。 ,"A revolutionary color filled the evening sky."
arch,アーチ、弓形,「アーチ」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The presenter pointed to the arch on the slide."
memorial,記念碑、追悼の,「記念碑」を表す語。人・物の性質・状態を表す形容詞。 ,"The coach praised a memorial effort."
fleet,艦隊、車両隊,具体的な物・場所を指す語。「艦隊」を場面の名詞として使う。 ,"The guide marked the fleet on the map."
divorce,離婚、離婚する,「離婚」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The teacher asked about the divorce after class."
editorial,社説、編集の,「社説」を表す語。人・物の性質・状態を表す形容詞。 ,"The teacher chose an editorial example."
alliance,同盟、提携,「同盟」を表す語。行為・過程・結果を名詞で表す。 ,"The speaker defined alliance with a simple example."
deficit,赤字、不足,「赤字」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The report connected the deficit to the case."
mathematical,数学の,「数学の」を表す語。人・物の性質・状態を表す形容詞。 ,"The teacher gave a mathematical example."
mature,成熟した、熟す,「成熟した」を表す語。状態やまとまりを名詞で表す。 ,"The guide mentioned the mature near the entrance."
projection,予測、投影,「予測」を表す語。行為・過程・結果を名詞で表す。 ,"The debate revealed projection after the vote."
polish,磨く、つや,表面を磨いて光らせる語。Polish（ポーランドの）と区別。 ,"The team checked the polish before leaving."
noble,高貴な、立派な,「高貴な」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The guide suggested a noble method."
adverse,不利な、有害な,「不利な」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The teacher chose an adverse example."
virtually,事実上、ほとんど,「事実上」を表す語。動作・状態の程度や方向を補う副詞的な語。 ,"The child listened virtually during the story."
swing,揺れる、揺れ,「揺れる」を表す語。動きや変化を表し、比喩にも広がる。 ,"A swing color filled the evening sky."
inflation,インフレ、膨張,「インフレ」を表す語。行為・過程・結果を名詞で表す。 ,"The speaker defined inflation with a simple example."
exhaust,～を使い果たす、排気,「使い果たす」を表す語。動きや変化を表し、比喩にも広がる。 ,"They decided to exhaust it before noon."
gaze,じっと見る,「じっと見る」を表す語。動きや変化を表し、比喩にも広がる。 ,"The manual listed the gaze under tools."
thesis,論文、主張,「論文」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The report connected the thesis to the case."
pose,ポーズ、～を提起する,姿勢を取る・問題を差し出すイメージ。ポーズと提起。 ,"The note explained the pose in plain words."
embrace,～を抱きしめる、受け入れる,「抱きしめる」を表す語。動きや変化を表し、比喩にも広がる。 ,"The guide showed us how to embrace it."
peer,同等の人、じっと見る,「同等の人」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The peer arrived early for the workshop."
recreation,娯楽、休養,「娯楽」を表す語。行為・過程・結果を名詞で表す。 ,"Outdoor recreation is popular here."
fabric,布地、構造,「布地」を表す語。人・物の性質・状態を表す形容詞。 ,"The committee made a fabric decision."
flame,炎、燃え上がる,「炎」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The presenter pointed to the flame on the slide."
likewise,同様に,「同様に」を表す語。動作・状態の程度や方向を補う副詞的な語。 ,"The singer paused likewise before the chorus."
friendly,好意的な,「好意的な」を表す語。人・物の性質・状態を表す形容詞。 ,"The staff were friendly."
worship,崇拝する、礼拝,「崇拝する」を表す語。動きや変化を表し、比喩にも広がる。 ,"Please worship the reservation."
governmental,政府の,「政府の」を表す語。人・物の性質・状態を表す形容詞。 ,"The editor marked a governmental phrase."
interfere,干渉する、邪魔する,「干渉する」を表す語。動きや変化を表し、比喩にも広がる。 ,"The manual listed the interfere under tools."
reprint,再印刷する、再版,「再印刷する」を表す語。動きや変化を表し、比喩にも広がる。 ,"The report connected the reprint to the case."
prompt,促す、迅速な,遅れずすぐ動くイメージ。促す動詞、迅速な形容詞。 ,"The coach praised a prompt effort."
stroke,一打、脳卒中,「一回の打つ動き」から、一打、筆運び、脳卒中にも使う。 ,"The guide mentioned the stroke near the entrance."
serial,連続の、連載,「連続の」を表す語。人・物の性質・状態を表す形容詞。 ,"The committee made a serial decision."
complexity,複雑さ,「複雑さ」を表す語。性質・立場・関係を名詞で表す。 ,"The article linked complexity to climate change."
assurance,保証、確信,「保証」を表す語。行為・過程・結果を名詞で表す。 ,"The speaker defined assurance with a simple example."
dental,歯の,「歯の」を表す語。人・物の性質・状態を表す形容詞。 ,"The committee made a dental decision."
assemble,集める、組み立てる,「集める」を表す語。動きや変化を表し、比喩にも広がる。 ,"The checklist included the assemble at the end."
hell,死者の国,「死者の国」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The hell arrived early for the workshop."
spray,しぶき、～を吹きかける,「しぶき」を表す語。動きや変化を表し、比喩にも広がる。 ,"The teacher asked about the spray after class."
approximate,おおよその、近似する,「おおよその」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"A photo showed the approximate beside the road."
sketch,スケッチ、概略,「スケッチ」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The manual listed the sketch under tools."
attendance,出席、出席者数,「出席」を表す語。行為・過程・結果を名詞で表す。 ,"The attendance arrived early for the workshop."
accumulate,蓄積する,「蓄積する」を表す語。動きや変化を表し、比喩にも広がる。 ,"The note explained the accumulate in plain words."
separately,分かれて,「分かれて」を表す語。動作・状態の程度や方向を補う副詞的な語。 ,"The boat drifted separately across the lake."
thread,糸、筋道,「糸」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"A diagram showed the thread clearly."
fraud,詐欺、不正,「詐欺」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The team checked the fraud before leaving."
instruct,～に指示する、教える,「指示する」を表す語。動きや変化を表し、比喩にも広がる。 ,"The training video shows how to instruct it safely."
unto,～へ、～に（古風）,「～へ、～に（古風）」を表す語。動きや変化を表し、比喩にも広がる。 ,"The crew will unto the trail marker after the inspection."
blade,刃、草の葉,「刃」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The checklist included the blade at the end."
immigrant,移民,「移民」を表す語。人・物の性質・状態を表す形容詞。 ,"The editor marked an immigrant phrase."
evolve,進化する、発展する,「進化する」を表す語。動きや変化を表し、比喩にも広がる。 ,"The teacher asked about the evolve after class."
alternate,交互の、代替の,「交互の」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The teacher chose an alternate example."
solar,太陽の,「太陽の」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The committee made a solar decision."
collector,収集家、集金人,「収集家」を表す語。その役割を持つ人・物を表す名詞。 ,"The collector arrived early for the workshop."
widow,未亡人,「未亡人」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The widow arrived early for the workshop."
originate,始まる、～を生み出す,「始まる」を表す語。動きや変化を表し、比喩にも広がる。 ,"The custom may originate here."
controversy,論争,「論争」を表す語。人・物の性質・状態を表す形容詞。 ,"The team chose a controversy route."
consultant,コンサルタント,「コンサルタント」を表す語。人・物の性質・状態を表す形容詞。 ,"The editor marked a consultant phrase."
fate,運命,「運命」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The visitor noticed the fate near the doorway."
throat,のど,「ど」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The presenter pointed to the throat on the slide."
versus,～対～,「～対～」を表す語。動作・状態の程度や方向を補う副詞的な語。 ,"The case was Smith versus Jones."
pitch,投げる、音の高さ、売り込み,「投げること」から、音の高さ、売り込み、競技場にも使う。 ,"The critic discussed the pitch after the concert."
tunnel,トンネル,具体的な物・場所を指す語。「トンネル」を場面の名詞として使う。 ,"The teacher asked about the tunnel after class."
competent,有能な,「有能な」を表す語。人・物の性質・状態を表す形容詞。 ,"The teacher chose a competent example."
walker,歩く人、歩行器,「歩く人」を表す語。その役割を持つ人・物を表す名詞。 ,"The walker arrived early for the workshop."
withdrawal,撤回、引き出し,「撤回」を表す語。人・物の性質・状態を表す形容詞。 ,"A withdrawal scene opened the film."
conceive,～を思いつく、妊娠する,「思いつく」を表す語。動きや変化を表し、比喩にも広がる。 ,"The training video shows how to conceive it safely."
exclusively,もっぱら、独占的に,「もっぱら」を表す語。動作・状態の程度や方向を補う副詞的な語。 ,"The team worked exclusively through the night."
inadequate,不十分な,「不十分な」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The report noted an inadequate pattern."
fixed,固定された、修理済みの,「固定された」を表す語。人・物の性質・状態を表す形容詞。 ,"The editor marked a fixed phrase."
seller,売る人,「売る人」を表す語。その役割を持つ人・物を表す名詞。 ,"The seller arrived early for the workshop."
flexible,柔軟な,「柔軟な」を表す語。人・物の性質・状態を表す形容詞。 ,"The teacher chose a flexible example."
confront,～に立ち向かう,「立ち向かう」を表す語。動きや変化を表し、比喩にも広がる。 ,"Please confront it after checking the instructions."
numerical,数の,「数の」を表す語。人・物の性質・状態を表す形容詞。 ,"A numerical color filled the evening sky."
crucial,極めて重要な,「極めて重要な」を表す語。人・物の性質・状態を表す形容詞。 ,"The coach praised a crucial effort."
shield,盾、～を守る,「盾」を表す語。動きや変化を表し、比喩にも広がる。 ,"A photo showed the shield beside the road."
suppress,～を抑える,「抑える」を表す語。動きや変化を表し、比喩にも広がる。 ,"The training video shows how to suppress it safely."
undoubtedly,疑いなく,「疑いなく」を表す語。動きや変化を表し、比喩にも広がる。 ,"The team worked undoubtedly through the night."
deck,デッキ、甲板,「デッキ」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The note explained the deck in plain words."
accommodation,宿泊設備、配慮,「宿泊設備」を表す語。行為・過程・結果を名詞で表す。 ,"The study measured accommodation across three groups."
strictly,厳密に、厳しく,「厳密に」を表す語。動作・状態の程度や方向を補う副詞的な語。 ,"The guard moved strictly along the hallway."
resume,再開する,中断後に再び始める語。履歴書résuméとは区別。 ,"The team checked the resume before leaving."
rental,賃貸、レンタル,「賃貸」を表す語。人・物の性質・状態を表す形容詞。 ,"The committee made a rental decision."
flesh,肉、肉体,「肉」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The wound exposed flesh."
hay,干し草,「干し草」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The checklist included the hay at the end."
vitamin,ビタミン,具体的な物・場所を指す語。「ビタミン」を場面の名詞として使う。 ,"The article described the vitamin with an example."
certification,証明、認定,「証明」を表す語。行為・過程・結果を名詞で表す。 ,"The lecture explored certification through real cases."
voter,有権者,「有権者」を表す語。その役割を持つ人・物を表す名詞。 ,"The voter arrived early for the workshop."
surrender,降伏する、明け渡す,「降伏する」を表す語。動きや変化を表し、比喩にも広がる。 ,"The manual listed the surrender under tools."
span,期間、幅,「期間」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The calendar marked the span in blue."
compile,～を編集する、まとめる,「編集する」を表す語。対象を別の状態へ変える動きを表す。 ,"They decided to compile it before noon."
striking,目立つ、印象的な,「目立つ」を表す語。動きや変化を表し、比喩にも広がる。 ,"The teacher chose a striking example."
supplier,供給業者,「供給業者」を表す語。その役割を持つ人・物を表す名詞。 ,"The supplier arrived early for the workshop."
