english,japanese,detail,sample
the,その,特定できるものを指す定冠詞。既出・唯一・共通知識の名詞につく。 ,"The moon hid behind the clouds."
of,～ の,全体と部分・所属・材料を結ぶ語。「AのB」の関係を作る。 ,"The handle of the cup cracked."
be,～ である,存在・状態・正体をつなぐ動詞。進行形・受け身の助動詞にもなる。 ,"Be patient with new learners."
and,～ と,同じ種類の語や文を並べて足す接続詞。順序や結果を示すことも。 ,"Rain and wind shook the tent."
to,～ へ,到達点へ向かうイメージ。方向・相手・目的・不定詞を表す。 ,"She sent a postcard to her grandmother."
in,～ の中に,囲まれた内側にあるイメージ。場所・期間・状態・分野に使う。 ,"Fireflies glowed in the garden."
that,あれ,少し離れた物事を指す語。接続詞として文を名詞化する働きも。 ,"That bicycle belongs to Ken."
for,～ の間,何かに向ける・役立てるイメージ。目的・対象・期間・交換を表す。 ,"He saved a seat for his sister."
have,～ を持っている,手元に持つ・備えるイメージ。経験・関係・義務にも広がる。 ,"We have two tickets for the show."
it,それは,すでに出た物事や状況を受ける代名詞。天気・時間の主語にもなる。 ,"It started snowing before dawn."
as,～ と同じくらい,同じ役割・状態で見る語。比較・理由・時・資格を表す。 ,"Mia works as a guide on weekends."
with,～ と,一緒にあるイメージ。同行・道具・状態・感情の原因を表す。 ,"The child painted with a small brush."
on,～ の上に,面に接しているイメージ。場所・曜日・継続中・話題に広がる。 ,"A lantern hung on the porch."
by,～ のそばに,「近く・そば」から、手段・作者・期限・差・受け身の行為者も表す。 ,"The letter was signed by the mayor."
not,～ でない,文や語の意味を否定する語。助動詞・be動詞の後でよく使う。 ,"The answer is not on this page."
or,または,選択肢を並べる接続詞。「または」のほか言い換えにも使う。 ,"Tea or juice is fine."
this,これ,話し手に近い物事を指す語。今の話題・これから述べる内容にも使う。 ,"This recipe needs fresh basil."
i,私は,話し手自身を指す一人称代名詞。英語では常に大文字の I で書く。 ,"I checked the timetable twice."
at,～ で,一点を指すイメージ。場所・時刻・状態・活動の場を表す。 ,"Meet me at the library entrance."
from,～ から,出発点・起点を示す語。場所・時・原因・材料の出どころに使う。 ,"Smoke rose from the chimney."
he,彼は,男性または男性扱いの人を指す三人称単数主語。文脈で人物を受ける。 ,"He repaired the radio after dinner."
will,意志,未来・意志を表す助動詞。予測・約束・その場の決定にも使う。 ,"I will call you tonight."
which,どちら,限られた中から選ぶ疑問詞・関係詞。「どちら／どの」の意味を持つ。 ,"Which road leads to the beach?"
an,(不定冠詞),母音で始まる音の前に置く不定冠詞。初めて出す一つを示す。 ,"An owl called in the dark."
hi,やあ,気軽なあいさつ語。会った時や呼びかけで「やあ」の感じ。 ,"Hi, nice to meet you."
much,多くの,量が多いイメージ。不可算名詞・程度・疑問否定文でよく使う。 ,"Much of the snow melted overnight."
do,～ をする,「行動を実行する」から、一般動詞の疑問・否定・強調の助動詞にもなる。 ,"Do the first exercise aloud."
can,～ できる,能力・可能性・許可を表す助動詞。「できる」のほか依頼にも使う。 ,"She can swim."
but,しかし,前の内容と反対・例外をつなぐ語。「しかし」「〜以外」の意味でも使う。 ,"The bag was old but strong."
you,あなたは,聞き手を指す二人称代名詞。単数・複数の両方に使える。 ,"You left your scarf on the chair."
we,私たちは,話し手を含む複数の人を指す語。相手を含む場合と含まない場合がある。 ,"We packed sandwiches for the hike."
they,彼らが,複数の人・物を指す代名詞。性別不明の単数の人にも使われる。 ,"They crossed the bridge quietly."
one,～ 個の,一つを表す数。前に出た名詞の代用や「ある人」の意味もある。 ,"One answer is correct."
all,全体の,残らず全部というイメージ。人・物・時間の全体をまとめる。 ,"All seats were filled before noon."
their,彼らの,彼ら・彼女ら・それらに属することを示す所有格。単数theyにも使う。 ,"Their house is large."
other,別の,今あるものと別のものを示す語。もう一方・追加の意味もある。 ,"The other key opens the shed."
may,～ かもしれない,可能性・許可を表す助動詞。丁寧な願い・祈りにも使われる。 ,"You may leave now."
make,～ を作る,「材料や状況から作り出す」から、人をある状態にする意味にも広がる。 ,"Make a list before shopping."
use,～ を使う,目的のために使うイメージ。名詞では使用・利用法の意味になる。 ,"Use a pencil for the sketch."
there,そこで,話し手から離れた場所を指す語。存在文 there is の主語役にもなる。 ,"There is a lantern by the gate."
if,もし ～ ならば,条件を置く接続詞。「もし〜なら」のほか仮定・選択の前提を示す。 ,"If it rains, bring boots."
her,彼女の,女性を指す目的格・所有格。「彼女を／彼女の」を文脈で判断する。 ,"Her voice was calm."
time,時間,時の流れや一回分を表す語。時刻・期間・回数にも広がる。 ,"Time passed slowly in the waiting room."
say,～ と言う,「言葉として口に出す・述べる」から、意見や表示内容にも使う。 ,"Say the word slowly."
when,いつ,時をたずねる・つなぐ語。「いつ」「〜するとき」の両方を表す。 ,"Call me when the bus arrives."
year,年,一年という時間単位。年齢・学年・年度を表す場面にも使う。 ,"The year ended with heavy snow."
no,一つもない,数量ゼロ・否定の判断を表す語。返答の「いいえ」にもなる。 ,"No cars passed the farm at night."
new,新しい,以前になかった・最近のイメージ。新品・新任・未経験にも使う。 ,"A new bakery opened by the station."
these,これら,話し手に近い複数の物事を指す語。this の複数形。 ,"These shoes are comfortable."
she,彼女は,女性または女性扱いの人を指す三人称単数主語。文脈で人物を受ける。 ,"She watered the herbs at sunrise."
so,そういうふうに,前の内容を受けて結果・程度・方法を示す語。「だから」「そんなに」。 ,"It was late, so we left."
see,～ が見える,「目で見る」から、理解する・会う・確認する意味にも広がる。 ,"We see stars after the clouds clear."
who,だれが,人についてたずねる疑問詞。関係代名詞として人を説明する文を導く。 ,"Who left this note on the desk?"
than,～ より,比較の基準を示す語。more や better など比較級と一緒に使う。 ,"This route is shorter than the old one."
any,いくらかの,どれでも・いくらでもの開いた範囲。疑問・否定・条件で多用する。 ,"Do you have any questions?"
what,何,物事の内容をたずねる語。関係詞として「〜するもの」も表す。 ,"What caused the loud noise?"
some,いくらかの,ぼんやりした量・数を表す語。肯定文で「いくらかの」に使う。 ,"Some birds stayed through winter."
work,仕事,「目的を持って働く・機能する」から、名詞では仕事・作品・作業を表す。 ,"Focused work finished the bridge model."
also,～ もまた,前の内容に同じ情報を足す語。「〜もまた」と追加を示す。 ,"The museum also sells postcards."
