english,japanese,detail,sample
bidding,入札,「入札」を表す語。行為・結果・状態を表す名詞。 ,"The teacher chose a bidding example."
conveniently,都合よく,「都合よく」を表す語。動作・判断の仕方や程度を添える。 ,"The team worked conveniently through the night."
despise,～を軽蔑する,「軽蔑する」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"They decided to despise it before noon."
mentor,指導者,「指導者」を表す語。その役割・職業・立場の人を表す。 ,"The manager reviewed the mentor before the meeting."
converse,会話する・逆の,「会話する・逆の」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The committee made a converse decision."
alcoholism,アルコール依存症,「アルコール依存症」を表す語。性質・状態・考え方を表す抽象語。 ,"The article linked alcoholism to climate change."
squad,分隊・チーム,「分隊・チーム」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The calendar marked the squad in blue."
immerse,～を浸す,「浸す」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"They decided to immerse it before noon."
hover,浮かぶ・うろつく,「浮かぶ・うろつく」を表す語。動作・判断の仕方や程度を添える。 ,"A diagram showed the hover clearly."
scramble,～を急いでかき集める・よじ登る,「急いでかき集める・よじ登る」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"Please scramble it after checking the instructions."
petty,取るに足らない,「取るに足らない」を表す語。性質・状態・考え方を表す抽象語。 ,"A petty color filled the evening sky."
peg,釘・留め具,「釘・留め具」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The presenter pointed to the peg on the slide."
agony,苦悶,「苦悶」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The checklist included the agony at the end."
soar,空高く飛ぶ,「空高く飛ぶ」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The article described the soar with an example."
awe,畏敬・～を畏れさせる,「畏敬・を畏れさせる」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The teacher asked about the awe after class."
microorganism,微生物,「微生物」を表す語。性質・状態・考え方を表す抽象語。 ,"The article linked microorganism to climate change."
trainer,トレーナー・訓練者,「トレーナー・訓練者」を表す語。その役割・職業・立場の人を表す。 ,"The invoice listed the trainer clearly."
oval,卵形の,「卵形の」を表す語。人・物・状況の性質を描く形容詞。 ,"The committee made an oval decision."
debit,借方・引き落とし,「借方・引き落とし」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The note explained the debit in plain words."
expressive,表情豊かな・表現力のある,「表情豊かな・表現力のある」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The report noted an expressive pattern."
exhaustion,疲労・枯渇,「疲労・枯渇」を表す語。行為・結果・状態を表す名詞。 ,"The debate revealed exhaustion after the vote."
persuasion,説得,「説得」を表す語。行為・結果・状態を表す名詞。 ,"The study measured persuasion across three groups."
nobility,貴族階級,「貴族階級」を表す語。性質・状態・考え方を表す抽象語。 ,"A short story illustrated nobility clearly."
glare,ぎらぎら光る,「ぎらぎら光る」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The presenter pointed to the glare on the slide."
greatness,大きいこと,「大きいこと」を表す語。性質・状態・考え方を表す抽象語。 ,"The checklist included the greatness at the end."
gardener,植木屋,「植木屋」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The hikers photographed the gardener at sunrise."
eruption,噴火・突発,「噴火・突発」を表す語。行為・結果・状態を表す名詞。 ,"The speaker defined eruption with a simple example."
battlefield,戦場,「戦場」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The battlefield opened early for visitors."
reflective,反射する・内省的な,「反射する・内省的な」を表す語。再び行う・元に戻す感覚がある。 ,"The team chose a reflective route."
madness,狂気,「狂気」を表す語。性質・状態・考え方を表す抽象語。 ,"Her essay connected madness with daily life."
unfamiliar,よく知らない,「よく知らない」を表す語。否定・不足・反対状態を表す。 ,"The teacher chose an unfamiliar example."
defy,～に逆らう・挑む,「逆らう・挑む」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"They defy the rules."
herb,ハーブ・薬草,「ハーブ・薬草」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The chart recorded the herb carefully."
lastly,最後に,「最後に」を表す語。動作・判断の仕方や程度を添える。 ,"The machine ran lastly after the repair."
tenderness,柔らかさ,「柔らかさ」を表す語。性質・状態・考え方を表す抽象語。 ,"The committee discussed tenderness for an hour."
understandable,分かりやすい,「分かりやすい」を表す語。否定・不足・反対状態を表す。 ,"The report noted an understandable pattern."
tug,ぐいと引く・引っ張る,「ぐいと引く・引っ張る」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The checklist included the tug at the end."
dumb,口のきけない・ばかな,「口のきけない・ばかな」を表す語。人・物・状況の性質を描く形容詞。 ,"The guide suggested a dumb method."
dreadful,恐ろしい,「恐ろしい」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The class found a dreadful pattern in the story."
negatively,否定的に,「否定的に」を表す語。動作・判断の仕方や程度を添える。 ,"The team worked negatively through the night."
amaze,～を非常に驚かさせる,「非常に驚かさせる」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"Workers learned to amaze it during practice."
eagerly,しきりに,「しきりに」を表す語。動作・判断の仕方や程度を添える。 ,"The guard moved eagerly along the hallway."
pebble,小石,「小石」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The note explained the pebble in plain words."
patriotism,愛国心,「愛国心」を表す語。性質・状態・考え方を表す抽象語。 ,"The policy raised questions about patriotism."
toil,骨折って働く・苦労,「骨折って働く・苦労」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"A diagram showed the toil clearly."
flutter,ぱたぱたする,「ぱたぱたする」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The team checked the flutter before leaving."
blossom,花・花開く,「花・花開く」を表す語。動作・判断の仕方や程度を添える。 ,"The visitor noticed the blossom near the doorway."
frontier,国境・最前線,「国境・最前線」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The presenter pointed to the frontier on the slide."
southward,南へ・南向きの,「南へ・南向きの」を表す語。人・物・状況の性質を描く形容詞。 ,"The path turned southward near the cliff."
cocoa,ココア,「ココア」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"I drank hot cocoa."
goodwill,善意,「善意」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The teacher asked about the goodwill after class."
narrowly,狭く,「狭く」を表す語。動作・判断の仕方や程度を添える。 ,"The machine ran narrowly after the repair."
coherence,一貫性・まとまり,「一貫性・まとまり」を表す語。行為・結果・状態を表す名詞。 ,"A short story illustrated coherence clearly."
predictable,予測できる,「予測できる」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The teacher chose a predictable example."
superb,立派な,「立派な」を表す語。人・物・状況の性質を描く形容詞。 ,"The editor marked a superb phrase."
fireplace,暖炉,「暖炉」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The guide mentioned the fireplace near the entrance."
youthful,若い,「若い」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The coach praised a youthful effort."
underestimate,～を過小評価する,「過小評価する」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"They decided to underestimate it before noon."
plum,プラム,「プラム」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The visitor noticed the plum near the doorway."
endurance,忍耐,「忍耐」を表す語。行為・結果・状態を表す名詞。 ,"Her essay connected endurance with daily life."
firstly,第一に,「第一に」を表す語。動作・判断の仕方や程度を添える。 ,"She spoke firstly to the visitor."
disapprove,～に賛成しない,「賛成しない」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The guide showed us how to disapprove it."
caption,見出し・字幕,画像や表に添える短い説明。見出し・字幕にも使う。 ,"A short story illustrated caption clearly."
northward,北へ・北向きの,「北へ・北向きの」を表す語。人・物・状況の性質を描く形容詞。 ,"The path turned northward near the cliff."
immortal,不死の,「不死の」を表す語。否定・不足・反対状態を表す。 ,"The committee made an immortal decision."
dissatisfaction,不満,「不満」を表す語。行為・結果・状態を表す名詞。 ,"The article linked dissatisfaction to climate change."
tan,日焼け・～をなめす,「日焼け・をなめす」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The note explained the tan in plain words."
uneven,まっすぐでない,「まっすぐでない」を表す語。否定・不足・反対状態を表す。 ,"The guide suggested an uneven method."
overly,過度に,「過度に」を表す語。動作・判断の仕方や程度を添える。 ,"She spoke overly to the visitor."
massage,マッサージ,「マッサージ」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The team checked the massage before leaving."
optimism,楽天主義,「楽天主義」を表す語。性質・状態・考え方を表す抽象語。 ,"The debate revealed optimism after the vote."
influenza,インフルエンザ,「インフルエンザ」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The presenter pointed to the influenza on the slide."
catastrophe,大惨事・破局,「大惨事・破局」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The checklist included the catastrophe at the end."
admittedly,確かに・認めるところでは,「確かに・認めるところでは」を表す語。動作・判断の仕方や程度を添える。 ,"Admittedly, the route is steep."
accessibility,近づきやすさ・利用しやすさ,「近づきやすさ・利用しやすさ」を表す語。性質・状態・考え方を表す抽象語。 ,"The committee discussed accessibility for an hour."
evacuation,避難,「避難」を表す語。行為・結果・状態を表す名詞。 ,"The article linked evacuation to climate change."
nominee,指名された人,「指名された人」を表す語。その役割・職業・立場の人を表す。 ,"The invoice listed the nominee clearly."
furious,怒り狂った,「怒り狂った」を表す語。人・物・状況の性質を描く形容詞。 ,"The sign gave a furious warning."
stern,厳格な・船尾の,「厳格な・船尾の」を表す語。人・物・状況の性質を描く形容詞。 ,"A stern road led to the village."
impartial,片寄らない,「片寄らない」を表す語。否定・不足・反対状態を表す。 ,"The judge was impartial."
weakly,弱々しく,「弱々しく」を表す語。動作・判断の仕方や程度を添える。 ,"The door closed weakly behind us."
needless,不必要な,「不必要な」を表す語。人・物・状況の性質を描く形容詞。 ,"The editor marked a needless phrase."
disconnect,～の接続を切る・関係を絶つ,「接続を切る・関係を絶つ」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"Please disconnect the cable."
outpatient,外来患者,「外来患者」を表す語。外へ出る・上回る感覚に広がる。 ,"The chart recorded the outpatient carefully."
lick,～をなめる,「なめる」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"Please lick it after checking the instructions."
generosity,寛大さ,「寛大さ」を表す語。性質・状態・考え方を表す抽象語。 ,"The article linked generosity to climate change."
tyranny,圧制,「圧制」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The teacher asked about the tyranny after class."
temperate,節度のある,「節度のある」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"A photo showed the temperate beside the road."
crater,火口・くぼみ,「火口・くぼみ」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The manual listed the crater under tools."
ironically,皮肉に,「皮肉に」を表す語。動作・判断の仕方や程度を添える。 ,"The team worked ironically through the night."
microphone,マイクロフォン,「マイクロフォン」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The technician tested the microphone in the lab."
subtitle,字幕・副題,「字幕・副題」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The guide mentioned the subtitle near the entrance."
yacht,ヨット,「ヨット」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"A diagram showed the yacht clearly."
bruise,打撲傷・あざ,「打撲傷・あざ」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The team checked the bruise before leaving."
synonym,同義語,「同義語」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The visitor noticed the synonym near the doorway."
haste,急ぎ・あわて,「急ぎ・あわて」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The presenter pointed to the haste on the slide."
diplomat,外交官,「外交官」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"The checklist included the diplomat at the end."
disqualify,～を不適格にする,「不適格にする」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"They decided to disqualify it before noon."
troublesome,迷惑な,「迷惑な」を表す語。人・物・状況の性質を描く形容詞。 ,"The team chose a troublesome route."
blindness,盲目,「盲目」を表す語。性質・状態・考え方を表す抽象語。 ,"Her essay connected blindness with daily life."
astonish,～をびっくりさせる,「びっくりさせる」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The news may astonish everyone."
ponder,～をじっくり考える,「じっくり考える」を表す語。具体的な動作から、抽象的な行為にも広がる。 ,"The guide showed us how to ponder it."
moody,気分が変わりやすい,「気分が変わりやすい」を表す語。人・物・状況の性質を描く形容詞。 ,"The coach praised a moody effort."
knowingly,知りながら,「知りながら」を表す語。動作・判断の仕方や程度を添える。 ,"The machine ran knowingly after the repair."
typhoid,腸チフス,「腸チフス」を表す語。物・状態・出来事を表し、比喩にも広がる。 ,"A diagram showed the typhoid clearly."
