english,japanese,detail,sample
engine,エンジン,「エンジン」を指す基本語。物・考え・場面を具体的に表す。 ,"A diagram showed the engine clearly."
deliver,～を配達する,対象に働きかける動詞。「配達する」動作から抽象的用法にも広がる。 ,"They tried to deliver the package after lunch."
register,登録する；登録簿,名前や情報を記録する感覚。登録簿・レジの意味もある。「登録する」の意味もある。 ,"The visitor noticed the register near the doorway."
acquire,～を習得する,対象に働きかける動詞。「習得する」動作から抽象的用法にも広がる。 ,"The training video shows how to acquire it safely."
constitute,～を構成する,対象に働きかける動詞。「構成する」動作から抽象的用法にも広がる。 ,"Please constitute it after checking the instructions."
debt,借金,「借金」を指す基本語。物・考え・場面を具体的に表す。 ,"The article described the debt with an example."
establishment,設立,「設立」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The speaker defined establishment with a simple example."
curve,曲線,「曲線」を指す基本語。物・考え・場面を具体的に表す。 ,"The librarian set the curve near the entrance."
governor,知事,「知事」という人・役割が主な意味。職業・立場・関係を表す。 ,"The invoice listed the governor clearly."
derive,～を得る；由来する,対象に働きかける動詞。「得る」動作から抽象的用法にも広がる。「由来する」の意味もある。 ,"Please derive it after checking the instructions."
enable,～を可能にする,対象に働きかける動詞。「可能にする」動作から抽象的用法にも広がる。 ,"The teacher chose an enable example."
combination,結合,動作・性質を名詞化した語。「結合」という概念や結果を表す。 ,"The study measured combination across three groups."
refuse,～を断る,対象に働きかける動詞。「断る」動作から抽象的用法にも広がる。 ,"Refuse the bag if you do not need it."
finance,財政,お金を管理・調達する感覚。財政・金融の意味で使う。 ,"Please finance the proposal."
existence,存在,動作・性質を名詞化した語。「存在」という概念や結果を表す。 ,"The committee discussed existence for an hour."
nuclear,核の,「核の」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The report noted a nuclear pattern."
season,季節,「季節」を指す基本語。物・考え・場面を具体的に表す。 ,"The season begins with plum blossoms."
preparation,用意,動作・性質を名詞化した語。「用意」という概念や結果を表す。 ,"The survey tracked preparation over several years."
calculate,～を見積もる,対象に働きかける動詞。「見積もる」動作から抽象的用法にも広がる。 ,"Please calculate the total before the next step."
pain,苦痛,「苦痛」を指す基本語。物・考え・場面を具体的に表す。 ,"Pain spread across his shoulder."
construct,～を組み立てる,対象に働きかける動詞。「組み立てる」動作から抽象的用法にも広がる。 ,"Workers learned to construct it during practice."
attend,～に出席する,対象に働きかける動詞。「出席する」動作から抽象的用法にも広がる。 ,"The guide showed us how to attend it."
entry,入ること,「入る」を指す基本語。物・考え・場面を具体的に表す。 ,"The librarian set the entry near the entrance."
lay,～を置く,対象に働きかける動詞。「置く」動作から抽象的用法にも広がる。 ,"The training video shows how to lay it safely."
origin,起源,「起源」を指す基本語。物・考え・場面を具体的に表す。 ,"A diagram showed the origin clearly."
joint,関節,「関節」を指す基本語。物・考え・場面を具体的に表す。 ,"The team checked the joint before leaving."
mental,精神の,「精神の」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The room had a mental feeling."
constitution,構成,動作・性質を名詞化した語。「構成」という概念や結果を表す。 ,"The survey tracked constitution over several years."
criminal,犯罪の,「犯罪の」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The team chose a criminal route."
decline,～を断る,対象に働きかける動詞。「断る」動作から抽象的用法にも広がる。 ,"Please decline it after checking the instructions."
completely,完全に,「完全に」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"The snow completely covered the path."
vice,悪徳,「悪徳」を指す基本語。物・考え・場面を具体的に表す。 ,"A photo showed the vice beside the road."
merely,単に,「単に」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"It was merely a suggestion."
suffer,苦しむ,「苦しむ」という動きや変化を表す語。人・物の状態変化にも使う。 ,"The report connected the suffer to the case."
