english,japanese,detail,sample
breast,胸,体の一部・状態としての「胸」が主な意味。比喩的な表現にも広がる。 ,"The checklist included the breast at the end."
correction,訂正,動作・性質を名詞化した語。「訂正」という概念や結果を表す。 ,"The study measured correction across three groups."
guidance,指導,動作・性質を名詞化した語。「指導」という概念や結果を表す。 ,"A short story illustrated guidance clearly."
researcher,研究者,「研究者」という人・役割が主な意味。職業・立場・関係を表す。 ,"The manager reviewed the researcher before the meeting."
absolutely,完全に、絶対に,「完全に」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"The child listened absolutely during the story."
strengthen,～を強くする,対象に働きかける動詞。「強くする」動作から抽象的用法にも広がる。 ,"Workers learned to strengthen it during practice."
launch,始める；打ち上げる,勢いよく始める感覚。打ち上げる・新商品を出す意味にも。 ,"The note explained the launch in plain words."
typically,典型的に,「典型的に」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"The door closed typically behind us."
revision,改訂、修正,動作・性質を名詞化した語。「改訂」という概念や結果を表す。 ,"The lecture explored revision through real cases."
surgery,手術,「手術」を指す基本語。物・考え・場面を具体的に表す。 ,"The surgery arrived early for the workshop."
destruction,破壊,動作・性質を名詞化した語。「破壊」という概念や結果を表す。 ,"The debate revealed destruction after the vote."
classical,古典的な,「古典的な」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The class found a classical pattern in the story."
defend,～を守る,対象に働きかける動詞。「守る」動作から抽象的用法にも広がる。 ,"They decided to defend it before noon."
beneath,～の下に,語句や文をつなぎ「下に」関係を示す。条件・範囲にも使う。 ,"Shoes are beneath the bed."
sponsor,スポンサー、後援者,資金や支援を出す人が主な意味。後援する動詞にもなる。 ,"The sponsor arrived early for the meeting."
digital,デジタルの,「デジタルの」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"A digital signal reached the receiver."
pub,パブ,「パブ」を指す基本語。物・考え・場面を具体的に表す。 ,"The manual listed the pub under tools."
curriculum,教科課程,「教科課程」を指す基本語。物・考え・場面を具体的に表す。 ,"The librarian set the curriculum near the entrance."
exclusive,排他的な、独占的な,「排他的な」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The team chose an exclusive route."
demonstration,実演、デモ,動作・性質を名詞化した語。「実演」という概念や結果を表す。 ,"Her essay connected demonstration with daily life."
guilty,罪を犯した,「罪を犯した」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The report noted a guilty pattern."
occasionally,たまに,「たまに」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"The machine ran occasionally after the repair."
era,時代,「時代」を指す基本語。物・考え・場面を具体的に表す。 ,"The librarian set the era near the entrance."
accuse,～を告発する,対象に働きかける動詞。「告発する」動作から抽象的用法にも広がる。 ,"The training video shows how to accuse it safely."
pole,棒,「棒」を指す基本語。物・考え・場面を具体的に表す。 ,"The checklist included the pole at the end."
convey,～を運ぶ,対象に働きかける動詞。「運ぶ」動作から抽象的用法にも広がる。 ,"Workers learned to convey it during practice."
steady,むらのない,「むらのない」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The coach praised a steady effort."
overcome,～に打ち勝つ,対象に働きかける動詞。「打ち勝つ」動作から抽象的用法にも広がる。 ,"They decided to overcome it before noon."
logic,論理学,「論理学」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"A logic question started the debate."
powder,粉,「粉」を指す基本語。物・考え・場面を具体的に表す。 ,"The report connected the powder to the case."
pump,ポンプ,「ポンプ」を指す基本語。物・考え・場面を具体的に表す。 ,"The note explained the pump in plain words."
recording,録音したもの,「録音したもの」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The room was recording."
liver,肝臓,体の一部・状態としての「肝臓」が主な意味。比喩的な表現にも広がる。 ,"A diagram showed the liver clearly."
electricity,電気,動作・性質を名詞化した語。「電気」という概念や結果を表す。 ,"The electricity opened early for visitors."
specialist,専門家,「専門家」という人・役割が主な意味。職業・立場・関係を表す。 ,"The invoice listed the specialist clearly."
deficiency,不足,動作・性質を名詞化した語。「不足」という概念や結果を表す。 ,"The report noted a deficiency pattern."
surely,確かに,「確かに」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"The singer paused surely before the chorus."
conservative,保守的な・保守主義の,「保守的な」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The guide suggested a conservative method."
victory,勝利,「勝利」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The team chose a victory route."
absorb,～を吸収する,対象に働きかける動詞。「吸収する」動作から抽象的用法にも広がる。 ,"Please absorb it after checking the instructions."
tale,話,「話」を指す基本語。物・考え・場面を具体的に表す。 ,"The manual listed the tale under tools."
cure,～を治療する,対象に働きかける動詞。「治療する」動作から抽象的用法にも広がる。 ,"The guide showed us how to cure it."
tobacco,タバコ,「タバコ」を指す基本語。物・考え・場面を具体的に表す。 ,"The librarian set the tobacco near the entrance."
circular,円形の,「円形の」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The teacher chose a circular example."
buyer,買い手,「買い手」という人・役割が主な意味。職業・立場・関係を表す。 ,"A client asked about the buyer after lunch."
mathematics,数学,「数学」を指す基本語。物・考え・場面を具体的に表す。 ,"The team checked the mathematics before leaving."
comfort,～を慰める,対象に働きかける動詞。「慰める」動作から抽象的用法にも広がる。 ,"The guide showed us how to comfort it."
platform,プラットフォーム、壇,人・物を載せる台が主な意味。駅のホーム・発表の場にも使う。 ,"A sign pointed toward the platform."
survival,生き残ること,「生き残る」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The team chose a survival route."
atomic,原子の,「原子の」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The report noted an atomic pattern."
rarely,めったにしない,「めったにしない」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"Owls rarely appear at noon."
remarkable,注目すべき,「注目すべき」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The editor marked a remarkable phrase."
compete,競う,「競う」という動きや変化を表す語。人・物の状態変化にも使う。 ,"The manual listed the compete under tools."
prominent,突き出た,「突き出た」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The teacher chose a prominent example."
educate,～を教育する,対象に働きかける動詞。「教育する」動作から抽象的用法にも広がる。 ,"Please educate it after checking the instructions."
reward,報酬,「報酬」を指す基本語。物・考え・場面を具体的に表す。 ,"The path turned reward near the cliff."
update,～を最新のものにする,対象に働きかける動詞。「最新のものにする」動作から抽象的用法にも広がる。 ,"The guide showed us how to update it."
prize,賞,「賞」を指す基本語。物・考え・場面を具体的に表す。 ,"The team checked the prize before leaving."
arrival,到着,「到着」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The team chose an arrival route."
breed,繁殖する；品種,動植物を繁殖させる感覚。品種を表す名詞にもなる。「繁殖する」の意味もある。 ,"The presenter pointed to the breed on the slide."
workshop,仕事場,「仕事場」という場所・範囲が主な意味。活動や所属の場面で使う。 ,"The workshop opened early for visitors."
dissolve,～を溶かす,対象に働きかける動詞。「溶かす」動作から抽象的用法にも広がる。 ,"The guide showed us how to dissolve it."
constantly,絶えず,「絶えず」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"The guard moved constantly along the hallway."
punishment,罰,「罰」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The policy raised questions about punishment."
critic,評論家,「評論家」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The committee made a critic decision."
hunt,～を狩る,対象に働きかける動詞。「狩る」動作から抽象的用法にも広がる。 ,"Workers learned to hunt it during practice."
nucleus,中心,「主な意味」を指す基本語。物・考え・場面を具体的に表す。 ,"The note explained the nucleus in plain words."
satellite,衛星・人工衛星・衛星国家・従者,「衛星」という人・役割が主な意味。職業・立場・関係を表す。 ,"The satellite arrived early for the workshop."
routine,いつもの手順,「いつもの手順」を指す基本語。物・考え・場面を具体的に表す。 ,"The routine arrived early for the workshop."
graph,グラフ,「グラフ」を指す基本語。物・考え・場面を具体的に表す。 ,"The team checked the graph before leaving."
absent,不在の,「不在の」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The child was absent during the thunderstorm."
praise,ほめること,「ほめる」を指す基本語。物・考え・場面を具体的に表す。 ,"They tried to praise the assignment after lunch."
rough,粗い,「粗い」を指す基本語。物・考え・場面を具体的に表す。 ,"The teacher gave a rough example."
folk,人々、民俗の,「人々」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The teacher chose a folk example."
format,体裁,「体裁」を指す基本語。物・考え・場面を具体的に表す。 ,"Use the correct format."
annually,年々,「年々」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"The boat drifted annually across the lake."
anxiety,心配,「心配」を指す基本語。物・考え・場面を具体的に表す。 ,"The manual listed the anxiety under tools."
bound,境界；跳ぶ,境界に縛られた感覚。跳ねる動詞、～行きの意味もある。「跳ぶ」の意味もある。 ,"The report connected the bound to the case."
hazard,危険,「危険」を指す基本語。物・考え・場面を具体的に表す。 ,"The note explained the hazard in plain words."
newly,最近,「最近」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"The team worked newly through the night."
variety,変化に富んでいること,「変化に富んでいる」を指す基本語。物・考え・場面を具体的に表す。 ,"Experts can variety the assignment carefully."
dozen,ダース,「ダース」を指す基本語。物・考え・場面を具体的に表す。 ,"The team checked the dozen before leaving."
uncertainty,確信のなさ,「確信のなさ」を指す基本語。物・考え・場面を具体的に表す。 ,"The librarian set the uncertainty near the entrance."
strain,～を引っ張る,対象に働きかける動詞。「引っ張る」動作から抽象的用法にも広がる。 ,"Please strain the trail marker before the next step."
briefly,手短に,「手短に」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"The child listened briefly during the story."
awareness,気づいていること,動作・性質を名詞化した語。「気づいている」という概念や結果を表す。 ,"The article linked awareness to climate change."
divine,神の,「神の」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The coach praised a divine effort."
warn,～に警告する,対象に働きかける動詞。「警告する」動作から抽象的用法にも広がる。 ,"They decided to warn it before noon."
syndrome,症候群,「症候群」を指す基本語。物・考え・場面を具体的に表す。 ,"The manual listed the syndrome under tools."
mechanic,機械工,「機械工」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"A mechanic file caused the warning."
undergo,～を受ける,対象に働きかける動詞。「受ける」動作から抽象的用法にも広がる。 ,"Workers learned to undergo it during practice."
architect,建築家,「建築家」という人・役割が主な意味。職業・立場・関係を表す。 ,"The invoice listed the architect clearly."
resist,～をこらえる,対象に働きかける動詞。「こらえる」動作から抽象的用法にも広がる。 ,"They decided to resist it before noon."
discount,割引,「割引」を指す基本語。物・考え・場面を具体的に表す。 ,"The team checked the discount before leaving."
negotiate,交渉する,「交渉する」という動きや変化を表す語。人・物の状態変化にも使う。 ,"The visitor noticed the negotiate near the doorway."
scholarship,奨学金,動作・性質を名詞化した語。「奨学金」という概念や結果を表す。 ,"The class found a scholarship pattern in the story."
reliable,信頼できる,頼ってもよい感覚。人・情報・機械の信頼性を表す。 ,"The technician tested the reliable in the lab."
craft,技能,手で作る技能が主な意味。工芸品・乗り物を表すこともある。 ,"The article described the craft with an example."
moisture,湿りけ,「湿りけ」を指す基本語。物・考え・場面を具体的に表す。 ,"The teacher asked about the moisture after class."
passion,情熱,動作・性質を名詞化した語。「情熱」という概念や結果を表す。 ,"Her essay connected passion with daily life."
insight,洞察,「洞察」を指す基本語。物・考え・場面を具体的に表す。 ,"The manual listed the insight under tools."
shortly,まもなく,「まもなく」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"The guard moved shortly along the hallway."
consume,～を消費する,対象に働きかける動詞。「消費する」動作から抽象的用法にも広がる。 ,"They decided to consume it before noon."
lab,実験室,「実験室」という場所・範囲が主な意味。活動や所属の場面で使う。 ,"The guide mentioned the lab near the entrance."
exploration,探検,動作・性質を名詞化した語。「探検」という概念や結果を表す。 ,"The committee discussed exploration for an hour."
reproduce,再現する、繁殖する,「再現する」という動きや変化を表す語。人・物の状態変化にも使う。 ,"The team checked the reproduce before leaving."
reservation,予約,場所を前もって確保する感覚。心の保留・疑念にも使う。 ,"The speaker defined reservation with a simple example."
dramatic,劇的な,「劇的な」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The committee made a dramatic decision."
pace,歩調、速度,「歩調」を指す基本語。物・考え・場面を具体的に表す。 ,"The checklist included the pace at the end."
conscious,気づいている,意識がある・気づいている状態。自覚的な態度にも使う。 ,"The report noted a conscious pattern."
owe,～に借りがある,対象に働きかける動詞。「借りがある」動作から抽象的用法にも広がる。 ,"Workers learned to owe it during practice."
attachment,付くこと,「付く」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The study measured attachment across three groups."
warning,警告,動作を名詞・形容詞化した語。「警告」場面や状態を表す。 ,"The guide suggested a warning method."
distant,遠い,「遠い」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The teacher chose a distant example."
confusion,混乱,動作・性質を名詞化した語。「混乱」という概念や結果を表す。 ,"The committee discussed confusion for an hour."
coastal,海岸の,「海岸の」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The hikers crossed a coastal slope."
neutral,中立の,「中立の」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The coach praised a neutral effort."
drag,～を引きずる,対象に働きかける動詞。「引きずる」動作から抽象的用法にも広がる。 ,"They decided to drag it before noon."
pause,小休止,「小休止」を指す基本語。物・考え・場面を具体的に表す。 ,"The visitor noticed the pause near the doorway."
scatter,～をばらまく,対象に働きかける動詞。「ばらまく」動作から抽象的用法にも広がる。 ,"Please scatter it after checking the instructions."
flash,ひらめき,「ひらめき」を指す基本語。物・考え・場面を具体的に表す。 ,"The checklist included the flash at the end."
compromise,妥協,互いに譲り合う感覚。妥協案、危険にさらす意味もある。 ,"The article described the compromise with an example."
silent,音がしない,「音がしない」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The room was silent."
resemble,～に似ている,対象に働きかける動詞。「似ている」動作から抽象的用法にも広がる。 ,"The training video shows how to resemble it safely."
technological,科学技術の,「科学技術の」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"A technological question started the debate."
deserve,～に値する,対象に働きかける動詞。「値する」動作から抽象的用法にも広がる。 ,"Workers learned to deserve it during practice."
motive,動機,「動機」という状態・性質を表す語。人・物の特徴・評価を表す。 ,"The room had a motive feeling."
resort,やむを得ず訴える,最後に頼る手段が主な意味。行楽地という名詞にもなる。 ,"The guide mentioned the resort near the entrance."
simultaneously,同時に,「同時に」様子を添える副詞。動作や文全体のニュアンスを変える。 ,"She spoke simultaneously to the visitor."
habitat,生息地,「生息地」を指す基本語。物・考え・場面を具体的に表す。 ,"The team checked the habitat before leaving."
