english,japanese,detail,sample
sadness,悲しみ,「悲しみ」を表す語。性質・状態そのものを名詞で表す。 ,"A diagram showed the sadness clearly."
glide,すべるように動く,「すべるように動く」を表す語。動きや変化を表し、比喩にも広がる。 ,"The team checked the glide before leaving."
including,～を含めて,全体の中に含める表現。前置詞的に名詞を続ける。 ,"The guide suggested an including method."
weird,奇妙な,「奇妙な」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The teacher chose a weird example."
gifted,才能のある,「才能のある」を表す語。動きや変化を表し、比喩にも広がる。 ,"The editor marked a gifted phrase."
shave,剃る、削る,「剃る」を表す語。動きや変化を表し、比喩にも広がる。 ,"The article described the shave with an example."
alphabet,アルファベット,「アルファベット」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The teacher asked about the alphabet after class."
secretly,ひそかに,「ひそかに」を表す語。動作・状態の程度や方向を補う副詞的な語。 ,"The door closed secretly behind us."
groom,花婿、手入れする,「花婿」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The groom opened early for visitors."
ness,接尾辞 -ness（性質・状態）,文法・語形成の用語。「接尾辞 -ness（性質・状態）」として語や文の働きを表す。 ,"Her essay connected ness with daily life."
fake,偽物の、偽造する,「偽物の」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The note explained the fake in plain words."
circus,サーカス,「サーカス」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The circus arrived."
amusing,おもしろい,「おもしろい」を表す語。人・物の性質・状態を表す形容詞。 ,"The committee made an amusing decision."
lottery,富くじ,「富くじ」を表す語。状態やまとまりを名詞で表す。 ,"The team checked the lottery before leaving."
trash,価値のないもの,「価値のないもの」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The committee made a trash decision."
sparkle,きらめく,「きらめく」を表す語。動きや変化を表し、比喩にも広がる。 ,"The presenter pointed to the sparkle on the slide."
terribly,恐ろしく,「恐ろしく」を表す語。動きや変化を表し、比喩にも広がる。 ,"The singer paused terribly before the chorus."
notorious,悪名高い,「悪名高い」を表す語。人・物の性質・状態を表す形容詞。 ,"The guide suggested a notorious method."
memorable,記憶に残る,「記憶に残る」を表す語。動きや変化を表し、比喩にも広がる。 ,"The team chose a memorable route."
curiously,物珍しそうに,「物珍しそうに」を表す語。動作・状態の程度や方向を補う副詞的な語。 ,"The team worked curiously through the night."
fashionable,流行の,「流行の」を表す語。人・物の性質・状態を表す形容詞。 ,"A fashionable color filled the evening sky."
informative,有益な情報を与える,「有益な情報を与える」を表す語。動きや変化を表し、比喩にも広がる。 ,"The coach praised an informative effort."
persuasive,説得力のある,「説得力のある」を表す語。動きや変化を表し、比喩にも広がる。 ,"The coach praised a persuasive effort."
newcomer,新しく来た人,「新しく来た人」を表す語。その役割を持つ人・物を表す名詞。 ,"The newcomer arrived early for the workshop."
undo,元に戻す,「元に戻す」を表す語。動きや変化を表し、比喩にも広がる。 ,"A diagram showed the undo clearly."
tournament,トーナメント,「トーナメント」を表す語。行為・過程・結果を名詞で表す。 ,"The article linked tournament to climate change."
motorcycle,オートバイ,「オートバイ」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The visitor noticed the motorcycle near the doorway."
breakthrough,突破口、大きな進歩,「突破口」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The presenter pointed to the breakthrough on the slide."
poisonous,有毒な,「有毒な」を表す語。人・物の性質・状態を表す形容詞。 ,"The team chose a poisonous route."
animation,活気,「活気」を表す語。行為・過程・結果を名詞で表す。 ,"Her essay connected animation with daily life."
violently,激しく、暴力的に,「激しく」を表す語。動きや変化を表し、比喩にも広がる。 ,"The door closed violently behind us."
graceful,優雅な,「優雅な」を表す語。人・物の性質・状態を表す形容詞。 ,"The editor marked a graceful phrase."
telegram,電報,「電報」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The manual listed the telegram under tools."
thirst,のどの渇き、渇望,「どの渇き」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The report connected the thirst to the case."
bakery,パン製造所,「パン製造所」を表す語。状態やまとまりを名詞で表す。 ,"The note explained the bakery in plain words."
superstition,迷信,「迷信」を表す語。行為・過程・結果を名詞で表す。 ,"The article linked superstition to climate change."
loaf,パン1個、ぶらぶらする,「パン1個」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"A diagram showed the loaf clearly."
unfit,適さない、不健康な,「適さない」を表す語。人の性質・感情・状態を表す抽象語。 ,"She felt unfit."
