english,japanese,detail,sample
lease,賃貸借契約、リース,「賃貸借契約」を表す語。制度・法律・組織に関わる場面で使う。 ,"The contract defines the lease in plain language."
imply,～を暗示する,直接言わずに意味を含ませる語。発言・事実が暗示する。 ,"His tone may imply anger."
expansion,拡大,「拡大」を表す語。行為・過程・結果を名詞で表す。 ,"A short story illustrated expansion clearly."
core,中心、核心,「中心」を表す語。人の性質・感情・状態を表す抽象語。 ,"The teacher chose a core example."
dispute,論争、異議を唱える,「論争」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The checklist included the dispute at the end."
marketing,市場での売買,「市場での売買」を表す語。人・物の性質・状態を表す形容詞。 ,"A marketing trend appeared in sales."
consent,同意、同意する,「同意」を表す語。人・物の性質・状態を表す形容詞。 ,"The coach praised a consent effort."
decade,10年間,「10年間」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The calendar marked the decade in blue."
prescribe,～を処方する、規定する,「処方する」を表す語。動きや変化を表し、比喩にも広がる。 ,"The training video shows how to prescribe it safely."
participation,参加,「参加」を表す語。行為・過程・結果を名詞で表す。 ,"The team will participation the sketch before Friday."
plot,筋、陰謀、土地,「筋」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The note explained the plot in plain words."
therapy,治療,「治療」を表す語。人・物の性質・状態を表す形容詞。 ,"The editor marked a therapy phrase."
cooperation,協力,「協力」を表す語。行為・過程・結果を名詞で表す。 ,"A short story illustrated cooperation clearly."
transition,移行、変遷,「移行」を表す語。行為・過程・結果を名詞で表す。 ,"The policy raised questions about transition."
dimension,寸法、側面,「寸法」を表す語。行為・過程・結果を名詞で表す。 ,"The committee discussed dimension for an hour."
mixture,混ぜ合わせること,「混ぜ合わせること」を表す語。状態やまとまりを名詞で表す。 ,"The presenter pointed to the mixture on the slide."
undertake,～を引き受ける,「引き受ける」を表す語。動きや変化を表し、比喩にも広がる。 ,"The guide showed us how to undertake it."
attribute,属性、～のせいにする,「属性」を表す語。人の性質・感情・状態を表す抽象語。 ,"The room felt attribute after the announcement."
legislative,立法の,「立法の」を表す語。人・物の性質・状態を表す形容詞。 ,"The legislative committee met at noon."
corporate,企業の、法人の,「企業の」を表す語。ビジネスや取引の文脈でよく使う。 ,"She felt corporate."
mortgage,住宅ローン、抵当,「住宅ローン」を表す語。状態やまとまりを名詞で表す。 ,"The manual listed the mortgage under tools."
peak,山頂,具体的な物・場所を指す語。「山頂」を場面の名詞として使う。 ,"The ranger marked the peak on the map."
correspond,一致する、文通する,「一致する」を表す語。動きや変化を表し、比喩にも広がる。 ,"The note explained the correspond in plain words."
compute,～を計算する,「計算する」を表す語。動きや変化を表し、比喩にも広がる。 ,"The training video shows how to compute it safely."
panel,委員会、板、パネル,「委員会」を表す語。制度・法律・組織に関わる場面で使う。 ,"The contract defines the panel in plain language."
clause,条項、節,「条項」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The team checked the clause before leaving."
abuse,乱用、虐待する,「乱用」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"They tried to abuse the reservation after lunch."
copper,銅,「銅」を表す語。その役割を持つ人・物を表す名詞。 ,"The presenter pointed to the copper on the slide."
detailed,詳細にわたる,「詳細にわたる」を表す語。動きや変化を表し、比喩にも広がる。 ,"The checklist included the detailed at the end."
label,ラベル、～にラベルを貼る,「ラベル」を表す語。動きや変化を表し、比喩にも広がる。 ,"The article described the label with an example."
necessity,必要性、必需品,「必要性」を表す語。性質・立場・関係を名詞で表す。 ,"The debate revealed necessity after the vote."
specifically,明確に,「明確に」を表す語。動作・状態の程度や方向を補う副詞的な語。 ,"The machine ran specifically after the repair."
extensive,広範囲の,「広範囲の」を表す語。人・物の性質・状態を表す形容詞。 ,"The guide suggested an extensive method."
reverse,逆、逆にする,「逆」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The report connected the reverse to the case."
interior,内部、内装,「内部」を表す語。その役割を持つ人・物を表す名詞。 ,"The note explained the interior in plain words."
creation,創造、創作物,「創造」を表す語。行為・過程・結果を名詞で表す。 ,"Experts can creation the sauce carefully."
beam,梁、光線、笑顔になる,「梁」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"A beam supported the roof."
recognition,認識、承認,「認識」を表す語。行為・過程・結果を名詞で表す。 ,"The survey tracked recognition over several years."
lower,～を下げる、低いほうの,「下げる」を表す語。動きや変化を表し、比喩にも広がる。 ,"Lower the curtain before the show."
disorder,混乱、障害,「混乱」を表す語。その役割を持つ人・物を表す名詞。 ,"The presenter pointed to the disorder on the slide."
consistent,一貫した,「一貫した」を表す語。人・物の性質・状態を表す形容詞。 ,"The teacher chose a consistent example."
