english,japanese,detail,sample
inconvenient,不便な,都合よく進まない状態。時間・場所・状況に使う。 ,"The schedule was inconvenient."
vegetarian,菜食主義者,肉を避ける食生活の人。形容詞として菜食の意味もある。 ,"A vegetarian flavor stayed after each bite."
shadowy,陰になった,「陰になった」を表す語。人・物の性質・状態を表す形容詞。 ,"The coach praised a shadowy effort."
oily,油の,「油の」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The surface felt oily."
scary,恐ろしい,「恐ろしい」を表す語。人・物の性質・状態を表す形容詞。 ,"The committee made a scary decision."
subconscious,潜在意識の、無意識の,「潜在意識の」を表す語。人・物の性質・状態を表す形容詞。 ,"The teacher chose a subconscious example."
stricken,襲われた、苦しんでいる,災害や病気に打たれた状態。苦しんでいる様子を表す。 ,"Nurses checked the stricken during rounds."
mediterranean,地中海の,「地中海の」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"A field note described the mediterranean after the storm."
ape,類人猿,具体的な物・場所を指す語。「類人猿」を場面の名詞として使う。 ,"The ape arrived early for the workshop."
riddle,なぞなぞ、謎,「なぞなぞ」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The article described the riddle with an example."
scold,～を叱る,「叱る」を表す語。動きや変化を表し、比喩にも広がる。 ,"Workers learned to scold it during practice."
grill,焼き網、～を焼く,「焼き網」を表す語。動きや変化を表し、比喩にも広がる。 ,"A photo showed the grill beside the road."
breathless,息切れした,「息切れした」を表す語。人・物の性質・状態を表す形容詞。 ,"The chef served a breathless sauce."
flu,インフルエンザ,「インフルエンザ」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The report connected the flu to the case."
daze,ぼう然とした状態,「ぼう然とした状態」を表す語。人の性質・感情・状態を表す抽象語。 ,"Her smile looked daze after the news."
mash,～を押しつぶす,「押しつぶす」を表す語。動きや変化を表し、比喩にも広がる。 ,"Workers learned to mash it during practice."
shameful,恥ずべき,「恥ずべき」を表す語。人・物の性質・状態を表す形容詞。 ,"The coach praised a shameful effort."
carelessly,不注意に,「不注意に」を表す語。動作・状態の程度や方向を補う副詞的な語。 ,"The door closed carelessly behind us."
hanging,つるすこと、絞首刑,「つるすこと」を表す語。人・物の性質・状態を表す形容詞。 ,"The team chose a hanging route."
ladder,はしご,「はしご」を表す語。その役割を持つ人・物を表す名詞。 ,"The presenter pointed to the ladder on the slide."
participle,分詞,文法・語形成の用語。「分詞」として語や文の働きを表す。 ,"The artist captured the participle in the sketch."
mayor,市長,「市長」を表す語。その役割を持つ人・物を表す名詞。 ,"The article described the mayor with an example."
butcher,肉屋、虐殺する,「肉屋」を表す語。その役割を持つ人・物を表す名詞。 ,"The teacher asked about the butcher after class."
thunder,雷鳴,「雷鳴」を表す語。その役割を持つ人・物を表す名詞。 ,"A photo showed the thunder beside the road."
undress,服を脱ぐ、～を脱がせる,「服を脱ぐ」を表す語。動きや変化を表し、比喩にも広がる。 ,"The manual listed the undress under tools."
sponge,スポンジ、吸収する,「スポンジ」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The report connected the sponge to the case."
volcano,火山,「火山」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"Hikers noticed the volcano near the trail."
columnist,コラムニスト,「コラムニスト」を表す語。その役割を持つ人・物を表す名詞。 ,"The guide mentioned the columnist near the entrance."
mathematician,数学者,「数学者」を表す語。その役割を持つ人・物を表す名詞。 ,"The mathematician arrived early for the workshop."
unbelievable,信じられない,「信じられない」を表す語。人・物の性質・状態を表す形容詞。 ,"The editor marked an unbelievable phrase."
sandal,サンダル,「サンダル」を表す語。人・物の性質・状態を表す形容詞。 ,"A sandal color filled the evening sky."
fluent,流ちょうな,「流ちょうな」を表す語。人・物の性質・状態を表す形容詞。 ,"The coach praised a fluent effort."
teamwork,協同作業,「協同作業」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The manager reviewed the teamwork before the meeting."
tasty,おいしい,「おいしい」を表す語。人・物の性質・状態を表す形容詞。 ,"The teacher chose a tasty example."
sticker,ステッカー,「ステッカー」を表す語。その役割を持つ人・物を表す名詞。 ,"The teacher asked about the sticker after class."
booking,予約,「予約」を表す語。人・物の性質・状態を表す形容詞。 ,"The teacher gave a booking example."
honeymoon,新婚旅行,「新婚旅行」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The guide marked the honeymoon on the map."
swimmer,泳ぐ人,「泳ぐ人」を表す語。その役割を持つ人・物を表す名詞。 ,"The swimmer arrived early for the workshop."
bravely,勇敢に,「勇敢に」を表す語。動作・状態の程度や方向を補う副詞的な語。 ,"She spoke bravely to the visitor."
uncontrollable,抑制できない,「抑制できない」を表す語。人・物の性質・状態を表す形容詞。 ,"The report noted an uncontrollable pattern."
bathe,入浴する、～を浸す,「入浴する」を表す語。動きや変化を表し、比喩にも広がる。 ,"A diagram showed the bathe clearly."
beard,あごひげ,「あごひげ」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The team checked the beard before leaving."
nervousness,神経質なこと,「神経質なこと」を表す語。性質・状態そのものを名詞で表す。 ,"A short story illustrated nervousness clearly."
nectar,ネクター,「ネクター」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The presenter pointed to the nectar on the slide."
van,有蓋トラック,「有蓋トラック」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The checklist included the van at the end."
involuntarily,いやいやながら,「いやいやながら」を表す語。動作・状態の程度や方向を補う副詞的な語。 ,"The boat drifted involuntarily across the lake."
glint,きらりと光る、きらめき,「きらりと光る」を表す語。動きや変化を表し、比喩にも広がる。 ,"The teacher asked about the glint after class."
possessive,所有の、独占欲の強い,「所有の」を表す語。人・物の性質・状態を表す形容詞。 ,"The sign gave a possessive warning."
unheard,聞かれない、前例のない,「聞かれない」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The team chose an unheard route."
frustration,欲求不満、挫折,「欲求不満」を表す語。行為・過程・結果を名詞で表す。 ,"Her essay connected frustration with daily life."
workout,運動、練習,「運動」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The manager reviewed the workout before the meeting."
misty,霧のかかった、ぼんやりした,「霧のかかった」を表す語。人・物の性質・状態を表す形容詞。 ,"The editor marked a misty phrase."
backpack,背のう,「背のう」を表す語。動きや変化を表し、比喩にも広がる。 ,"A diagram showed the backpack clearly."
helmet,ヘルメット,具体的な物・場所を指す語。「ヘルメット」を場面の名詞として使う。 ,"The team checked the helmet before leaving."
messy,乱雑な,「乱雑な」を表す語。人・物の性質・状態を表す形容詞。 ,"The committee made a messy decision."
innovator,革新者,「革新者」を表す語。その役割を持つ人・物を表す名詞。 ,"The innovator arrived early for the workshop."
disgusting,実に嫌な,「実に嫌な」を表す語。人・物の性質・状態を表す形容詞。 ,"The room had a disgusting feeling."
diaper,おしめ,「おしめ」を表す語。その役割を持つ人・物を表す名詞。 ,"The article described the diaper with an example."
infinitive,不定詞,文法・語形成の用語。「不定詞」として語や文の働きを表す。 ,"The team chose an infinitive route."
comedian,コメディアン,「コメディアン」を表す語。その役割を持つ人・物を表す名詞。 ,"A photo showed the comedian beside the road."
lighter,ライター、より軽い,「ライター」を表す語。その役割を持つ人・物を表す名詞。 ,"A lighter color filled the evening sky."
dude,やつ、男,「やつ」を表す語。動きや変化を表し、比喩にも広がる。 ,"The report connected the dude to the case."
dazzle,～をまぶしくさせる、魅了する,「まぶしくさせる」を表す語。動きや変化を表し、比喩にも広がる。 ,"They decided to dazzle it before noon."
doze,うたた寝する,「うたた寝する」を表す語。動きや変化を表し、比喩にも広がる。 ,"The guide mentioned the doze near the entrance."
festive,祭りの、陽気な,「祭りの」を表す語。人・物の性質・状態を表す形容詞。 ,"The committee made a festive decision."
dynasty,王朝,「王朝」を表す語。人・物の性質・状態を表す形容詞。 ,"The teacher chose a dynasty example."
overwork,働きすぎる、酷使する,「働きすぎる」を表す語。動きや変化を表し、比喩にも広がる。 ,"They tried to overwork the proposal after lunch."
unpack,荷を解く、説明する,「荷を解く」を表す語。動きや変化を表し、比喩にも広がる。 ,"The presenter pointed to the unpack on the slide."
friendliness,友人らしさ,「友人らしさ」を表す語。性質・状態そのものを名詞で表す。 ,"The friendliness arrived early for the workshop."
spicy,薬味のきいた,「薬味のきいた」を表す語。人・物の性質・状態を表す形容詞。 ,"A spicy result changed the treatment."
innermost,いちばん奥の,「いちばん奥の」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The guide suggested an innermost method."
entertainer,もてなす人,「もてなす人」を表す語。その役割を持つ人・物を表す名詞。 ,"The entertainer arrived early for the workshop."
gall,厚かましさ、胆汁,厚かましさを表す語。胆汁の意味もあるが頻度は低め。 ,"The manual listed the gall under tools."
unfriendly,友情のない,「友情のない」を表す語。人・物の性質・状態を表す形容詞。 ,"The machine ran unfriendly after the repair."
gymnastics,体操,「体操」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"Gymnastics requires balance."
unlucky,不運な,「不運な」を表す語。人・物の性質・状態を表す形容詞。 ,"He was unlucky today."
lovingly,愛情を込めて,「愛情を込めて」を表す語。動作・状態の程度や方向を補う副詞的な語。 ,"The singer paused lovingly before the chorus."
fondness,愛好,「愛好」を表す語。性質・状態そのものを名詞で表す。 ,"Her smile looked fondness after the news."
canned,かん詰めの,「かん詰めの」を表す語。人・物の性質・状態を表す形容詞。 ,"The team chose a canned route."
housework,家事,「家事」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"A client asked about the housework after lunch."
quake,震える、地震,「震える」を表す語。動きや変化を表し、比喩にも広がる。 ,"The checklist included the quake at the end."
storyteller,語り手,「語り手」を表す語。その役割を持つ人・物を表す名詞。 ,"The storyteller arrived early for the workshop."
campsite,キャンプ場,「キャンプ場」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The campsite opened early for visitors."
cucumber,キュウリ,「キュウリ」を表す語。その役割を持つ人・物を表す名詞。 ,"A photo showed the cucumber beside the road."
nutritious,栄養のある,「栄養のある」を表す語。動きや変化を表し、比喩にも広がる。 ,"The committee made a nutritious decision."
jar,つぼ,「つぼ」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The report connected the jar to the case."
broccoli,ブロッコリー,具体的な物・場所を指す語。「ブロッコリー」を場面の名詞として使う。 ,"The note explained the broccoli in plain words."
teller,話す人、窓口係,「話す人」を表す語。その役割を持つ人・物を表す名詞。 ,"The teller arrived early for the workshop."
juicy,汁の多い,「汁の多い」を表す語。人・物の性質・状態を表す形容詞。 ,"The team chose a juicy route."
shopper,買物客,「買物客」を表す語。その役割を持つ人・物を表す名詞。 ,"The team checked the shopper before leaving."
buddy,兄貴,「兄貴」を表す語。人・物の性質・状態を表す形容詞。 ,"A buddy color filled the evening sky."
sneeze,くしゃみ,「くしゃみ」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The presenter pointed to the sneeze on the slide."
greenhouse,温室,「温室」を表す語。具体的な意味から、抽象的な使い方にも広がる。 ,"The greenhouse opened early for visitors."
