english,japanese,detail,sample
scorn,軽べつ,「軽べつ」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The checklist included the scorn at the end."
tact,機転,「機転」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The article described the tact with an example."
professionalism,専門職意識；プロ意識,「専門職意識」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「プロ意識」の意味もある。 ,"A short story illustrated professionalism clearly."
possessor,所有者,「所有者」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The possessor arrived early for the workshop."
churn,かき回す；大量離脱,「かき回す」を表す語。顧客離脱や大量生産の比喩にも使う。「大量離脱」の意味もある。 ,"The invoice listed the churn clearly."
malfunction,機能不全,「機能不全」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The article linked malfunction to climate change."
revere,～をあがめる,「あがめる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The guide showed us how to revere it."
closeness,近さ；親密さ,「近さ」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「親密さ」の意味もある。 ,"The survey tracked closeness over several years."
marvel,驚異,「驚異」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"A diagram showed the marvel clearly."
hypocrisy,偽善,「偽善」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The team checked the hypocrisy before leaving."
nocturnal,夜行性の；夜の,「夜行性の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「夜の」の意味もある。 ,"A nocturnal color filled the evening sky."
hack,～をたたき切る,「たたき切る」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The guide showed us how to hack it."
creamy,クリーム状の,「クリーム状の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The coach praised a creamy effort."
remorse,後悔,「後悔」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The article described the remorse with an example."
farce,笑劇,「笑劇」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The teacher asked about the farce after class."
sanctity,神聖さ；尊厳,「神聖さ」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「尊厳」の意味もある。 ,"The article linked sanctity to climate change."
offspring,子,「子」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The manual listed the offspring under tools."
glean,～を少しずつ集める,「少しずつ集める」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"They decided to glean it before noon."
extravagance,浪費,「浪費」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The lecture explored extravagance through real cases."
candid,率直な,「率直な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The report noted a candid pattern."
reassurance,安心させること,「安心させること」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The debate revealed reassurance after the vote."
proliferate,増殖する,「増殖する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The team checked the proliferate before leaving."
monotonous,単調な,「単調な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The guide suggested a monotonous method."
heifer,若い雌牛,「若い雌牛」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The heifer moved quietly."
wooded,樹木の茂った,「樹木の茂った」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"A wooded cloud covered the ridge."
misplace,～を置き間違える,「置き間違える」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Workers learned to misplace it during practice."
resonate,反響する,「反響する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The teacher asked about the resonate after class."
recessive,劣性の；後退的な,「劣性の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「後退的な」の意味もある。 ,"The sign gave a recessive warning."
itinerary,旅程,「旅程」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The guide marked the itinerary on the map."
versatility,多才,「多才」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"Her essay connected versatility with daily life."
acoustics,音響学,「音響学」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The note explained the acoustics in plain words."
unconventional,しきたりにとらわれない,「しきたりにとらわれない」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The editor marked an unconventional phrase."
facilitation,促進；円滑化,「促進」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「円滑化」の意味もある。 ,"A short story illustrated facilitation clearly."
adjoining,隣り合う,「隣り合う」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The team checked the adjoining before leaving."
complimentary,無料の；称賛の,「好意として与える」を表す語。無料・称賛の二義に注意。「無料の」の意味もある。 ,"The committee made a complimentary decision."
impervious,通さない；影響されない,「通さない」を表す語。水だけでなく批判に鈍い意味もある。「影響されない」の意味もある。 ,"The material is impervious to water."
repertory,レパートリー,「持ち演目の一覧」を表す語。劇・音楽・技能のレパートリー。 ,"The artist captured the repertory in the sketch."
respite,一時的休息；猶予,「一時的休息」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「猶予」の意味もある。 ,"The article described the respite with an example."
overdraft,当座貸越,「当座貸越」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The teacher asked about the overdraft after class."
domesticate,～を飼いならす；家庭化する,「飼いならす」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。「家庭化する」の意味もある。 ,"Please domesticate it after checking the instructions."
gape,口をぽかんと開ける,「大きく開く」を表す語。口を開けて驚く様子に使う。 ,"The manual listed the gape under tools."
prohibitive,法外な；禁止的な,「法外な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「禁止的な」の意味もある。 ,"The coach praised a prohibitive effort."
calorie,カロリー,「カロリー」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The note explained the calorie in plain words."
enterprising,進取の気性に富んだ,「進取の気性に富んだ」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The guide mentioned the enterprising near the entrance."
subtly,微妙に,「微妙に」を表す語という仕方。動作・判断の程度や話し手の態度を補う。 ,"The child listened subtly during the story."
commendation,称賛；推薦,「称賛」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「推薦」の意味もある。 ,"The article linked commendation to climate change."
consultancy,コンサルタント業務,「コンサルタント業務」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The visitor noticed the consultancy near the doorway."
eclectic,折衷的な；幅広く選んだ,「折衷的な」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。「幅広く選んだ」の意味もある。 ,"The committee made an eclectic decision."
physique,体格,「体格」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"He has an athletic physique."
taut,ぴんと張った,「ぴんと張った」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The report noted a taut pattern."
astray,迷って,「迷って」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The teacher asked about the astray after class."
mythological,神話の,「神話の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The editor marked a mythological phrase."
