english,japanese
acquire,身につける
adjust,調整する
admit,認める
adopt,採用する
analyze,分析する
approve,承認する
arise,生じる
assign,割り当てる
attempt,試みる
balance,釣り合わせる
ban,禁止する
broadcast,放送する
bury,埋める
calculate,計算する
cancel,取り消す
charge,請求する
claim,主張する
combine,組み合わせる
compete,競争する
confirm,確認する
consume,消費する
contain,含む
convince,納得させる
criticize,批判する
deserve,値する
determine,決定する
devote,ささげる
disagree,反対する
donate,寄付する
employ,雇う
enable,可能にする
entertain,楽しませる
establish,設立する
estimate,見積もる
exchange,交換する
expand,拡大する
export,輸出する
import,輸入する
generate,生み出す
identify,特定する
ignore,無視する
illustrate,説明する
inform,知らせる
insist,強く主張する
interpret,解釈する
judge,判断する
maintain,維持する
observe,観察する
overcome,克服する
participate,参加する
preserve,保存する
promote,促進する
quit,やめる
react,反応する
reflect,反映する
register,登録する
replace,取り替える
request,要求する
rescue,救助する
restore,回復させる
advantage,利点
amount,量
atmosphere,雰囲気
attitude,態度
barrier,障壁
biology,生物学
border,国境
brain,脳
character,性格
chemical,化学物質
civilization,文明
colony,植民地
confidence,自信
conflict,対立
creature,生き物
crop,作物
disaster,災害
duty,義務
element,要素
employment,雇用
enemy,敵
equipment,設備
favor,好意
feature,特徴
flood,洪水
foundation,基礎
freedom,自由
fuel,燃料
grain,穀物
habitat,生息地
harmony,調和
harvest,収穫
host,主催者
income,収入
impact,影響
issue,問題
labor,労働
material,材料
mission,任務
mystery,謎
network,ネットワーク
object,物体
origin,起源
pattern,型
percent,パーセント
permission,許可
policy,政策
quality,質
reality,現実
recycling,リサイクル
reference,参照
religion,宗教
requirement,必要条件
risk,危険性
role,役割
root,根
salary,給料
sample,見本
source,源
state,状態
structure,構造
talent,才能
task,仕事
theory,理論
topic,話題
unity,団結
value,価値
victim,被害者
zone,区域
accurate,正確な
additional,追加の
annual,年1回の
artificial,人工の
broad,広い
certain,確かな
complex,複雑な
complete,完全な
critical,重大な
cruel,残酷な
current,現在の
domestic,国内の
elderly,年配の
enormous,巨大な
external,外部の
financial,財政の
firm,しっかりした
flexible,柔軟な
former,以前の
frequent,頻繁な
grateful,感謝している
guilty,罪のある
hidden,隠れた
illegal,違法の
industrial,産業の
inner,内側の
major,主要な
mental,精神の
moral,道徳の
official,公式の
physical,身体の
rare,珍しい
remote,遠く離れた
royal,王室の
severe,深刻な
sharp,鋭い
solid,固体の
specific,具体的な
total,全体の
typical,典型的な
unfair,不公平な
unique,独特の
universal,普遍的な
visual,視覚の
approximately,およそ
besides,そのうえ
certainly,確かに
consequently,その結果
despite,〜にもかかわらず
due to,〜が原因で
even though,〜だけれども
furthermore,さらに
generally,一般的に
in addition,加えて
in case,〜の場合に備えて
in general,一般的に
in particular,特に
in public,人前で
in return,お返しに
in the future,将来
moreover,さらに
neither,どちらも〜ない
on purpose,わざと
otherwise,さもなければ
rather,むしろ
so far,これまでのところ
sooner or later,遅かれ早かれ
throughout,〜の至る所に
meanwhile,その間に
