english,japanese
accomplish,達成する
accuse,非難する
acknowledge,認める
advertise,宣伝する
aim,目指す
amuse,楽しませる
appeal,訴える
approach,近づく
arrest,逮捕する
assume,思い込む
assure,保証する
attach,取り付ける
benefit,役に立つ
carve,彫る
cease,やめる
characterize,特徴づける
classify,分類する
collapse,崩れる
command,命令する
conceal,隠す
conclude,結論づける
conduct,行う
confess,告白する
construct,建設する
consult,相談する
convey,伝える
cope,対処する
decline,断る
deny,否定する
deposit,預ける
detect,見つ,伝える
cope,対処する
decline,断る
deny,否定する
deposit,預ける
detect,見つける
differ,異なる
disturb,邪魔する
distribute,配る
drag,引きずる
emphasize,強調する
encounter,出会う
enforce,実施する
enhance,高める
ensure,確実にする
evaluate,評価する
exceed,超える
exclude,除外する
extend,伸ばす
fascinate,魅了する
function,機能する
hesitate,ためらう
imply,暗に示す
inspire,刺激する
investigate,調査する
isolate,孤立させる
launch,開始する
locate,位置を見つける
lower,下げる
motivate,やる気にさせる
negotiate,交渉する
occur,起こる
oppose,反対する
outline,概略を述べる
predict,予測する
pursue,追求する
recover,回復する
refer,言及する
release,解放する
rely,頼る
retire,引退する
reveal,明らかにする
settle,解決する
transform,変える
urge,強く促す
access,アクセス
account,説明
action,行動
aid,援助
anxiety,不安
aspect,側面
belief,信念
burden,負担
campaign,運動
capacity,能力
category,分類
circumstance,状況
concept,概念
consequence,結果
context,文脈
contrast,対照
definition,定義
device,装置
dignity,尊厳
discipline,規律
discovery,発見
diversity,多様性
donation,寄付
editor,編集者
efficiency,効率
exception,例外
expert,専門家
explanation,説明
failure,失敗
figure,数字・人物
framework,枠組み
frontier,最前線
gap,差
gesture,身ぶり
glory,栄光
growth,成長
household,世帯
humanity,人類
hunger,飢え
impression,印象
independence,独立
insight,洞察
institute,研究所
instruction,指示
intention,意図
investigation,調査
justice,正義
limitation,制限
literature,文学
location,場所
majority,多数派
manner,方法・態度
miracle,奇跡
neighborhood,近所
occupation,職業
abstract,抽象的な
acceptable,受け入れられる
advanced,進んだ
apparent,明らかな
appropriate,適切な
ashamed,恥じている
biological,生物学の
capable,能力がある
casual,ふだんの
challenging,挑戦的な
civil,市民の
competitive,競争力のある
conscious,意識している
considerable,かなりの
constant,絶え間ない
contemporary,現代の
contrary,反対の
cooperative,協力的な
dramatic,劇的な
efficient,効率的な
entire,全体の
extreme,極端な
false,誤った
fundamental,基本的な
generous,寛大な
immediate,即時の
impressive,印象的な
initial,最初の
intellectual,知的な
internal,内部の
legal,法律の
limited,限られた
mature,成熟した
neutral,中立の
overall,全体的な
passive,受け身の
potential,潜在的な
precious,貴重な
previous,前の
professional,専門的な
remarkable,注目すべき
rural,田舎の
significant,重要な
stable,安定した
urban,都市の
above all,とりわけ
after all,結局
ahead,前方に
apart,離れて
aside,脇へ
at the same time,同時に
by chance,偶然に
by degrees,徐々に
by mistake,間違って
compared with,〜と比べて
even if,たとえ〜でも
except for,〜を除いて
for instance,たとえば
from now on,これからは
in advance,前もって
in common,共通して
in detail,詳しく
in other words,言い換えると
in short,要するに
in spite of,〜にもかかわらず
little by little,少しずつ
no longer,もはや〜ない
not always,必ずしも〜ではない
on board,乗り物に乗って
on time,時間通りに
over and over,何度も
rather than,〜よりむしろ
regardless of,〜に関係なく
up to,〜まで
within,〜以内に
