english,japanese
famous,有名な
popular,人気のある
traditional,伝統的な
original,独自の
special,特別な
important,重要な
beautiful,美しい
interesting,おもしろい
exciting,わくわくする
difficult,難しい
easy,簡単な
useful,役に立つ
careful,注意深い
kind,親切な
brave,勇敢な
friendly,親しみやすい
busy,忙しい
quiet,静かな
noisy,うるさい
fast,速い
slow,遅い
strong,強い
weak,弱い
young,若い
old,年をとった
early,早い
late,遅い
safe,安全な
dangerous,危険な
enough,十分な
culture,文化
language,言語
flag,旗
capital,首都
island,島
village,村
area,地域
region,地方
nature,自然
history,歴史
tradition,伝統
custom,習慣
event,行事
landmark,名所
monument,記念碑
tower,塔
bridge,橋
building,建物
market,市場
souvenir,おみやげ
journey,旅
abroad,外国へ
foreign,外国の
local,地元の
tourist,観光客
visitor,訪問者
guidebook,ガイドブック
passport,パスポート
airport gate,空港の搭乗口
hotel room,ホテルの部屋
English conversation,英会話
pronunciation,発音
vocabulary,語彙
grammar,文法
sentence,文
word,単語
phrase,句
paragraph,段落
report,レポート
poster,ポスター
project,プロジェクト
survey,調査
interview,インタビュー
opinion,意見
idea,考え
reason,理由
example,例
review,復習
research,調査研究
information,情報
internet,インターネット
website,ウェブサイト
email,メール
message,メッセージ
presentation,発表
introduce,紹介する
explain,説明する
ask,たずねる
tell,伝える
say,言う
discuss,話し合う
share,共有する
think,考える
believe,信じる
hope,望む
decide,決める
plan,計画する
prepare,準備する
join,参加する
invite,招待する
celebrate,祝う
understand,理解する
improve,上達する
compare,比べる
check,確認する
change,変える
arrive,到着する
leave,出発する
stay,滞在する
depart,出発する
return,戻る
meet,会う
experience,経験する
feel,感じる
wear,身につけている
hold,持つ
spend,過ごす
save,救う
need,必要とする
continue,続ける
graduate,卒業する
become,なる
create,創造する
design,デザインする
collect,集める
protect,守る
recycle,リサイクルする
clean up,掃除する
take care of,世話をする
look forward to,楽しみにする
future,未来
dream job,将来の夢の仕事
goal,目標
veterinarian,獣医
designer,デザイナー
programmer,プログラマー
video creator,動画クリエイター
journalist,ジャーナリスト
writer,作家
photographer,写真家
reporter,記者
architect,建築家
translator,翻訳者
interpreter,通訳者
researcher,研究者
inventor,発明家
mechanic,整備士
carpenter,大工
hairdresser,美容師
florist,花屋
zookeeper,動物園の飼育員
librarian,司書
shopkeeper,店主
office worker,会社員
company,会社
clinic,診療所
factory,工場
space,宇宙
robot,ロボット
computer science,コンピューター科学
medicine,医学
environment,環境
volunteer,ボランティア
community,地域社会
society,社会
memory,思い出
best memory,一番の思い出
entrance ceremony,入学式
graduation ceremony,卒業式
school festival,学園祭
chorus contest,合唱コンクール
music festival,音楽祭
sports meet,運動会
swimming meet,水泳大会
club activity,クラブ活動
school lunch,給食
cleaning time,掃除の時間
recess,休み時間
homeroom,ホームルーム
competition,競争
contest,コンテスト
prize,賞
medal,メダル
trophy,トロフィー
score,得点
match,試合
race,競走
relay,リレー
performance,演技
stage,舞台
audience,観客
final game,最後の試合
album,アルバム
photo,写真
video,動画
diary,日記
letter,手紙
postcard,はがき
certificate,証書
farewell,別れ
