english,japanese
allege,主張する
amend,修正する
amplify,増幅する
applaud,拍手喝采する
articulate,明確に述べる
aspire,熱望する
breed,繁殖する
cast,投げる
chase,追いかける
cite,引用する
coincide,一致する
command,命令する
commute,通勤する
comply,従う
compose,構成する
compress,圧縮する
concede,認める
confer,授与する
configure,設定する
consent,同意する
curse,のろう
dampen,弱める
designate,指定する
detach,切り離す
dictate,命令する
dismantle,分解する
drain,排水する
duplicate,複製する
embrace,受け入れる
empower,権限を与える
envision,心に描く
escalate,拡大する
evaporate,蒸発する
excel,優れている
exclude,除外する
execute,実行する
expire,期限が切れる
filter,ろ過する
flee,逃げる
foresee,予見する
gaze,じっと見る
grind,すりつぶす
harvest,収穫する
illuminate,照らす
incorporate,組み込む
infer,推論する
inhabit,住む
initiate,始める
inject,注入する
lean,傾く
license,許可する
mature,成熟する
navigate,進路を決める
nominate,指名する
originate,生じる
penetrate,貫く
plead,嘆願する
pollute,汚染する
portray,描写する
pray,祈る
protest,抗議する
rank,順位をつける
regenerate,再生する
reimburse,払い戻す
render,〜にする
resign,辞任する
rotate,回転する
squeeze,絞る
trigger,引き起こす
verify,確認する
accountability,責任
adulthood,成人期
alignment,一致
analogy,類推
aspiration,志
automation,自動化
autonomy,自律
bulk,大量
censorship,検閲
checklist,チェックリスト
combustion,燃焼
commodity,商品
compassion,思いやり
complexity,複雑さ
corruption,汚職
curiosity,好奇心
debris,がれき
declaration,宣言
dependency,依存
dilemma,ジレンマ
discretion,判断の自由
elegance,優雅さ
emergence,出現
empathy,共感
excavation,発掘
expedition,遠征
expertise,専門知識
extinction,絶滅
fatigue,疲労
fermentation,発酵
fiction,小説
fluency,流ちょうさ
fraction,分数
galaxy,銀河
hazard,危険
honor,名誉
hospitality,もてなし
ignorance,無知
inequality,不平等
intuition,直感
machinery,機械類
magnitude,大きさ
metabolism,代謝
microscope,顕微鏡
momentum,勢い
monopoly,独占
obligation,義務
organism,生物
outbreak,発生
productivity,生産性
protein,タンパク質
recession,景気後退
refuge,避難所
rehearsal,リハーサル
remainder,残り
remedy,治療法
resemblance,類似
retail,小売
scarcity,不足
session,会議
slavery,奴隷制度
specimen,標本
symptom,症状
temptation,誘惑
transcript,記録
tribe,部族
tuition,授業料
viewpoint,見方
welfare,福祉
workshop,作業場
worship,崇拝
adaptable,適応できる
analytical,分析的な
bilingual,二言語を話す
clear-cut,明確な
complimentary,無料の・称賛の
contagious,感染性の
counterfeit,偽の
defective,欠陥のある
delicate,繊細な
dreadful,ひどい
energetic,活動的な
exceptional,例外的な
exclusive,排他的な
hazardous,危険な
identical,同一の
ideological,思想上の
imaginative,想像力豊かな
immature,未熟な
interactive,相互作用のある
irrelevant,無関係な
marine,海の
memorial,記念の
microscopic,顕微鏡の
monetary,金銭の
nutritious,栄養のある
objective,客観的な
overdue,期限を過ぎた
partial,部分的な
peculiar,奇妙な
persistent,粘り強い
poisonous,有毒な
prosperous,繁栄している
realistic,現実的な
representative,代表的な
resistant,抵抗力のある
risky,危険な
skeptical,懐疑的な
spectacular,壮観な
statistical,統計の
strict,厳しい
sustainable,持続可能な
sympathetic,同情的な
terminal,終点の
tolerant,寛容な
tragic,悲劇的な
unconscious,無意識の
verbal,言葉の
weary,疲れた
worthwhile,価値のある
notorious,悪名高い
by and large,概して
in essence,本質的に
in turn,順番に
in the meantime,その間に
in light of,〜を考慮して
on account of,〜のために
on the grounds that,〜という理由で
as a consequence,結果として
for fear of,〜を恐れて
in vain,無駄に
once in a while,ときどき
from scratch,初めから
to make matters worse,さらに悪いことに
under no circumstances,決して〜ない
with ease,簡単に
by all means,ぜひ
to a certain degree,ある程度
in the absence of,〜がない場合
in line with,〜に沿って
in the wake of,〜を受けて
