english,japanese
rectify,修正する
alleviate,和らげる
allude,ほのめかす
authenticate,本物であると証明する
bolster,強化する
decentralize,分散させる
deploy,配置する
disregard,無視する
embellish,飾る
emanate,発する
encompass,含む
enlighten,啓発する
envisage,心に描く
expedite,促進する
extract,取り出す
falter,弱まる
frustrate,挫折させる
gravitate,引き寄せられる
incur,招く
indulge,ふける
instill,植えつける
internalize,内面化する
interrogate,尋問する
invalidate,無効にする
liberate,解放する
manifest,明らかにする
narrate,語る
obstruct,妨げる
perpetuate,永続させる
preclude,妨げる
prosecute,起訴する
reap,手に入れる
reassure,安心させる
recite,暗唱する
reconstruct,再建する
recur,再発する
redeem,取り戻す
redirect,方向を変える
refrain,控える
rehabilitate,回復させる
reiterate,繰り返し述べる
revolt,反乱を起こす
saturate,浸す
sponsor,後援する
stereotype,型にはめて見る
submerge,沈める
subsidize,補助金を出す
surge,急増する
synthesize,統合する
tease,からかう
testify,証言する
unify,統一する
worship,崇拝する
align,一致させる
alternate,交互に起こる
channel,向ける
complicate,複雑にする
corrupt,堕落させる
counteract,打ち消す
deem,〜と考える
embarrass,恥ずかしい思いをさせる
memorize,暗記する
mourn,嘆く
overhear,偶然耳にする
paralyze,麻痺させる
retaliate,報復する
stumble,つまずく
tutor,個別指導する
unveil,明らかにする
uphold,支持する
allegation,申し立て
apprentice,見習い
benchmark,基準
breakdown,崩壊
censorship,検閲
contingency,不測の事態
credence,信用
culprit,犯人
deforestation,森林破壊
detour,回り道
equator,赤道
extremist,過激派
feud,確執
fraud,詐欺
grievance,不満
immunity,免疫
implication,含意
inscription,碑文
intake,摂取量
juror,陪審員
legislature,立法府
likelihood,可能性
mainstream,主流
merger,合併
misconception,誤解
mortality,死亡率
nuisance,迷惑なもの
ordeal,試練
outcast,のけ者
paradigm,枠組み
parameter,要因
privatization,民営化
propaganda,宣伝
prosecution,起訴
quota,割り当て
rebel,反逆者
refinement,改良
regime,体制
residue,残留物
restoration,回復
rhetoric,修辞
sanctuary,聖域
scenario,想定
seizure,押収
settlement,解決
shortcoming,欠点
sibling,兄弟姉妹
skepticism,懐疑
specification,仕様
staple,主要産物
stigma,汚名
surplus,余剰
temperament,気質
terrain,地形
textile,織物
thesis,論文
transmission,伝達
uprising,反乱
utility,有用性
vacancy,空き
vessel,船舶
workforce,労働力
congestion,混雑
discrepancy,不一致
entrepreneur,起業家
fiasco,大失敗
ordinance,条例
solvent,溶媒
syntax,構文
turbulence,乱気流
ambivalent,相反する感情を持つ
arduous,困難な
austere,質素な
benign,害のない
candid,率直な
chaotic,混沌とした
chronological,年代順の
cohesive,結束力のある
contentious,議論を呼ぶ
cynical,皮肉な
decent,まともな
drastic,抜本的な
dubious,疑わしい
eloquent,雄弁な
eminent,著名な
endangered,絶滅の危機にある
factual,事実に基づく
fiscal,財政の
futile,無駄な
holistic,全体的な
humane,人道的な
inaccessible,近づきにくい
insufficient,不十分な
intuitive,直感的な
judicial,司法の
logistical,物流の
meticulous,細心の注意を払った
miserable,惨めな
nominal,名目上の
orderly,整然とした
preliminary,予備的な
prevalent,広く行き渡った
provocative,挑発的な
resilient,回復力のある
solemn,厳粛な
stagnant,停滞した
synthetic,合成の
tedious,退屈な
vague,あいまいな
vigorous,精力的な
wary,用心深い
waterproof,防水の
whimsical,気まぐれな
ingenious,独創的な
numerical,数字の
occupational,職業の
persuasive,説得力のある
ritualistic,儀式的な
seasonal,季節の
unauthorized,許可されていない
at random,無作為に
by default,初期設定で
by instinct,本能的に
for the sake of,〜のために
from the outset,初めから
in a nutshell,一言で言えば
in all likelihood,十中八九
in anticipation of,〜を見越して
in compliance with,〜に従って
in due course,やがて
in the aftermath of,〜の余波で
in the event of,〜の場合には
in the long term,長期的には
on the brink of,〜寸前で
on the grounds of,〜を理由に
with regard to,〜に関して
to put it differently,言い換えると
all things considered,総合的に考えると
needless to say,言うまでもなく
more often than not,たいてい
