english,japanese
accept,受け入れる
achieve,達成する
advise,助言する
agree,賛成する
appear,現れる
attend,出席する
avoid,避ける
believe,信じる
borrow,借りる
complete,完成させる
continue,続ける
decide,決める
develop,発展する
discover,発見する
enter,入る
explain,説明する
fail,失敗する
fill,満たす
guess,推測する
happen,起こる
imagine,想像する
include,含む
increase,増える
introduce,紹介する
lend,貸す
miss,逃す
notice,気づく
order,注文する
pass,通過する
prefer,より好む
prepare,準備する
receive,受け取る
record,記録する
reduce,減らす
repair,修理する
repeat,繰り返す
return,戻る
save,救う
search,探す
seem,〜のように見える
serve,出す
shout,叫ぶ
solve,解決する
support,支える
waste,無駄にする
wonder,不思議に思う
worry,心配する
nod,うなずく
bow,おじぎをする
lift,持ち上げる
push,押す
pull,引く
compare,比較する
discuss,話し合う
express,表現する
reply,返事をする
describe,描写する
suggest,提案する
produce,生産する
protect,守る
improve,上達する
encourage,励ます
create,作り出す
raise,上げる
pour,注ぐ
count,数える
weigh,重さがある
fit,合う
able,できる
absent,欠席している
active,活動的な
afraid,恐れて
alive,生きている
asleep,眠っている
awake,目が覚めている
amazing,驚くべき
awful,ひどい
basic,基本的な
boring,退屈な
central,中心の
clear,はっきりした
common,よくある
correct,正しい
creative,創造的な
crowded,混雑した
deep,深い
dry,乾いた
excellent,すばらしい
fair,公平な
foreign,外国の
gentle,やさしい
huge,巨大な
lonely,さびしい
main,主な
modern,現代的な
narrow,狭い
necessary,必要な
normal,普通の
ordinary,普通の
personal,個人の
possible,可能な
peaceful,平和な
real,本物の
simple,単純な
strange,奇妙な
successful,成功した
terrible,ひどい
wide,広い
wild,野生の
wonderful,すばらしい
similar,似ている
serious,まじめな
helpful,役に立つ
international,国際的な
valuable,価値のある
comfortable,快適な
flat,平らな
ability,能力
accident,事故
adventure,冒険
advice,助言
agreement,同意
attention,注意
band,楽団
business,仕事
chance,機会
choice,選択
conversation,会話
culture,文化
customer,客
difference,違い
dream,夢
earth,地球
energy,エネルギー
environment,環境
event,行事
experience,経験
factory,工場
field,野原
future,未来
goal,目標
health,健康
hobby,趣味
information,情報
journey,旅
language,言語
letter,手紙
machine,機械
nature,自然
neighbor,近所の人
opinion,意見
peace,平和
plan,計画
problem,問題
project,プロジェクト
reason,理由
report,報告
rule,規則
schedule,予定
secret,秘密
sign,標識
society,社会
space,宇宙
speech,スピーチ
tradition,伝統
trouble,困ったこと
volunteer,ボランティア
abroad,外国へ
across,〜を横切って
almost,ほとんど
already,すでに
although,〜だけれども
among,〜の間に
around,〜の周りに
away,離れて
either,どちらか
enough,十分に
finally,最後に
however,しかしながら
instead,その代わりに
later,後で
perhaps,たぶん
probably,おそらく
quickly,すばやく
slowly,ゆっくりと
suddenly,突然
twice,2回
while,〜する間
without,〜なしで
across from,〜の向かいに
far from,〜から遠くに
in front of,〜の前に
a lot of,たくさんの
each other,お互いに
for example,たとえば
at first,最初は
at last,ついに
