english,japanese
abbreviate,省略する
adorn,飾る
affiliate,提携させる
amass,蓄える
appraise,評価する
arbitrate,仲裁する
assault,攻撃する
attest,証明する
augment,増やす
baffle,困惑させる
bankrupt,破産させる
captivate,魅了する
censor,検閲する
chant,唱える
cohere,まとまる
confiscate,没収する
console,慰める
culminate,最高点に達する
demolish,取り壊す
denote,意味する
discredit,信用を落とす
divert,そらす
dramatize,脚色する
dread,恐れる
elude,逃れる
emancipate,解放する
emulate,見習う
evacuate,避難させる
fasten,固定する
frighten,怖がらせる
fuse,融合する
hasten,急がせる
humiliate,恥をかかせる
improvise,即興で行う
indict,起訴する
intrigue,興味をそそる
irrigate,灌漑する
lament,嘆く
lease,賃貸する
mingle,混ざる
multiply,増やす
overturn,ひっくり返す
overtake,追い越す
pave,舗装する
pierce,突き刺す
probe,詳しく調べる
purify,浄化する
quiver,震える
refute,反論する
reign,統治する
renounce,放棄する
resent,腹を立てる
ridicule,あざける
scrape,こする
shatter,粉々にする
summon,呼び出す
sway,揺れる
thrust,押しつける
tremble,震える
unravel,解明する
venerate,深く尊敬する
wander,歩き回る
wreck,破壊する
yearn,切望する
attune,慣れさせる
deflect,そらす
engulf,飲み込む
materialize,実現する
soothe,なだめる
wither,しおれる
abbreviation,省略
affiliation,提携
ailment,病気
altitude,高度
archaeology,考古学
arsenal,兵器庫
asylum,避難所
autobiography,自伝
avalanche,雪崩
beneficiary,受益者
biopsy,生体組織検査
blueprint,設計図
caliber,能力
cartilage,軟骨
census,国勢調査
clergy,聖職者
compliment,賛辞
conspiracy,陰謀
crust,地殻
defiance,反抗
delicacy,繊細さ
dialect,方言
drawback,欠点
eclipse,日食
elasticity,弾力性
embryo,胚
encyclopedia,百科事典
epidemic,流行病
expectancy,期待
fellowship,仲間意識
fortress,要塞
garment,衣服
genocide,大量虐殺
heir,相続人
inference,推論
intimacy,親密さ
invasion,侵入
invoice,請求書
irrigation,灌漑
judiciary,司法
longevity,長寿
mammal,哺乳類
mandate,命令
masterpiece,傑作
monastery,修道院
mortgage,住宅ローン
obituary,死亡記事
omen,前兆
parish,教区
perimeter,周囲
plaintiff,原告
prey,獲物
recruit,新入社員
rift,亀裂
settler,入植者
solitude,孤独
sponsorship,後援
statute,法令
strand,一本の糸
suburb,郊外
successor,後継者
testament,証拠
therapist,療法士
toll,通行料
tribute,賛辞
tyrant,暴君
vegetation,植物
vicinity,近辺
wilderness,荒野
warehouse,倉庫
absurd,ばかげた
acidic,酸性の
aesthetic,美的な
agile,機敏な
aloof,よそよそしい
ample,十分な
antagonistic,敵対的な
aquatic,水生の
archaic,古風な
blunt,鈍い
brittle,もろい
compatible,両立できる
corrosive,腐食性の
cramped,窮屈な
detachable,取り外せる
eccentric,風変わりな
evasive,回避的な
fragrant,香りのよい
graceful,優雅な
hectic,非常に忙しい
immense,巨大な
industrious,勤勉な
inflammable,燃えやすい
insane,正気でない
intrinsic,本質的な
legible,読みやすい
lush,青々とした
medieval,中世の
miniature,小型の
nautical,船舶の
negligent,不注意な
ornamental,装飾用の
patriotic,愛国的な
perishable,腐りやすい
petty,ささいな
porous,穴の多い
prone,〜しがちな
prudent,慎重な
radiant,輝く
sensory,感覚の
slender,細長い
timid,臆病な
uneven,でこぼこの
vicious,悪質な
weird,奇妙な
yearly,毎年の
zealous,熱心な
invaluable,非常に貴重な
restless,落ち着かない
noteworthy,注目すべき
all at once,突然
as yet,今のところ
at intervals,間隔をおいて
by analogy,類推によって
by trial and error,試行錯誤で
for better or worse,良くも悪くも
for one thing,一つには
in captivity,捕らわれて
in effect,事実上
in isolation,単独で
in opposition to,〜に反対して
in succession,連続して
in the midst of,〜の真っただ中で
in the vicinity of,〜の近くに
on impulse,衝動的に
on the spot,その場で
out of curiosity,好奇心から
to date,これまで
to the best of one's ability,できる限り
with reluctance,しぶしぶ
