english,japanese
alter,変える
annoy,いらいらさせる
anticipate,予想する
astonish,驚かせる
betray,裏切る
cease,やめる
clarify,明確にする
classify,分類する
collapse,崩壊する
conceal,隠す
confess,告白する
confront,直面する
construct,建設する
consult,相談する
convey,伝える
cope,対処する
cultivate,耕す
declare,宣言する
defeat,打ち負かす
delay,遅らせる
derive,由来する
design,設計する
desire,強く望む
dispose,処分する
distract,気をそらす
emerge,現れる
engage,従事する
exhibit,展示する
forbid,禁じる
forgive,許す
found,設立する
fulfill,果たす
grasp,理解する
hesitate,ためらう
ignore,無視する
inspire,刺激する
interfere,干渉する
isolate,孤立させる
lack,欠いている
locate,位置を見つける
modify,修正する
neglect,怠る
negotiate,交渉する
observe,観察する
occupy,占める
organize,組織する
permit,許可する
possess,所有する
predict,予測する
prove,証明する
purchase,購入する
recommend,勧める
regulate,規制する
remove,取り除く
represent,表す
resist,抵抗する
reveal,明らかにする
select,選ぶ
settle,解決する
transform,変える
administration,管理
ambition,野心
appearance,外見
arrangement,手配
assessment,評価
assistance,援助
assumption,思い込み
boundary,境界
charity,慈善
commitment,責任ある取り組み
concentration,集中
conclusion,結論
consent,同意
construction,建設
cooperation,協力
courage,勇気
criticism,批判
delivery,配達
departure,出発
disadvantage,不利な点
distribution,分配
district,地区
employee,従業員
employer,雇用主
entertainment,娯楽
exhibition,展示
existence,存在
expense,費用
experiment,実験
expression,表現
facility,施設
finance,財政
fortune,幸運
friendship,友情
gap,隔たり
guidance,指導
household,世帯
immigration,移住
independence,独立
infrastructure,社会基盤
instruction,指示
intelligence,知能
interaction,相互作用
interpretation,解釈
investigation,調査
journal,雑誌
legislation,法律制定
loss,損失
mankind,人類
measure,手段
medium,媒体
migration,移住
moisture,湿気
occupation,職業
outcome,結果
pain,痛み
permission,許可
phenomenon,現象
possession,所有
prediction,予測
preservation,保存
prevention,防止
profession,職業
punishment,罰
quantity,量
range,範囲
region,地域
relief,安心
reputation,評判
resident,住民
resistance,抵抗
revolution,革命
reward,報酬
route,道筋
scholar,学者
aggressive,攻撃的な
ambitious,野心的な
beneficial,有益な
brilliant,すばらしい
cautious,用心深い
commercial,商業の
confidential,秘密の
confused,混乱した
conventional,従来の
convenient,便利な
crucial,極めて重要な
dependent,依存している
distinct,明確に異なる
diverse,多様な
doubtful,疑わしい
eager,熱心な
emotional,感情的な
ethical,倫理的な
extraordinary,並外れた
faithful,忠実な
fierce,激しい
fragile,壊れやすい
genuine,本物の
ideal,理想的な
inclusive,包括的な
inevitable,避けられない
invisible,見えない
linguistic,言語の
literary,文学の
magnificent,壮大な
moderate,適度な
optimistic,楽観的な
outstanding,際立った
passive,受け身の
pleasant,楽しい
precise,正確な
radical,急進的な
reasonable,理にかなった
regional,地域の
relevant,関連のある
rural,田舎の
secure,安全な
temporary,一時的な
tremendous,非常に大きな
vivid,鮮やかな
wealthy,裕福な
after all,結局
all of a sudden,突然
apart from,〜は別として
as far as,〜する限り
as well,〜もまた
at present,現在は
by contrast,対照的に
by nature,生まれつき
by no means,決して〜ない
for the sake of,〜のために
from time to time,時々
in a sense,ある意味では
in conclusion,結論として
in favor of,〜に賛成して
in relation to,〜に関して
in response to,〜に応じて
in terms of,〜の観点から
on the contrary,それどころか
on the whole,全体として
prior to,〜より前に
rather than,〜よりむしろ
so as to,〜するために
to some extent,ある程度
with regard to,〜に関して
as a matter of fact,実を言うと
in spite of,〜にもかかわらず
on behalf of,〜を代表して
for the time being,当分の間
in the long run,長い目で見れば
no matter how,どんなに〜でも
