english,japanese
deserve,値する
detect,見つける
determine,決定する
devote,ささげる
differ,異なる
diminish,減少する
disappoint,失望させる
distinguish,区別する
distribute,配る
dominate,支配する
donate,寄付する
eliminate,取り除く
emphasize,強調する
enable,可能にする
encounter,出会う
enhance,高める
ensure,確実にする
establish,設立する
estimate,見積もる
evaluate,評価する
examine,調べる
exchange,交換する
expand,拡大する
explore,探検する
expose,さらす
express,表現する
extend,延長する
facilitate,容易にする
fade,薄れる
generate,生み出す
handle,扱う
highlight,強調する
identify,特定する
illustrate,説明する
imply,暗に示す
impose,課す
indicate,示す
inform,知らせる
insist,強く主張する
interpret,解釈する
investigate,調査する
justify,正当化する
launch,開始する
maintain,維持する
mention,述べる
obtain,得る
oppose,反対する
overcome,克服する
participate,参加する
perceive,認識する
preserve,保存する
prevent,防ぐ
promote,促進する
propose,提案する
pursue,追求する
react,反応する
recognize,認識する
recover,回復する
reduce,減らす
reflect,反映する
advantage,利点
analysis,分析
atmosphere,雰囲気
barrier,障壁
belief,信念
biodiversity,生物多様性
campaign,運動
characteristic,特徴
citizen,市民
community,地域社会
competition,競争
confidence,自信
conservation,保護
consumer,消費者
contribution,貢献
creativity,創造性
crime,犯罪
debate,討論
definition,定義
discovery,発見
discrimination,差別
education,教育
efficiency,効率
emergency,緊急事態
equality,平等
evaluation,評価
exception,例外
explanation,説明
failure,失敗
freedom,自由
function,機能
heritage,遺産
hypothesis,仮説
imagination,想像力
innovation,革新
intention,意図
justice,正義
knowledge,知識
labor,労働
limitation,制限
literature,文学
location,場所
mission,任務
motivation,動機
network,ネットワーク
object,物体
origin,起源
participant,参加者
perspective,観点
poverty,貧困
principle,原則
priority,優先事項
proposal,提案
protection,保護
reaction,反応
recognition,認識
recovery,回復
reduction,減少
reference,参照
relationship,関係
requirement,必要条件
resource,資源
responsibility,責任
structure,構造
tendency,傾向
abstract,抽象的な
acceptable,受け入れられる
active,積極的な
actual,実際の
alternative,代わりの
anxious,心配している
apparent,明らかな
biological,生物学の
civil,市民の
competitive,競争力のある
creative,創造的な
domestic,国内の
dramatic,劇的な
elderly,年配の
enormous,巨大な
environmental,環境の
external,外部の
financial,財政の
grateful,感謝している
historical,歴史的な
illegal,違法の
impressive,印象的な
industrial,産業の
legal,法律の
logical,論理的な
negative,否定的な
official,公式の
practical,実用的な
professional,専門的な
reliable,信頼できる
remarkable,注目すべき
remote,遠く離れた
significant,重要な
stable,安定した
suitable,適した
typical,典型的な
unique,独特の
universal,普遍的な
urban,都市の
visual,視覚の
voluntary,自発的な
widespread,広まった
rare,珍しい
moral,道徳の
medical,医学の
political,政治の
religious,宗教の
scientific,科学の
sensitive,敏感な
severe,深刻な
superior,より優れた
alternatively,あるいは
annually,毎年
carefully,注意深く
clearly,はっきりと
despite,〜にもかかわらず
equally,等しく
furthermore,さらに
however,しかしながら
independently,独立して
largely,主に
mainly,主に
naturally,自然に
otherwise,さもなければ
overall,全体として
possibly,ひょっとすると
regularly,定期的に
slightly,わずかに
thus,したがって
throughout,〜の至る所に
unlike,〜とは違って
above all,とりわけ
as long as,〜する限り
as soon as,〜するとすぐに
at the same time,同時に
be aware of,〜に気づいている
be based on,〜に基づいている
be familiar with,〜に詳しい
be responsible for,〜に責任がある
by means of,〜によって
for instance,たとえば
in contrast,対照的に
in detail,詳しく
in other words,言い換えると
on average,平均して
regardless of,〜に関係なく
