english,japanese
follow,の後について行く
include,を含む
act,行い
report,報告
law,法
less,もっと少ない
even,平らな
during,の間ずっと
company,来客
increase,増える
far,遠くに
area,面積
government,政府
court,中庭
public,公の
upon,の上に
however,どんなにでも
value,価値
power,能力
while,時間
member,一員
country,国
effect,結果
without,なしに
rate,割合
control,統制
national,国民の
within,以内に
cost,がかかる
university,大学
against,に対して
interest,興味
low,低い
fact,事実
since,以後
condition,状態
issue,発行
level,平らな
research,研究
committee,委員会
figure,数字
method,方法
land,陸
base,卑しい
material,材料
last,最後の
support,を支える
force,力
consider,をよく考える
seem,見える
cause,原因
receive,を受け取る
continue,を続ける
record,記録
few,少しはある
product,産物
education,教育
purpose,目的
appear,姿を現す
develop,を生じさせる
lead,を導く
view,見ること
local,一地方の
possible,可能な
plant,植物
produce,を産出する
position,位置
certain,確信している
among,の間に
account,計算
several,いくつかの
concern,に関係する
return,帰る
experience,経験
human,人間の
model,模型
chapter,章
international,国際的な
society,社会
cent,セント
production,生み出すこと
market,市場
although,ではあるが
claim,を要求する
apply,を適用する
establish,を設立する
air,空気
necessary,必要な
remain,残る
south,南
function,儀式
though,にもかかわらず
therefore,それゆえ
association,交際
trade,商業
evidence,証拠
rather,いくぶん
allow,を許す
common,共通の
source,水源
unit,構成単位
fall,落下する
pass,通り過ぎる
structure,建造物
political,国家の
patient,忍耐強い
complete,全部の
whole,全体の
next,次の
north,北
exist,存在する
indicate,の表れである
offer,を申し出る
statement,声明すること
third,第3番目の
nature,自然
represent,を表す
range,幅
direct,まっすぐな
average,平均
himself,彼自身
agency,代理店
serve,に仕える
create,を創造する
death,死
major,大きいほうの
suggest,を提案する
west,西
reach,に着く
secretary,秘書
send,を送る
million,万
population,人口
similar,似ている
road,道路
oil,油
space,空間
understand,を理解する
refer,を差し向ける
century,世紀
single,たった一つの
temperature,温度
clear,晴れた
director,指導者
quality,特質
deal,を分配する
addition,付け加えること
solution,解くこと
itself,それ自身
enter,に入る
situation,立場
expect,を予期する
pressure,押すこと
title,題名
nation,国民
private,私的な
enough,不足のない
gas,気体
sense,感覚
knowledge,知識
notice,人目を引くこと
ever,かつて
natural,自然のままの
effort,努力の成果
lie,横たわる
influence,影響
except,を除いて
capital,主要な
east,東
medical,医学の
lose,を失う
request,を頼む
training,訓練
response,返事
publish,を出版する
especially,特に
themselves,彼ら自身
die,死ぬ
sample,見本
author,著者
degree,程度
perhaps,おそらく
quite,全く
attempt,を企てる
performance,遂行
cross,十字架
probably,たぶん
accept,を受け取る
additional,付け加えた
compare,を比較する
prepare,の準備をする
raise,を上げる
operate,動く
express,を表現する
opinion,評価
seek,を捜し求める
sound,音
official,公務の
military,軍隊の
opportunity,機会
