english,japanese
clerical,事務的な
olive,オリーブ
leak,漏れること
decomposition,分解
coincide,同時に起こる
balanced,バランスが取れた
concede,を真実と認める
humble,低い
widen,を広くする
goat,ヤギ
relay,替え馬
prose,散文
influential,有力な
surveillance,監視
whip,むち
verse,韻文
alongside,そばに
retailer,小売り商人
contempt,軽べつ
royalty,王室の一員
pavement,舗装
reinforcement,増強
hood,ずきん
simultaneous,同時の
decorate,を飾る
canon,の教理
carve,を刻んで作る
decoration,装飾
hygiene,衛生
banker,銀行家
slaughter,屠殺
imperative,命令的な
shrug,をすくめる
idle,働いていない
additionally,その上
invisible,目に見えない
bloody,出血している
dilemma,板ばさみ
tolerate,に寛大な態度をとる
handicap,ハンディキャップにつける不利な条件)
trailer,トレーラー
destiny,運命
varied,さまざまな
booth,仮小屋
drought,干ばつ
genre,形式
privately,個人として
prosecute,を起訴する
exclaim,を叫ぶ
deliberate,よく考えた
lap,ひざ
unchanged,変化のない
invariably,いつも変わらずに
infectious,伝染する
decisive,決定的な
rocket,ロケット
tuition,授業料
divert,をわきへそらす
popularity,人気
revive,を生き返らせる
revival,回復
amplifier,増幅器
optional,選択が自由の
curl,うず巻き
rite,儀式
postpone,を延期する
lecturer,講演者
stiff,堅い
traverse,を横切る
instantly,ただちに
sensible,分別がある
transparent,透明な
microscope,顕微鏡
costume,服装
tray,浅いへりのついた平たい容器
utterly,全く
postal,郵便の
insult,を侮辱する
rectangular,矩形の
sack,製の)大袋
diversion,そらせること
upgrade,上りこうばい
inhabit,に住む
fighting,戦闘
ornament,装飾品
steer,のかじをとる
resignation,辞職
recipe,作り方
proximity,近いこと
attainment,達成すること
chop,をたたき切る
manipulate,を巧みに扱う
shrink,縮む
peel,皮
helicopter,ヘリコプター
corrupt,わいろの利く
hedge,生け垣
audit,会計検査
predicate,述部
exaggerate,を誇張する
openly,公然と
strait,狭い
tackle,道具
discriminate,を見分ける
vacant,あいている
overtime,超過勤務
preventive,予防の
donation,寄贈
contaminate,を汚す
betray,を裏切る・売る
stack,干し草の山
sincere,偽りのない
rider,乗る人
forthcoming,まさに来ようとしている
unlimited,限りない
presidency,大統領の職
booklet,小冊子
microwave,極超短波
lid,ふた
unload,を降ろす
imitation,見習うこと
dramatically,劇的に
upright,まっすぐに立った
flap,はためく
ban,禁止
waist,腰
charming,魅力的な
imagery,像
surroundings,環境
parade,行進
roar,ほえる
rightly,正確に
gum,ガム
nut,木の実
boost,しり押し
shooting,射撃
anonymous,作者不明の
scar,傷跡
remains,残り
keeper,守る人
suck,を吸う
remarkably,著しく
temptation,誘惑
ignorant,知識がない
heap,山
surge,波のように押し寄せる
dim,薄暗い
finely,りっぱに
doorway,戸口
inflammatory,炎症を起こす
coherent,密着する
monastery,男子修道院
refrain,控える
crawl,はう
thigh,もも
laundry,洗濯
reluctant,気が進まない
decay,腐る
explode,爆発する
obedience,従順
interruption,じゃま
wreck,を大破させる
broaden,を広くする
ambiguity,あいまいさ
listener,耳を傾ける人
appropriately,適当に
inflammation,炎症
dread,を非常にこわがる
rib,肋骨
infer,を推論する
fierce,凶暴な
soak,をびしょぬれにする
disguise,を変装させる
indispensable,欠くことのできない
rebel,反逆者
porch,ポーチから張り出した玄関
decent,きちんとした
reckon,を数える
viewer,テレビを視聴者
hourly,時間の
recollection,思い出すこと
uncommon,普通でない
existing,現存する
litter,散らかったくず
deceive,を欺く
weary,疲れた
peach,モモ
straightforward,正直な
refinery,精製所
strand,を座礁させる
skip,軽く跳ねる
anticipation,予想
interpreter,通訳
elegant,優雅な
dedication,奉納
suburb,郊外
recession,景気後退
comprehension,理解
diploma,卒業証書
stereotype,ステロ版
