english,japanese
administration,行政
principle,原理
define,を定義する
transfer,を移す
flow,流れる
annual,年の
journal,日誌
object,物
conduct,行為
affect,動に影響する
generally,普通は
financial,財政上の
effective,効果的な
content,趣旨
insurance,保険
observe,を観察する
industrial,産業の
facility,容易さ
appeal,訴える
permit,を許可する
nor,も
assume,を当然のことと思う
risk,危険
chief,長
soil,土
length,長さ
select,を選ぶ
employment,雇用
representative,描写する
rest,休息
extend,を延ばす
cell,独房
prove,を証明する
institute,を設ける
bond,縛る物
remove,を取り去る
consideration,考慮
desire,を切望する
army,陸軍
particularly,特に
potential,可能性のある
pattern,模様
sometimes,ときどき
legal,法律の
firm,堅い
characteristic,特有の
expense,支出
civil,市民の
treat,を扱う
document,文書
experiment,実験
equal,等しい
technique,技巧
damage,損害
mass,固まり
capacity,収容力
adopt,を取り入れる
extent,広がり
gain,を得る
balance,天びん
protection,保護すること
instance,例
commercial,商業上の
steel,鋼鉄
justice,正義
throughout,じゅう
concept,概念
unless,もしでなければ
failure,失敗
relative,関係のある
distance,距離
former,かつての
improvement,改良
complex,いくつかの部分から成る
investigation,調査
engineering,工学
aspect,顔つき
economy,経済
directly,まっすぐに
access,接近
examine,を調べる
responsibility,責任があること
safety,安全
previous,前の
examination,試験
entire,全体の
spirit,精神
network,網
progress,前進
election,選挙
agricultural,農業の
motor,モーター
conclusion,結論
deposit,を預ける
status,地位
assistance,手伝い
otherwise,ほかの点では
presence,居ること
vary,変わる
approve,をよいと認める
location,位置を捜し出すこと
decrease,を減らす
coal,燃えている燃料
iron,鉄
vehicle,乗り物
active,活動的な
protect,を守る
engage,を雇う
maximum,最大限
concentration,集中
literature,文学
independent,頼らない
environmental,環境の
contribution,寄付すること
instruction,教育
stress,緊張
locate,の位置を突きとめる
sufficient,十分な
upper,上のほうの
measurement,測定
arise,起こる
device,考案物
frequency,しばしば起こること
secure,安定した
reduction,減らすこと
laboratory,実験室
immediately,ただちに
guide,を案内する
professor,教授
connect,を連結する
comment,論評
objective,実際に存在する
observation,観察すること
positive,肯定した
foundation,設立すること
definition,定義
religious,宗教の
signal,信号
initial,最初の
recommend,を推薦する
quantity,量
crop,収穫
internal,内側の
appoint,を決める
link,輪
transportation,輸送
cultural,文化的な
fuel,燃料
introduction,紹介すること
combine,を結合する
historical,歴史の
conflict,争い
alternative,どちらかを選ぶべき
intend,を意図する
hearing,聴力
minimum,最小限
transport,を輸送する
essential,絶対必要な
approximately,おおよそ
suppose,と仮定する
command,を命令する
critical,評論の
advance,を前進させる
agriculture,農業
possibility,可能性
pound,ポンド
demonstrate,を論証する
sort,種類
regional,地方の
waste,をむだに使う
serious,まじめな
none,どれも
session,会議
considerable,考慮に値する
layer,積む人
maintenance,維持
comparison,比較
port,港
majority,大多数
determination,決心
consumer,消費者
channel,水路
category,範疇
conclude,を終わりにする
injury,負傷
tend,傾向がある
highly,高度に
proposal,提案すること
broad,幅の広い
race,競走
edge,縁
shift,を移し替える
railway,線路
arrangement,整理
reasonable,理性的な
responsible,責任を伴う
contribute,を寄付する
practical,実際上の
deny,を否定する
relatively,比較的
