english,japanese
kit,用具一式
golf,ゴルフ
asleep,眠って
fighter,戦う人
brave,勇敢な
singular,非凡な
married,結婚した
spill,をこぼす
panic,あわてふためき
invade,に侵入する
sandy,砂の
cooking,料理
fortunately,運よく
onion,タマネギ
terrorist,テロリスト
folder,紙ばさみ
ruin,破滅
kindly,親切な
semester,一学期
bulb,球根
midnight,真夜中
garage,車庫
glove,手袋
bride,花嫁
angel,天使
cruise,巡航する
clue,手がかり
bake,を焼く
mysterious,神秘的な
softly,柔らかに
harmful,有害な
tape,テープ
cheer,歓呼
comic,喜劇の
exam,試験
pea,エンドウ
businessman,実業家
shore,支柱
soda,ソーダ
supper,夕食
tune,曲
mirror,鏡
stove,ストーブ
drawer,引き出し
handicapped,身体に障害のある
sunlight,日光
manner,方法
policeman,警官
importantly,重要性をもって
audio,可聴周波の
elephant,ゾウ
athlete,競技者
weep,涙を流す
awful,恐ろしい
creativity,独創性
hug,を抱き締める
unhappy,悲しい
dislike,を嫌う
comb,くし
fog,霧
amusement,楽しみ
lively,生気にあふれた
photographer,写真をとる人
symphony,交響楽
lifestyle,生き方
belly,腹
countryside,いなか
downtown,商業地区へ
ham,ハム
balloon,気球
fascinating,魅惑的な
dentist,歯科医
singing,歌
dancer,踊り子
happily,幸福に
robbery,泥棒をすること
chat,雑談
adjective,形容詞
daylight,日光
uncomfortable,心地よくない
rob,から力ずくで奪う
annoy,を困らせる
fisherman,漁夫
terrify,を恐れさせる
refrigerator,冷蔵庫
sew,縫い物をする
tourist,旅行者
aged,歳の
upstairs,階上へ
bug,昆虫
ankle,足首
silly,愚かな
orphan,孤児
energetic,精力的な
retired,引退した
ending,終り
pill,丸薬
runner,走る人
unpleasant,不愉快な
pear,西洋ナシ
hunter,ハンター
clone,クローン
roast,を焼く
silently,静かに
plural,複数の
noun,名詞
mushroom,キノコ
spoon,スプーン
fantastic,異様な
bush,低木
further,もっと遠い
queen,女王
nowadays,今日では
toast,トースト
smoothly,滑らかに
sailing,帆走
grandson,孫息子
garlic,ニンニク
sadly,悲しそうに
journey,旅行
inexpensive,安い
playground,遊び場
loudly,大声で
oak,オークの木
running,走ること
indoor,室内の
polite,礼儀正しい
championship,優勝者の地位
perfume,香り
aisle,座席間の通路
diamond,ダイヤモンド
scenery,風景
tablespoon,食卓用スプーン
lyric,叙情の
splash,をはねかける
walking,歩くこと
grandchild,孫
cereal,朝食用の穀類加工食品
bargain,契約
downstairs,階下へ
oven,天火
noisy,やかましい
recycle,を再利用する
hike,ハイキングする
slim,ほっそりとした
screw,ねじ
cricket,コオロギ
cleaner,掃除機
composer,作曲家
frank,率直な
balcony,バルコニー
uneasy,心の落ち着かない
bay,湾
pollute,を汚す
underwater,水面下の
chef,コック長
impatient,我慢しきれない
stadium,競技場
unimportant,重要でない
dessert,デザート
reunion,再結合すること
snack,軽食
used,使い古しの
might,かもしれないのだが
steak,ステーキ
pleasing,楽しい
beginner,初学者
sausage,ソーセージ
pronunciation,発音
tour,観光旅行round)+名》・小旅行round)+名》・巡業
junk,廃品
camping,野営
pilgrim,巡礼者
rap,コツンとたたくこと
surname,姓
continent,自制した
sock,短い靴下
thief,泥棒
disappointing,失望させるような
crowded,込み合った
cycling,自転車に乗ること
sweater,セーター
grace,優雅さ
cupboard,食器だな
wheelchair,車いす
scarf,スカーフ
hockey,ホッケー
cheque,=check名6
carrot,ニンジン
olympic,オリンピア平原の
suitcase,スーツケース
angrily,おこって
cafeteria,カフェテリア
timetable,時間表
sweetheart,恋人
someday,いつか
sleepy,眠い
cooler,冷却装置
skate,スケートをする
quiz,小テスト
