english,japanese
persecution,迫害
remedial,治療する
invoice,送り状
plausible,もっともらしい
salvage,海難救助
envisage,を心に描く
irony,皮肉
forfeit,罰として失うもの
psychiatrist,精神病医
intuition,直観
adversary,敵
alleviate,を軽減する
profess,をはっきりと言う
traumatic,外傷性の
heighten,を高くする
vitality,生気
adjustable,調節できる
speculate,推測する
resent,に腹を立てる
incision,切り込むこと
apprenticeship,徒弟の身分
deprivation,はく奪
drawback,障害
negligent,怠慢な
climax,細高潮
plaque,飾り額
impede,を妨げる
benign,親切な
bureaucratic,官僚の
indefinitely,漠然と
reassure,に自信を取り戻させる
agreeable,気持ちのよい
divergence,分岐
mingle,を混ぜる
cessation,中止
profoundly,深く
harassment,悩ませること
temperament,気質
lust,強い欲望
detrimental,有害な
staple,つぼくぎ
bliss,無上の幸福
stray,それて道に迷う
vicious,悪意のある
perpetuate,を永続させる
anthropologist,人類学者
slack,緩んだ
implicate,を巻き込む
ornamental,装飾の
quarry,獲物
abound,たくさんいる
oversee,を監督する
niche,壁がん
collaborate,共同して働く
resin,樹脂
mythology,神話
batter,バッター
torment,を苦しめる
individuality,個性
alienate,を遠ざける
reap,を刈る
apprentice,徒弟
fragmentation,ばらばらになること
swap,交換
occupant,居住者
flicker,ゆらめく
credible,信用できる
meaningless,無意味な
startling,驚くべき
expedite,の進行を早める
protagonist,主役
relinquish,を捨てる
justly,正しく
elaboration,念入りに作り上げること
rendering,演技表現
intuitive,直観の
relapse,逆戻りする
divergent,分岐する
radiator,ラジエーター
amplification,拡大
forensic,法廷の
saloon,大広間
bribe,わいろ
ingenious,器用な
eccentric,普通でない
sentimental,感情的な
crumble,を粉々にくずす
fissure,裂け目
wrench,をぐいとねじる
reluctantly,いやいやながら
formality,形式的であること
conscientious,良心的な
fatality,災害
compulsion,強制
reminiscent,思い出させる
clench,をくいしばる
sprout,芽
victorious,勝利を得た
flick,軽い一打ち
knowledgeable,博識の
gypsy,ジプシー
poise,をつりあいをとって置く
ingenuity,発明の才能
harass,を悩ませる
dissection,解剖
tedious,退屈な
engross,の注意をすっかり引き付ける
detriment,損害
readable,読みやすい
snail,カタツムリ
midwife,助産婦
impediment,障害
depiction,描くこと
flatter,におせじをいう
realist,現実主義者
tangle,をもつれさせる
symptomatic,徴候となる
turmoil,騒ぎ
dissect,を解剖する
diverge,分岐する
sponsorship,保証人であること
spacious,広い
confide,を打ち明ける
contextual,文脈上の
elusive,逃げる
versatile,多才の
portrayal,描写
beforehand,前もって
ventilate,を換気する
repel,を撃退する
immensely,広大に
twitch,ぴくんと動く
impersonal,特定の人に関係のない
amply,広々と
collaborator,協力者
dispensary,調剤室
peacock,雄クジャク
demolition,破壊
psyche,プシュケー・霊魂
wary,注意深い
renown,高名
persecute,を迫害する
recharge,に再充電する
dramatist,劇作家
phenomenal,自然現象の
stiffen,を堅くする
revealing,露出する
paternal,父の
utensil,用具
instinctively,本能的に
stylistic,文体の
blister,水ぶくれ
rumble,ゴロゴロ鳴る
fiercely,凶暴に
bequeath,を遺言で譲る
resilience,はね返り
synopsis,概要
provocative,人を刺激する
repute,評判
toughness,じょうぶさ
disdain,を軽べつする
upheaval,隆起
hostess,女主人
ruthless,無慈悲な
conjure,を魔法で出す
sprawl,手足をむぞうさに投げ出してすわる
resilient,はね返る
sequel,続き
premier,第1位の
prolific,多産の
magnetism,磁気
numb,麻痺した
timid,おくびょうな
crumb,少量
waterfront,土地
insensitive,鈍感な
deceit,欺くこと
grumble,不平をいう
bulky,かさばった
pigeon,ハト
rudimentary,初歩の
clan,氏族
cynical,皮肉な
refreshing,気分を一新させる
appalling,ぞっとするような
stately,威厳のある
crave,を切望する
dismal,陰うつな
instinctive,本能的な
gem,宝石
chilly,冷え冷えする
elude,を逃れる
clutter,を取り散らかす
fiddle,バイオリン
woo,に求愛する
rapport,親密な関係
desertion,放棄
canoe,カヌー
flattery,へつらうこと
aquarium,水族館
