english,japanese
creative,創造力のある
acceptable,受け入れられる
pan,平なべ
alive,生きている
sudden,突然の
shut,を閉める
exhibition,表すこと
pile,積み重ね
wisdom,賢いこと
helpful,助けになる
artificial,人造の
shot,発砲
click,カチリという音
split,を縦に割る
bend,を曲げる
progressive,前進する
wood,木質部
float,浮く
hero,英雄
stuff,材料
cheap,値段が安い
online,オンラインの
nervous,神経の
harm,害
coin,硬貨
apartment,アパート
attractive,魅力のある
loose,結んでない
steal,を盗む
shade,陰
logical,論理学の
regularly,規則正しく
bury,を埋葬する
childhood,幼時
fiction,作り話
heavily,重く
confuse,を混同する
portrait,肖像画
prediction,予報すること
castle,城
imagination,想像
shout,叫ぶ
freeze,凍る
gallery,回廊
lake,湖
creature,生物
enormous,巨大な
classic,規範となる
advanced,進出した
stomach,胃
fortune,運
lend,を貸す
pride,自尊心
somewhere,どこかに
dam,ダム
precise,正確な
disadvantage,不利な立場
instant,一瞬の間
friendship,友情
blame,を非難する
nobody,だれもない
pleasant,人に喜びを与える
violent,暴力による
convenient,便利な
sake,ため
automatically,自動的に
invention,発明
injure,を傷つける
wooden,木製の
illegal,不法の
beer,ビール
talent,才能
happiness,幸福
anywhere,どこかへ
campus,構内
ray,光線
verb,動詞
mystery,神秘的な物
comfortable,気持ちのよい
lover,愛好家
unnecessary,必要のない
cheek,ほお
stranger,見知らぬ人
impress,を感銘させる
tap,の軽く打つ
disturb,をかき乱す
rush,トウシンソウ
mood,気分
knock,をたたく
shine,光る
forbid,にを禁じる
elderly,かなり年配の
bench,ベンチ
alarm,警報
plenty,たくさん
magic,魔法
printer,印刷する人
roughly,手荒く
flour,小麦粉
entertainment,娯楽
correctly,正しく
regret,を後悔する
adventure,冒険
forever,永久に
advertisement,広告
relax,をゆるめる
fence,囲い
planet,惑星
intelligent,理解力のある
beg,をくださいと頼む
salt,塩
overseas,海を越えて
bite,をかむ
rope,なわ
anxious,気になる
painter,画家
episode,挿話的なでき事
brake,ブレーキ
surprising,驚くべき
fool,ばか者
scream,悲鳴をあげる
fancy,空想
somebody,だれか
harmony,調和
unfair,不公平な
uncertain,確信が持てない
physically,物質的に
boil,沸く
gentle,優しい
fare,料金
badly,悪く
brilliant,光り輝く
wedding,結婚式
quietly,静かに
stair,段
envelope,封筒
menu,メニュー
romantic,ロマンチックな
rhythm,律動
pretend,のふりをする
swallow,ツバメ
slice,一枚
grateful,感謝している
fork,フォーク
honey,はちみつ
boss,ボス
peaceful,平和な
treasure,宝物
earthquake,地震
diary,日記
joke,冗談
elevator,エレベーター
pronounce,を発音する
harvest,収穫
junior,若いほうの
blanket,毛布
basically,基本的に
pepper,こしょう
script,手書き
basket,かご
bloom,花
ancestor,先祖
worldwide,全世界に知れ渡った
differently,異なって
mad,気が狂った
wander,あてもなく歩き回る
bother,を悩ます
duck,アヒル
upset,をひっくり返す
invent,を発明する
romance,伝奇物語
toe,足の指
trick,芸当
curse,をのろう
horror,恐怖
admire,に感嘆する
textbook,教科書
soap,石けん
globe,球
ambition,大望
inspiration,霊感
confident,自信のある
bonus,ボーナス
statue,像
frighten,をひどく驚かせる
anniversary,記念日
psychologist,心理学者
medal,メダル
quit,をやめる
winner,勝利者
photography,写真術
leisure,暇
noon,正午
sweat,汗
fry,を油で揚げる
learner,学習者
disagree,一致しない
vocabulary,語彙
pity,あわれみ
crazy,狂気の
