english,japanese
scorn,軽べつ
tact,機転
professionalism,専門家かたぎ
possessor,所有者
churn,かく乳器
malfunction,機能不全
revere,をあがめる
closeness,接近
marvel,驚異
hypocrisy,偽善
nocturnal,夜の
hack,をたたき切る
creamy,クリーム状の
remorse,後悔
farce,笑劇
sanctity,清らかさ
offspring,子
glean,の落ち穂を拾う
extravagance,浪費
candid,率直な
reassurance,自信
proliferate,増殖する
monotonous,単調な
heifer,若い雌牛
wooded,樹木の茂った
misplace,を置き間違える
resonate,反響する
recessive,後退する
itinerary,旅程
versatility,多才
acoustics,音響学
unconventional,しきたりにとらわれない
facilitation,容易にすること
adjoining,隣り合う
complimentary,あいさつの
impervious,物を通さない
repertory,倉庫
respite,労働の合間の)ひと休み
overdraft,当座貸越・
domesticate,を家庭的にする
gape,口をぽかんとあけて見とれる
prohibitive,禁止する
calorie,グラムカロリー
enterprising,進取の気性に富んだ
subtly,微妙に
commendation,名推薦
consultancy,コンサルタント業務
eclectic,取捨選択して作られた
physique,体格
taut,ぴーんと張ってある
astray,迷って
mythological,神話の
demography,人口統計学
incisor,門歯
congregate,集合する
sap,樹液
compliant,従順な
domestically,家庭で
fanciful,空想上の
unoccupied,占有されていない
overseer,現場監督
perceptive,知覚の
sedentary,体を動かすことが少ない
dislodge,を無理に押しのける
inexplicable,説明できない
apprehensive,心配した
grapefruit,グレープフルーツ
fanatic,狂信者
pleasurable,楽しい
cynicism,皮肉
gush,勢いよく噴き出す
restorative,回復させる
devotee,熱中する人
homely,家庭的な
ludicrous,おかしい
screenplay,映画のシナリオ
ferocious,恐ろしい
tantamount,同等の
sarcasm,皮肉
ghostly,幽霊の
limitless,無限の
monotony,単調
detest,を嫌悪する
inexhaustible,使いきれない
dismay,をうろたえさせる
retrace,を引き返す
extortion,強要
insecure,崩れやすい
altruism,利他主義
lavatory,洗面所
carpentry,大工職
antiquated,古めかしい
gourmet,食通
ewe,雌羊
scoff,あざける
disillusionment,迷いから覚めること
succulent,汁の多い
tranquil,静かな
interject,を差しはさむ
veneration,尊敬
supple,柔軟な
bearded,ひげのある
connoisseur,鑑定家
hypocrite,偽善者
munch,をむしゃむしゃ食べる
sarcastic,皮肉な
wayside,道ばた
methodical,秩序立った
detritus,砕石
plummet,まっすぐに落ちる
otter,カワウソ
innovate,を取り入れる
altruistic,利他主義的
panoramic,全景が見える
squander,を浪費する
placid,静かな
lethargy,昏睡
pounce,飛びかかる
silhouette,影絵
wry,ゆがんだ
plausibility,もっともらしさ
ceaseless,絶え間のない
heroine,女性の英雄
exuberant,元気に満ちあふれている
avid,どん欲な
daunt,をおどす
unsettle,を動揺させる
daydream,白日夢
prowl,足音をしのばせてうろつき回る
violet,スミレ
induct,を就任させる
gruesome,恐ろしい
cloak,そでなし外とう
rustle,サラサラ音を立てる
showy,人目を引く
smug,自己満足した
venerate,を尊敬する
gnaw,をかじる
domestication,飼いならすこと
convoluted,回旋状の
suitor,求婚者
artistically,芸術的に
enviable,人をうらやましがらせる
docile,扱いやすい
sentient,知覚力のある
quip,警句
cleanly,きれい好きな
refurbish,をぴかぴかにみがき直す
hypocritical,偽善の
oddity,奇人
uneventful,波乱のない
exuberance,豊富
roundup,狩り集め
flashback,フラッシュバックを捜入する手法)
plausibly,もっともらしく
magnetically,磁気によって
gadget,ちょっとした仕掛け
folktale,伝説物語
tantrum,かんしゃく
sarcastically,皮肉たっぷりに
stuffy,風通しの悪い
accustomed,慣れた
frosty,霜の降りる
dutiful,本分を守る
manicure,マニキュア
sedate,落ち着いた
paternalistic,温情主義の
scornful,軽べつする
concerto,協奏曲
hibernation,冬眠
tinker,鋳掛け屋
undaunted,恐れない
insubordination,不服従
chisel,のみ
reminisce,思い出話をする
exhilarate,をうきうきさせる
wrangle,口論
interjection,間投詞
spartan,スパルタの
tactful,如才ない
temperamental,気性からくる
transfix,を突き通す
imp,小悪魔
liaison,連絡
effortless,努力をしない
exhilaration,うきうきさせること
mountaineer,登山家
detestable,憎悪すべき
climactic,最高潮の
cynic,皮肉屋
inexcusable,言い訳のたたない
exhilarating,うきうきさせる
aimless,目的のない
stoke,をかき立てる
craving,切望
staccato,スタッカートの
nondescript,目立った特色のない
impersonation,まねをすること
demise,死
gig,頭引きの二輪馬車
