english,japanese
mechanism,機械
acre,エーカー
carrier,運搬する人
jurisdiction,司法権
clinical,臨床の
render,をする)make)
hence,それゆえに
specimen,見本
cite,を引用する
structural,構造の
allege,を主張する
contractor,契約人
linear,線の
specification,詳説
magnetic,磁石の
thereby,それによって
vertical,垂直の
coverage,報道
con,反対投票
corps,軍団
isolate,を孤立させる
premise,前提
compliance,承諾
substantially,概して
conviction,確信
fraction,破片
duration,持続
comply,従う
circulation,血液の循環
sacrifice,いけにえをささげること
advisory,勧告の
tract,広大な土地
constraint,強制
voluntary,自由意志でなされる
dominant,支配的な
discourse,講演
compel,にしいる
suspension,つるすこと
diversity,相違
organizational,組織上の
integral,全体の一部分として欠くことのできない
occupational,職業の
crude,天然のままの
transit,通過
consultation,相談
peasant,農夫
juvenile,少年少女向きの
elevation,高めること
inclusion,中に含めること
notwithstanding,にもかかわらず
pioneer,開拓者
restoration,復活すること
formulate,を明確に述べる
elaborate,入念な
ethical,倫理の
elevate,を上げる
convict,に有罪を宣告する
verdict,評決
conform,従って行動する・一致する
marginal,縁の
depict,を描き表す
cavity,へこみ
precision,正確
prophet,預言者
inherent,本来の
oblige,に義務を負わせる
citation,引用
estimation,判断
scenario,シナリオ
sentiment,感情
succession,連続
subordinate,下位の
vegetation,植物
testament,聖書
synthetic,総合の
retention,保持すること
rotate,回転する
expire,満了する
fatigue,疲労
exert,を発揮する
circulate,循環する
prospective,未来の
collaboration,共同
profound,深遠な
elastic,弾力のある
inclusive,全部を含んだ
buffer,緩衝器
induction,募兵
notable,注目に値する
continuity,連続
obscure,はっきりしない
assertion,断言
fossil,化石
likelihood,ありそうなこと
fusion,溶けること
carpenter,大工
preach,説教する
principally,主として
salvation,魂の救済
inheritance,相続
hostile,敵の
concur,同意見である
ordinarily,たいてい
degradation,格下げ
exploitation,開発
pertinent,直接の関係がある
hostility,敵意
predecessor,前任者
aesthetic,美学の
spontaneous,自然に起こる
customary,習慣的の
immense,巨大な
peninsula,半島pen.)
simplicity,簡単
trauma,外傷
legacy,遺産
maternal,母らしい
purity,純粋であること
orchard,果樹園
fixture,付属設備
descent,降下
speculation,推測
ventilation,換気
anthropology,人類学
apt,しがちである
clutch,をぐいとつかむ
conditional,条件つきの
portable,持ち運びのできる
flourish,栄える
manipulation,巧妙な扱い
discard,を捨てる
portray,を絵で描く
quest,探求
seedling,実生の若木
recess,休み
appliance,器具
exterior,外の
conformity,〔との〕相似
provoke,を怒らせる
adjoin,に隣接する
uniformity,一定
injustice,不正
graft,つぎ穂
antiquity,古代
evoke,を呼び出す
superficial,表面の
amateur,アマチュア
mutually,相互に
demographic,人口統計学の
suffice,十分である
negligible,取るに足らない
tailor,洋服屋
acoustic,音響の
lapse,ちょっとした誤り
fuse,ヒューズ
muscular,筋肉の
terrain,地形
preacher,伝道師
plunge,を突っ込む
voluntarily,みずから進んで
plaster,しっくい
conserve,を保存する
charter,特許状
durable,耐久力のある
privileged,特権のある
posture,姿勢
suburban,郊外の
facial,顔の
complementary,補足的な
loom,機
robust,たくましい
elongate,を長くする
outset,最初
wicked,悪い
intellect,知性
credibility,信用できること
prop,支柱
commend,をほめる
commercially,商業上
realism,現実主義
dispense,を分配する
explanatory,解説の
domination,支配
embark,乗船する
faction,派閥
strap,ひも
latent,潜在している
scrutiny,綿密な調査
chill,寒気
amid,の中に
degrade,の地位を下げる
isolated,孤立した
flask,フラスコ
bulk,かさばっていること
abstraction,抽象
endorsement,裏書き
indefinite,不明確な
confinement,制限
advantageous,有利な
speculative,推測にふける
