english,japanese
inconvenient,不便な
vegetarian,菜食主義者
shadowy,陰になった
oily,油の
scary,恐ろしい
subconscious,潜在意識の
stricken,襲われた
mediterranean,地中海地方
ape,サル
riddle,なぞ
scold,をしかる
grill,焼き網
breathless,息切れした
flu,インフルエンザ
daze,をぼう然とさせる
mash,もやし汁
shameful,恥ずべき
carelessly,不注意に
hanging,絞首刑
ladder,はしご
participle,分詞
mayor,市長
butcher,家畜屠殺業者
thunder,雷鳴
undress,を着物を脱がせる
sponge,海綿動物
volcano,火山
columnist,コラムニスト
mathematician,数学者
unbelievable,信じられない
sandal,サンダル
fluent,流ちょうにしゃべれる
teamwork,協同作業
tasty,おいしい
sticker,ステッカー
booking,予約
honeymoon,新婚旅行
swimmer,泳ぐ人
bravely,勇敢に
uncontrollable,抑制できない
bathe,を入浴させる
beard,あごひげ
nervousness,神経質なこと
nectar,ネクター
van,有蓋トラック
involuntarily,いやいやながら
glint,きらりと光る
possessive,所有の
unheard,聞こえない
frustration,失敗
workout,運動
misty,霧の深い
backpack,背のう
helmet,ヘルメット
messy,乱雑な
innovator,革新者
disgusting,むかつくような
diaper,おしめ
infinitive,不定詞
comedian,喜劇俳優
lighter,ライター
dude,めかし屋
dazzle,を目をくらませる
doze,うたた寝をする
festive,祭りの
dynasty,王朝
overwork,を働かせ過ぎる
unpack,開いての中身を取り出す
friendliness,友人らしさ
spicy,薬味のきいた
innermost,いちばん奥の
entertainer,もてなす人
gall,胆汁
unfriendly,友情のない
gymnastics,体操
unlucky,不運な
lovingly,愛情を込めて
fondness,愛好
canned,かん詰めの
housework,家事
quake,揺れる
storyteller,物語をする人
campsite,キャンプ場
cucumber,キュウリ
nutritious,栄養に富む
jar,つぼ
broccoli,ブロッコリー
teller,話し手
juicy,汁の多い
shopper,買物客
buddy,兄貴
sneeze,くしゃみ
greenhouse,温室
mailbox,郵便箱
eyesight,視力
summit,頂上
teammate,チーム仲間
stuck,動かない
skyscraper,摩天楼
environmentalist,環境保護論者
popcorn,ポップコーン
herd,群れ
stylish,流行の
fuss,騒ぎたてること
daisy,ヒナギク
moss,コケ
advert,広告
jog,を軽く揺り動かす
raspberry,キイチゴ
hostel,宿泊施設
souvenir,記念品
rubber,ゴム
handshake,握手
chariot,一人乗り軽二輪戦車
climber,よじ登る人
postman,郵便集配人
idiom,慣用語法
someplace,どこかへ
schoolteacher,先生
rainforest,熱帯雨林
rudely,無作法に
kitten,子猫
fallen,落ちた
checkout,精算所
tin,ブリキ
vet,を診療する
wizard,魔法使い
dishwasher,皿洗い
immigrate,移住する
comma,コンマ
calmness,平静さ
motherland,母国
adorable,とても愛らしい
onstage,舞台の上で
faraway,遠い
signpost,道しるべ
intermission,合い間
jogging,ジョギング
adverbial,副詞の
retell,を再び語る
jug,水入れ
liar,うそつき
toothpaste,練り歯磨き
untidy,だらしがない
snowstorm,吹雪
noisily,やかましく
bureau,たんす
freezer,冷凍器
talkative,おしゃべりな
overjoyed,大喜びの
penniless,一文なしの
burglar,夜盗
pineapple,パイナップル
loudspeaker,拡声器
tasteless,味のない
uninterested,無関心な
remainder,残り
universe,宇宙
saucer,受け皿
roadside,路傍
unwell,体の具合が悪い
brainstorming,ブレーンストーミング
golfer,ゴルフをする人
canteen,酒保
thunderous,雷の
procrastination,遅延
antonym,反意語
razor,かみそり
jumper,跳躍する人
nightlife,夜の楽しみ
sweatshirt,綿ジャージーの長袖のTシャツ
gorilla,ゴリラ
schoolmate,学友
safari,遠征旅行
addressee,受信人
phoenix,不死鳥
ivory,象牙
underage,規定年齢に達しない
backache,背の痛み
lifeguard,看視人
sportsmanship,スポーツマンシップ
surrounding,囲む
babysitter,るす番の子守り
lettuce,レタス
farewell,さらば
jade,やせ馬・駄馬・女・を疲れ果てさせる・疲れ果てる
aspirin,アスピリン
handball,ハンドボール
underpants,パンツ
flunk,をしくじる
thriller,スリルを与えるもの
pullover,プルオーバー
cod,をばかにする
latecomer,遅れて来た人
goalkeeper,ゴールキーパー
farthest,最も遠く
camel,ラクダ
brick,れんが
sunbathe,日光浴をする
ironing,アイロンかけ
