english,japanese
prone,傾向がある
paramount,最高の
conduit,導管
denounce,を非難する
proximal,近位の
meteorological,気象学の
hoist,を揚げる
brood,ひな
adhesion,粘着
allude,ほのめかす
condensation,凝縮
topography,地形学
corpse,死体
intermediary,中間の
scroll,巻物
hamper,をじゃまする
conjecture,推測すること
recourse,頼ること
informant,通報者
artifact,人工物
grievance,不平
concurrence,一致
ordain,を聖職に任命する
assimilation,同化
fluctuate,動揺する
allusion,ほのめかし
distillation,蒸留
rhetorical,修辞学の
apprehend,を逮捕する
assimilate,を吸収する
mercantile,商業の
conciliation,なだめること
articulation,調音
conglomerate,固まりになった
melancholy,憂うつ
oblique,傾いた
facsimile,正確な複写
mesh,目
apostle,使徒
amorphous,形のない
stringent,厳しい
substantiate,を実証する
anthology,アンソロジー
etch,をエッチングで描く
zoology,動物学
instantaneous,即時の
plume,大きな羽毛に似た形の物
punitive,処罰のための
chronology,年代学
anthropological,人類学の
requisition,要求
presuppose,を予期する
blight,胴枯れ病
reproach,をしかる
preoccupation,没頭
retrospective,回顧的な
pervasive,広がる
authenticity,確実性
curator,管理者
interrogation,尋問
remittance,送金
remit,を送る
opaque,不透明な
extant,現存している
aptitude,素質
axiom,自明の理
malice,悪意
lament,嘆く
solitude,弧独
malicious,悪意のある
myriad,無数
posit,仮定する
gravitational,引力の
individualism,個人主義
perch,止まり木
insular,島の
overlay,を覆いかぶせる
parable,たとえ話
banish,を追放する
succumb,屈服する
indulgence,ふけること
engender,を生じさせる
deterrent,妨げる
repose,休息
calamity,災害
bout,一試合
inducement,促すこと
embodiment,具体化されたもの
moor,荒れ地
redundancy,余分な言葉を使うこと
etching,食刻法
palate,口蓋
selectivity,選択性
fallacy,間違った考え
aberration,正道からはずれること
abundantly,豊富に
epoxy,エポキシ
recitation,暗唱
hitch,をつなぐ
connotation,言外の意味
protrude,突き出る
depressive,憂うつにさせる
eminence,高いこと
rift,切れ目
materialism,唯物論
contrive,を考案する
monastic,修道院の
commensurate,同じ大きさの
meteorology,気象学
belligerent,好戦的な
superfluous,必要以上の
parochial,小教区の
habitation,居住
quiver,震える
collide,ぶつかる
consignment,委託
ostensibly,表面上
paradoxical,逆説の
brink,縁
trifle,つまらない事
utilitarian,功利的な
huddle,群がり寄る
emulate,と張り合う
modernism,現代的な思想
edifice,大建築物
allegory,寓意
relegate,を追いやる
interrogate,に問いただす
nigh,近くの
consign,を引き渡す
wane,欠ける
provocation,怒らせること
pedestal,台
hysteria,ヒステリー
posterity,子孫
squint,斜視
reissue,を再発行する
shoal,浅瀬
spurious,にせの
hysterical,ヒステリーの
herald,使者
thicket,低木の茂み
arduous,骨の折れる
incise,に切り込みを入れる
vindicate,のけん疑を晴らす
detract,落とす
besiege,を包囲攻撃する
cull,を摘む
testimonial,証明書
subsist,生きていく
veritable,本当の
nostalgia,ノスタルジア
attrition,摩擦
incipient,始まりの
treacherous,裏切る
unravel,を解く
exalted,地位の高い
splinter,裂片
sterility,不毛
adept,熟達した
denunciation,非難
salivary,だ液の
treachery,裏切り
lyrical,詩的
intersperse,を散らばせる
plumage,羽毛
perverse,ひねくれた
opacity,不透明性
mercenary,金銭目あての
shimmer,ちらちら光る
cloister,回廊
swivel,さる環
philanthropy,博愛
eccentricity,風変わりな行為
indignant,怒った
prostrate,うつ伏せに
unequivocal,あいまいでない
cocoon,まゆ
antidote,解毒剤
irrevocable,呼び戻せない
egalitarian,平等主義の
tacit,言わず語らずの
verbatim,言葉通りに
antithesis,正反対
rebound,はね返る
feign,のふりをする
austerity,厳しさ
interweave,を織り合わせる
sheaf,束
brevity,短さ
presupposition,予期すること
malleable,打ち延ばしできる
meticulous,細かなことに気を配る
encumbrance,妨害
baroque,バロック式の
ephemeral,日限りの
topple,ぐらぐらする
rapture,非常に幸福な気持ち
painstaking,骨を折る
resuscitation,蘇生
