english,japanese
dock,波止場
intimate,たいへん親しい
mobility,可動性
blast,一吹き
hybrid,雑種
recruit,を入れる
retreat,退却する
offender,違反者
opponent,相手
seasonal,季節の
successive,連続する
hazardous,冒険的な
toxic,毒性の
tough,じょうぶな
tuberculosis,結核
outlook,の見通し
electronics,電子工学
dip,をちょっと浸す
await,を待つ
coarse,粗末な
courtesy,礼儀
allegation,主張
dye,染料
scarcely,ほとんどない
hint,暗示
stake,くい
economist,経済学者
adequately,適切に
resign,動辞任する
persist,あくまでも続ける
legend,伝説
dense,密度が濃い
actively,活発に
overlap,を部分的に重ねる
stimulation,刺激
conceal,を隠す
query,質問
concession,譲歩
compression,圧搾
ballot,投票用紙
rejection,断ること
plead,嘆願する
sharply,鋭く
analyst,分析者
hunting,狩り
cooperate,協力する
anchor,いかり
medication,薬剤
distributor,分配する人
independently,独立して
promptly,敏速に
inference,推量
mate,片方
conscience,良心
altitude,高さ
sue,を告訴する
rival,競争相手
flee,逃げる
metric,メートル法の
wilderness,荒れ地
sanitary,衛生の
solvent,支払い能力がある
grin,歯を見せて笑う
obey,に服従する
merge,合併する
revelation,明らかにすること
explosive,爆発の
genius,天才
dignity,尊厳
literally,字句を追って
cone,円すい
snap,パチンと音をたてる・ポキッと折れる
grip,しっかり握ること
distinguished,目立った
breakdown,故障
exceptional,例外の
spark,火花
fatal,運命の
specialty,専門
mercy,慈悲
deer,シカ
closure,閉鎖
rocky,岩の多い
modest,謙そんした
utter,全くの
profitable,利益の上がる
tender,世話をする人
jaw,あご
consensus,一致
follower,後から来る人
strive,大いに努力する
tag,札
coalition,連立
alert,油断のない
penetrate,に入り込む
inherit,を相続する
educator,教育者
cemetery,共同墓地
chancellor,首相
abolish,を廃止する
nomination,指名
trader,商人
fame,名声
timing,時間の調節
publicity,広く知られていること
imprisonment,投獄
eagle,ワシ
wipe,をふく
rub,をこする
displace,にとって代わる
sophisticated,世慣れた
triangle,三角形
descriptive,記述的な
ounce,オンス(重量の単位
cottage,小さな家
intersection,交差点
therapist,治療専門家
competence,能力
emergence,出現
advancement,進歩
temporarily,一時的に
endorse,に裏書きをする
glow,赤々と燃える
weave,織物を織る
corruption,不正行為
ample,広い
punch,をげんこつでなぐる
gang,一団
persistent,あくまでもやり抜く
dash,突進する
disregard,を無視する
gradual,段階的な
nursery,子供部屋
secondly,第二に
relaxation,ゆるめること
morality,道徳
ignorance,無学
confess,を白状する
radar,電波探知法
footnote,脚注
invoke,に呼びかける
catalyst,触媒
burial,埋葬
compulsory,強制的な
subtle,かすかな
costly,高価な
nerve,神経
contradiction,否定
disciple,弟子
weaken,を弱くする
mighty,強力な
pad,当て物
transient,一時の
refugee,亡命者
arouse,を起こす
cane,茎
correspondent,文通する人
squeeze,を絞る
retrieve,を取り戻す
pastor,牧師
compatible,両立できる
worm,虫
doubtful,疑わしい
midst,中央
corridor,廊下
packet,包み
wealthy,富裕な
aspiration,大望
analogy,類似
compress,を圧搾する
instinct,本能
confession,自白
sympathetic,同情的な
unconscious,意識を失った
undergraduate,大学生
vigorous,精力的な
infect,に感染する
vaccine,牛痘種
broadly,広く
bracket,腕木
articulate,はっきり話される
terrace,バルコニー
exile,国外追放
conquest,征服
distortion,ゆがめること
unreasonable,理性を欠く
repetition,繰り返すこと
cathedral,大寺院
metaphor,隠喩
outbreak,突発
transcript,写し
grief,深い悲しみ
vanish,見えなくなる
economical,節約する
keen,鋭い
observer,観察する人
signify,の印である
torture,を拷問にかける
deliberately,よく考えて
hollow,空洞のある
