english,japanese
lease,借地契約
imply,をほのめかす
expansion,拡大
core,しん
dispute,を議論する
marketing,市場での売買
consent,同意する
decade,年間
prescribe,を規定する
participation,参加
plot,小区画の土地
therapy,治療
cooperation,協力
transition,移り変わること
dimension,寸法
mixture,混ぜ合わせること
undertake,に着手する
attribute,の原因があるとする
legislative,立法の
corporate,法人の
mortgage,抵当
peak,山頂
correspond,一致する
compute,を計算する
panel,はめ板
clause,節
abuse,乱用
copper,銅貨
detailed,詳細にわたる
label,はり札
necessity,困窮
specifically,明確に
extensive,広い
reverse,逆の
interior,内部
creation,創造
beam,はり
recognition,見て気がつくこと
lower,もっと低い
disorder,無秩序
consistent,矛盾のない
contemporary,同時代の
necessarily,必ず
outcome,結果
pension,年金
restriction,制限すること
prime,首位の
mill,製粉所
identification,同一であることの確認
assure,に確信させる
parliament,議会
priority,先であること
seal,アザラシ
transmission,伝えること
significantly,意味ありげに
sustain,を持続する
justify,を正当化する
interpret,を解釈する
segment,区分
acquisition,取得すること
troop,群れ
convert,を変える
legislature,立法府
faculty,才能
translation,訳すこと
earnings,収入
bearing,態度
cable,太綱
psychology,心理学
preliminary,準備する
evil,邪悪な
comprehensive,理解力のある
deputy,代理人
penalty,刑罰
extract,を引き抜く
profile,横顔
intellectual,知的な
deem,と思う
wheat,小麦
implication,巻き添え
servant,召使
threaten,を脅す
partnership,提携
universal,すべての人々の
criticism,批評
stability,安定
devote,をささげる
regulate,を規制する
corresponding,一致する
satisfactory,満足を与える
enhance,の程度を高める
found,を創設する
privilege,特権
execute,を実行する
theme,主題
willing,喜んでする
margin,へり
retirement,引退
supplement,補足
discipline,訓練
practically,実質的には
modification,修正したもの
illustration,例
cooperative,協力的な
alter,を変える
liberal,自由主義の
detect,を感知する
evolution,発展
superintendent,監督者
withdraw,を引っ込める
infant,乳児
residence,住宅
readily,快く
prior,前の
capability,能力
soviet,地方会議
originally,もとは
virtue,美徳
prohibit,を禁止する
accordingly,従って
conversion,転換
perceive,に気がつく
edit,を編集する
width,広さ
equity,公平
essentially,本質的に
perception,気付くこと
cease,やむ
transmit,を送る
acute,鋭い
functional,機能上の
desirable,望ましい
prospect,光景
tribe,部族
thickness,厚さ
conventional,型にはまった
dismiss,を去らせる
delegate,代表
prevention,予防すること
assert,を断言する
initiative,開始
execution,実行
sensitive,敏感な
radical,根本的な
facilitate,を容易にする
dose,服用量
commander,指揮官司令官
vital,生命の
confine,を制限する
prevail,勝る
testify,証言する
pulse,脈はく
axis,軸
valid,妥当な
neglect,を無視する
supervisor,監督者
colonial,植民地の
guideline,指針
rear,背後
colleague,同僚
formerly,以前は
intent,意図
enforce,を実施する
inspector,視察官
identical,同一の
holder,保持者
consciousness,意識
bid,に命じる
considerably,かなり
barrier,さく
completion,完成
crack,割れ目
supervision,監督
adoption,採用
anticipate,を予想する
commonwealth,国民
suspend,をつるす
disposal,配置
integrate,を統合する
sufficiently,十分に
equip,にしたくさせる
correspondence,一致
violate,を破る
ultimate,最後の
ultimately,最後に
veteran,老練者
gear,歯車
availability,利用できること
drain,から排出する
spin,を紡ぐ
pine,松
conception,概念
deduction,差し引き
crew,乗組員
incur,を招く
eligible,適格な
dominate,を支配する
thereafter,その後
venture,危険な企て
tail,尾
