english,japanese
a,1つの
an,1つの
the,その
I,私は
you,あなたは
he,彼は
she,彼女は
it,それは
we,私たちは
they,彼らは
me,私を
him,彼を
her,彼女を
us,私たちを
them,彼らを
my,私の
your,あなたの
his,彼の
our,私たちの
their,彼らの
mine,私のもの
yours,あなたのもの
this,これ
that,あれ
these,これら
those,あれら
here,ここに
there,そこに
who,だれ
what,何
when,いつ
where,どこ
why,なぜ
how,どのように
which,どちら
and,そして
but,しかし
or,または
because,なぜなら
so,だから
if,もし
to,〜へ
in,〜の中に
on,〜の上に
at,〜で
for,〜のために
with,〜と一緒に
from,〜から
of,〜の
about,〜について
by,〜によって
under,〜の下に
near,〜の近くに
between,〜の間に
before,〜の前に
after,〜の後に
be,〜である
am,〜です
is,〜です
are,〜です
was,〜でした
were,〜でした
do,する
does,する
did,した
have,持っている
has,持っている
had,持っていた
can,できる
will,〜するつもり
must,〜しなければならない
may,〜してもよい
like,好き
love,大好き
want,欲しい
need,必要とする
know,知っている
think,思う
study,勉強する
learn,学ぶ
teach,教える
speak,話す
talk,話す
say,言う
tell,伝える
ask,たずねる
answer,答える
read,読む
write,書く
listen,聞く
hear,聞こえる
look,見る
see,見える
watch,見る
show,見せる
use,使う
make,作る
take,取る
get,得る
give,与える
go,行く
come,来る
live,住む
visit,訪れる
meet,会う
help,助ける
play,する
enjoy,楽しむ
eat,食べる
drink,飲む
cook,料理する
buy,買う
open,開ける
close,閉める
start,始める
finish,終える
walk,歩く
run,走る
swim,泳ぐ
stand,立つ
sit,座る
sleep,眠る
wake,目を覚ます
work,働く
wait,待つ
try,試す
practice,練習する
remember,覚えている
forget,忘れる
find,見つける
bring,持ってくる
put,置く
turn,曲がる
home,家
family,家族
parent,親
father,父
mother,母
brother,兄弟
sister,姉妹
friend,友だち
teacher,先生
student,生徒
school,学校
classroom,教室
lesson,授業
class,クラス
subject,教科
English,英語
Japanese,日本語
math,数学
science,理科
music,音楽
art,美術
history,歴史
book,本
notebook,ノート
textbook,教科書
dictionary,辞書
homework,宿題
question,質問
test,テスト
picture,絵
map,地図
computer,コンピューター
phone,電話
day,日
week,週
month,月
year,年
today,今日
tomorrow,明日
yesterday,昨日
morning,朝
afternoon,午後
evening,夕方
night,夜
time,時間
Sunday,日曜日
Monday,月曜日
Tuesday,火曜日
Wednesday,水曜日
Thursday,木曜日
Friday,金曜日
Saturday,土曜日
good,よい
bad,悪い
new,新しい
old,古い
big,大きい
small,小さい
long,長い
short,短い
high,高い
low,低い
easy,簡単な
difficult,難しい
important,重要な
interesting,おもしろい
favorite,お気に入りの
