english,japanese
absorb,吸収する
adapt,適応する
admire,尊敬する
affect,影響を与える
announce,発表する
arrange,手配する
behave,振る舞う
capture,捕らえる
challenge,挑戦する
communicate,伝える
concentrate,集中する
contribute,貢献する
cooperate,協力する
cure,治す
define,定義する
demand,要求する
destroy,破壊する
doubt,疑う
elect,選ぶ
exist,存在する
forgive,許す
influence,影響を及ぼす
manage,なんとかする
persuade,説得する
respond,返答する
survive,生き残る
require,必要とする
vanish,消える
warn,警告する
appreciate,感謝する
attract,引きつける
contact,連絡する
debate,討論する
depend,頼る
disappear,消える
encourage,励ます
face,直面する
focus,集中する
graduate,卒業する
impress,感動させる
improve,上達する
include,含む
mention,述べる
perform,演じる
protect,守る
realize,気づく
recommend,勧める
remind,思い出させる
represent,表す
research,調査する
respect,尊敬する
solve,解決する
suffer,苦しむ
support,支える
suppose,〜だと思う
translate,翻訳する
treat,扱う
trust,信頼する
unite,団結する
volunteer,ボランティアをする
achievement,達成
advertisement,広告
agriculture,農業
ancestor,祖先
background,背景
citizen,市民
communication,コミュニケーション
continent,大陸
contribution,貢献
creativity,創造性
crisis,危機
decision,決定
democracy,民主主義
disadvantage,不利な点
economy,経済
effect,効果
effort,努力
election,選挙
emotion,感情
equality,平等
evidence,証拠
expression,表現
generation,世代
globalization,グローバル化
human rights,人権
identity,自分らしさ
invention,発明
legend,伝説
method,方法
minority,少数派
opportunity,機会
organization,組織
pollution,汚染
poverty,貧困
pressure,圧力
progress,進歩
relationship,関係
responsibility,責任
revolution,革命
scenery,景色
solution,解決策
technology,技術
thought,考え
waste,廃棄物
wealth,富
wisdom,知恵
wildlife,野生生物
resource,資源
species,種
climate change,気候変動
renewable energy,再生可能エネルギー
volunteer work,ボランティア活動
public transportation,公共交通機関
world heritage,世界遺産
traditional culture,伝統文化
local community,地域社会
school uniform,制服
career,進路
entrance exam,入学試験
graduation,卒業
friendship,友情
teamwork,チームワーク
presentation,発表
academic,学問の
actual,実際の
attractive,魅力的な
aware,気づいている
confident,自信のある
cultural,文化的な
effective,効果的な
environmental,環境の
essential,不可欠な
familiar,よく知られた
individual,個人の
political,政治の
practical,実用的な
proud,誇りに思う
recent,最近の
unknown,知られていない
various,さまざまな
wise,賢い
curious,好奇心が強い
logical,論理的な
emotional,感情的な
historical,歴史的な
scientific,科学の
educational,教育の
reliable,信頼できる
harmful,有害な
meaningful,意味のある
serious,深刻な
global,世界的な
international,国際的な
local,地元の
modern,現代的な
natural,自然な
public,公共の
social,社会の
traditional,伝統的な
valuable,価値のある
successful,成功した
completely,完全に
directly,直接に
fortunately,幸運にも
gradually,徐々に
immediately,すぐに
seriously,真剣に
successfully,成功して
therefore,それゆえ
unfortunately,残念ながら
ever,これまでに
whenever,いつでも
wherever,どこでも
although,〜だけれども
unless,〜でない限り
whether,〜かどうか
while,〜する間
as if,まるで〜のように
at least,少なくとも
in fact,実際は
on the other hand,一方で
thanks to,〜のおかげで
have been to,〜へ行ったことがある
have never,一度も〜したことがない
used to,以前は〜したものだ
be interested in,〜に興味がある
be proud of,〜を誇りに思う
be known for,〜で知られている
be made of,〜でできている
be covered with,〜で覆われている
one of the,〜のうちの1つ
such as,〜のような
not only ... but also,〜だけでなく…も
as well as,〜だけでなく
in order to,〜するために
according to,〜によると
take part in,〜に参加する
take place,行われる
make a difference,変化をもたらす
by oneself,ひとりで
each other,お互いに
