id,english,japanese,detail,sample,sample-jpn
c1-part3-0001,scorn,軽べつ,「軽べつ」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The checklist included the scorn at the end.",c1-part3-0001_例文の日本語訳
c1-part3-0002,tact,機転,「機転」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"She handled the complaint with tact.",c1-part3-0002_例文の日本語訳
c1-part3-0003,professionalism,専門職意識；プロ意識,「専門職意識」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「プロ意識」の意味もある。 ,"A short story illustrated professionalism clearly.",c1-part3-0003_例文の日本語訳
c1-part3-0004,possessor,所有者,「所有者」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The possessor arrived early for the workshop.",c1-part3-0004_例文の日本語訳
c1-part3-0005,churn,かき回す；大量離脱,「かき回す」を表す語。顧客離脱や大量生産の比喩にも使う。「大量離脱」の意味もある。 ,"The invoice listed the churn clearly.",c1-part3-0005_例文の日本語訳
c1-part3-0006,malfunction,機能不全,「機能不全」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The article linked malfunction to climate change.",c1-part3-0006_例文の日本語訳
c1-part3-0007,revere,～をあがめる,「あがめる」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The guide showed us how to revere it.",c1-part3-0007_例文の日本語訳
c1-part3-0008,closeness,近さ；親密さ,「近さ」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「親密さ」の意味もある。 ,"The survey tracked closeness over several years.",c1-part3-0008_例文の日本語訳
c1-part3-0009,marvel,驚異,「驚異」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"A diagram showed the marvel clearly.",c1-part3-0009_例文の日本語訳
c1-part3-0010,hypocrisy,偽善,「偽善」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The team checked the hypocrisy before leaving.",c1-part3-0010_例文の日本語訳
c1-part3-0011,nocturnal,夜行性の；夜の,「夜行性の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「夜の」の意味もある。 ,"A nocturnal color filled the evening sky.",c1-part3-0011_例文の日本語訳
c1-part3-0012,hack,～をたたき切る,「たたき切る」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The guide showed us how to hack it.",c1-part3-0012_例文の日本語訳
c1-part3-0013,creamy,クリーム状の,「クリーム状の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The coach praised a creamy effort.",c1-part3-0013_例文の日本語訳
c1-part3-0014,remorse,後悔,「後悔」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The article described the remorse with an example.",c1-part3-0014_例文の日本語訳
c1-part3-0015,farce,笑劇,「笑劇」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The teacher asked about the farce after class.",c1-part3-0015_例文の日本語訳
c1-part3-0016,sanctity,神聖さ；尊厳,「神聖さ」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「尊厳」の意味もある。 ,"The article linked sanctity to climate change.",c1-part3-0016_例文の日本語訳
c1-part3-0017,offspring,子,「子」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The manual listed the offspring under tools.",c1-part3-0017_例文の日本語訳
c1-part3-0018,glean,～を少しずつ集める,「少しずつ集める」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"They decided to glean it before noon.",c1-part3-0018_例文の日本語訳
c1-part3-0019,extravagance,浪費,「浪費」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The lecture explored extravagance through real cases.",c1-part3-0019_例文の日本語訳
c1-part3-0020,candid,率直な,「率直な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The report noted a candid pattern.",c1-part3-0020_例文の日本語訳
c1-part3-0021,reassurance,安心させること,「安心させること」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"The debate revealed reassurance after the vote.",c1-part3-0021_例文の日本語訳
c1-part3-0022,proliferate,増殖する,「増殖する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Online rumors can proliferate quickly.",c1-part3-0022_例文の日本語訳
c1-part3-0023,monotonous,単調な,「単調な」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The guide suggested a monotonous method.",c1-part3-0023_例文の日本語訳
c1-part3-0024,heifer,若い雌牛,「若い雌牛」を表す語という具体的対象。人・物・場所などを直接指す語。 ,"The heifer moved quietly.",c1-part3-0024_例文の日本語訳
c1-part3-0025,wooded,樹木の茂った,「樹木の茂った」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"A wooded cloud covered the ridge.",c1-part3-0025_例文の日本語訳
c1-part3-0026,misplace,～を置き間違える,「置き間違える」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Workers learned to misplace it during practice.",c1-part3-0026_例文の日本語訳
c1-part3-0027,resonate,反響する,「反響する」という動き・変化を表す語。物理的な動作だけでなく、抽象的な作用にも使う。 ,"Her words resonate with young people.",c1-part3-0027_例文の日本語訳
c1-part3-0028,recessive,劣性の；後退的な,「劣性の」という性質を表す語。人・物・状況を評価・分類する形容詞表現。「後退的な」の意味もある。 ,"The sign gave a recessive warning.",c1-part3-0028_例文の日本語訳
c1-part3-0029,itinerary,旅程,「旅程」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The guide marked the itinerary on the map.",c1-part3-0029_例文の日本語訳
c1-part3-0030,versatility,多才,「多才」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"Her essay connected versatility with daily life.",c1-part3-0030_例文の日本語訳
c1-part3-0031,acoustics,音響学,「音響学」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。 ,"The note explained the acoustics in plain words.",c1-part3-0031_例文の日本語訳
c1-part3-0032,unconventional,しきたりにとらわれない,「しきたりにとらわれない」という性質を表す語。人・物・状況を評価・分類する形容詞表現。 ,"The editor marked an unconventional phrase.",c1-part3-0032_例文の日本語訳
c1-part3-0033,facilitation,促進；円滑化,「促進」という状態や考えを表す語。学術・法律・制度などの改まった文脈で多い。「円滑化」の意味もある。 ,"A short story illustrated facilitation clearly.",c1-part3-0033_例文の日本語訳
c1-part3-0034,adjoining,隣り合う,「隣り合う」を表す語。具体的な意味から、比喩・専門的な使い方にも広がる。 ,"The team checked the adjoining before leaving.",c1-part3-0034_例文の日本語訳
c1-part3-0035,complimentary,無料の；称賛の,「好意として与える」を表す語。無料・称賛の二義に注意。「無料の」の意味もある。 ,"The committee made a complimentary decision.",c1-part3-0035_例文の日本語訳
c1-part3-0036,impervious,通さない；影響されない,「通さない」を表す語。水だけでなく批判に鈍い意味もある。「影響されない」の意味もある。 ,"The material is impervious to water.",c1-part3-0036_例文の日本語訳
c1-part3-0037,repertory,レパートリー,「持ち演目の一覧」を表す語。劇・音楽・技能のレパートリー。 ,"The artist captured the repertory in the sketch.",c1-part3-0037_例文の日本語訳
